"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Deckenia_nobilis"	"Canthium_bibracteatum"	"Euphorbia_pyrifolia"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Ceratina_tabescens"	"Unidentified_sp1_M_PL_113"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_113"	"Pachycerina_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	1.00456876654255	0.00121918447017013	0.00122163509222072	0.00140779412936962	0.000497865589919146	0.000495886016836039	0.000689878259944813	0.0145041302319545	0.0143753660685827	0.0144342078189773	0.0143979088501583	0.0143509823791793	1.74519298888674e-05	0.0144209047921564	2.43836894034025e-05	1.74519298888674e-05	4.183561929227e-05	0.0143684343090681	1.74519298888674e-05	3.9591461662132e-05
"Phoenicophorium_borsigianum"	0.00170685825823818	1.00471417565589	0.00170857600897175	0.000292029529611828	0.000694523509517397	0.00069287935736585	0.000291967781410517	0.0202203367597738	0.0201186672025213	0.0202008701827398	3.41180070571301e-05	2.43836894034025e-05	2.44082286995965e-05	4.38502664374807e-05	0.0200942835131179	2.44082286995965e-05	0.0201186917418175	4.8791918102999e-05	2.44082286995965e-05	3.28830430309305e-05
"Deckenia_nobilis"	0.00122163509222072	0.00122041143497982	1.00624799015143	0.000209011802600856	0.00049708538333729	0.000495908628351581	0.000208967608087786	0.0144721290376845	4.18601585884639e-05	0.0144581963906616	2.44189899755626e-05	1.74519298888674e-05	0.0143749712878776	3.13845769118221e-05	2.44082286995965e-05	0.0143749712878776	0.0143993795165772	0.0143924232177665	0.0143749712878776	2.35350997141692e-05
"Canthium_bibracteatum"	0.00328485296852911	0.000486715882686379	0.000487694206068663	1.00327255427221	0.000485552873317199	0.000482074342602349	0.00160156555559264	0.033599720655887	5.66607886327149e-05	0.000103916661626768	0.0334893449467194	4.69264709789873e-05	6.96706008669519e-06	0.0335427304652392	9.73431765372758e-06	6.96706008669519e-06	1.67013777404228e-05	5.38935310656825e-05	6.96706008669519e-06	6.95706142969946e-05
"Euphorbia_pyrifolia"	0.00116168637647801	0.00115753918252899	0.00115986589445368	0.000485552873317199	1.00282622596584	0.00115125077417678	0.0021588890342119	0.0336295672839137	3.97463033145514e-05	0.0335414192203294	3.27806154412115e-05	1.65955196639715e-05	1.65695127779097e-05	0.000104743583248275	2.31507836505799e-05	1.65695127779097e-05	3.97202964284895e-05	3.31650324418812e-05	1.65695127779097e-05	0.0334995038333352
"Chrysobalanus_icaco"	0.00173560105892614	0.00173219839341463	0.00173568019923053	0.000723111513903524	0.00172687616126518	1.00172279011323	0.000724752661042107	0.0502761978836628	5.94382687100945e-05	0.0502279357444979	4.88980179719194e-05	2.4794300841802e-05	2.47954314175791e-05	7.30564400066563e-05	3.46439678682925e-05	2.47954314175791e-05	5.94393992858716e-05	4.9589732259381e-05	2.47954314175791e-05	8.17209607435761e-05
"Memecylon_eleagni"	0.00160971593987123	0.000486612969017529	0.000487591085538167	0.00160156555559264	0.0021588890342119	0.000483168440694738	1.00327346707608	0.0336316495992124	3.2728201378511e-05	0.000135815178156571	7.6381460517915e-05	2.29959419981604e-05	6.96558693625953e-06	0.033518830363054	9.73225938035058e-06	6.96558693625953e-06	1.66978463166101e-05	2.996152893442e-05	6.96558693625953e-06	0.0335144118703432
"Lasioglossum_mahense"	0.0145041302319545	0.0144430976855527	0.0144721290376845	0.0143998802810944	0.0144126716931059	0.0143646279667608	0.0144135641139482	1.00286191044932	0.000496063814167547	0.00190146230281413	0.000687197869826306	0.000207201860456492	0.00020674470053835	0.00116765000695791	0.000288861953711055	0.00020674470053835	0.000495606654249405	0.000413946560994842	0.00020674470053835	0.000960874526901803
"Rhiparida_seychellensis"	0.0503137812400394	0.0502966680063032	0.000146510555059624	8.49911829490724e-05	5.96194549718271e-05	5.94382687100945e-05	4.90923020677665e-05	0.00173622334958642	1.00172470166355	0.00173175390008585	0.00072160134286077	0.000718768303429134	2.0930079294232e-06	0.000723237752929695	0.00100593336012607	2.0930079294232e-06	0.00100802636805549	0.000720861311358557	2.0930079294232e-06	3.62372523465312e-06
"Apis_mellifera"	0.0202078909465683	0.0202008701827398	0.0202414749469262	6.23499969760606e-05	0.0201248515321976	0.0200911742977992	8.14891068939424e-05	0.00266204722393979	0.000692701560034342	1.00265725258714	0.000290762489612082	0.000288684156379547	0.000289163927813231	0.000293478793175213	0.000404017403654796	0.000289163927813231	0.000693181331468026	0.000577848084192777	0.000289163927813231	0.00067354468796972
