"Nephrosperma_vanhoutteanum"	"Memecylon_eleagni"	"Dillenia_suffruticosa"	"Chrysobalanus_icaco"	"Nepenthes_pervillei"	"Roscheria_melanochaetes"	"Cinnamomum_verum"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_126"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_126"	"Unidentified_sp2_M_PL_126"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_126"	"Unidentified_sp4_M_PL_126"	"Chalcidoma_disjunctum"	"Hemipyrellia_sp1_M_PL_126"	"Neavella_albipectus"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp5_M_PL_126"
"Nephrosperma_vanhoutteanum"	1.00470112499814	0.00101360558458406	0	0.000338942829139342	0.000338942829139342	0.000678296026156411	0.000338375085706947	0.00235503953786545	0.000336683210278413	0.0202009926167048	0.0202063106707111	0.0201860897384148	0	0.0201725238178917	0.0200940224999628	1.12980943046447e-05	1.35659205231282e-05	1.35659205231282e-05	3.37868528194688e-05	1.69187542853474e-05	1.35659205231282e-05	1.12980943046447e-05	1.12980943046447e-05	1.12980943046447e-05	1.35659205231282e-05
"Memecylon_eleagni"	0.00168934264097344	1.00503012214207	0	0.000564710084005283	0.000564710084005283	2.39702330213365e-06	0.000563764170966748	0.00112501860557958	0.000560945350111915	0.0336567210067149	0.0335722915444076	7.13354134714974e-05	0	7.12874730054547e-05	3.37868528194688e-05	1.88236694668428e-05	4.7940466042673e-08	4.7940466042673e-08	0.0335010040714022	2.81882085483374e-05	4.7940466042673e-08	1.88236694668428e-05	1.88236694668428e-05	1.88236694668428e-05	4.7940466042673e-08
"Dillenia_suffruticosa"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0.000564904715232236	0.000564710084005283	0	1.00727700149779	0.000565592101813864	3.82085011364426e-07	0.000564644711358564	1.95341799999977e-06	0.000561821487801772	0.0337092892681063	3.01868777048208e-05	1.13708499382053e-05	0	1.1363208237978e-05	1.12980943046447e-05	1.88530700604621e-05	7.64170022728853e-09	7.64170022728853e-09	1.88236694668428e-05	2.82322355679282e-05	7.64170022728853e-09	0.0335759000499262	1.88530700604621e-05	0.0335759000499262	7.64170022728853e-09
"Nepenthes_pervillei"	0.000564904715232236	0.000564710084005283	0	0.000565592101813864	1.00727700149779	3.82085011364426e-07	0.000564644711358564	1.95341799999977e-06	0.000561821487801772	0.0337092892681063	3.01868777048208e-05	1.13708499382053e-05	0	1.1363208237978e-05	1.12980943046447e-05	0.0335759000499262	7.64170022728853e-09	7.64170022728853e-09	1.88236694668428e-05	2.82322355679282e-05	7.64170022728853e-09	1.88530700604621e-05	0.0335759000499262	1.88530700604621e-05	7.64170022728853e-09
"Roscheria_melanochaetes"	0.000678296026156411	1.43821398128019e-06	0	2.29251006818656e-07	2.29251006818656e-07	1.00874364905775	2.28867001782109e-07	0.000676711711437325	2.27722666773198e-07	1.36633600063919e-05	3.61709180370817e-05	0.0202109959587261	0	3.61229775710391e-05	1.35659205231282e-05	7.64170022728852e-09	0.0201748729811551	0.0201748729811551	4.7940466042673e-08	1.14433500891054e-08	0.0201748729811551	7.64170022728852e-09	7.64170022728853e-09	7.64170022728852e-09	0.0201748729811551
"Cinnamomum_verum"	0.000845937714267368	0.000845646256450122	0	0.000846967067037847	0.000846967067037847	5.72167504455272e-07	1.00587067398987	2.92521891457253e-06	0.000841320619924261	0.0504792371954556	4.52044701308372e-05	1.70277049325889e-05	0	1.70162615824998e-05	1.69187542853474e-05	2.82322355679282e-05	1.14433500891054e-08	1.14433500891054e-08	2.81882085483374e-05	0.0502935336994937	1.14433500891054e-08	2.82322355679282e-05	2.82322355679282e-05	2.82322355679282e-05	1.14433500891054e-08
"Mimusops_sechellarum"	0.00392506589644241	0.00112501860557958	0	1.95341799999977e-06	1.95341799999977e-06	0.00112785285239554	1.95014594304835e-06	1.00391527536944	1.94039521333311e-06	0.000116423712799987	0.0335798444504294	0.0335649008872913	0	0.0335423438302434	7.85013179288482e-05	6.51139333333258e-08	2.25570570479108e-05	2.25570570479108e-05	3.75006201859859e-05	9.75072971524175e-08	2.25570570479108e-05	6.51139333333258e-08	6.51139333333258e-08	6.51139333333258e-08	2.25570570479108e-05
"Canthium_bibracteatum"	0.00168341605139206	0.00168283605033574	0	0.00168546446340531	0.00168546446340531	1.13861333386599e-06	0.00168264123984852	5.82118563999933e-06	1.00167422803365	0.100453682018957	8.9956895560366e-05	3.38851328158519e-05	0	3.38623605491746e-05	3.36683210278413e-05	5.61821487801771e-05	2.27722666773198e-08	2.27722666773198e-08	5.60945350111914e-05	8.41320619924261e-05	2.27722666773198e-08	5.61821487801771e-05	5.61821487801771e-05	5.61821487801771e-05	2.27722666773198e-08
"Apis_mellifera"	0.0168341605139206	0.0168283605033574	0	0.0168546446340531	0.0168546446340531	1.13861333386599e-05	0.0168264123984852	5.82118563999933e-05	0.0167422803364928	1.00453682018957	0.00089956895560366	0.000338851328158519	0	0.000338623605491746	0.000336683210278413	0.000561821487801771	2.27722666773198e-07	2.27722666773198e-07	0.000560945350111914	0.000841320619924261	2.27722666773198e-07	0.000561821487801771	0.000561821487801771	0.000561821487801771	2.27722666773198e-07
