"Dryas_sp1_M_PL_014"	"Salix_sp1_M_PL_014"	"Saxifraga_oppositifolia"	"Potentilla_sp1_M_PL_014"	"Lychnis_triflora"	"Papaver_sp1_M_PL_014"	"Stellaria_sp1_M_PL_014"	"Epilobium_sp1_M_PL_014"	"Lesquerella_arctica"	"Cassiope_tetragona"	"Cerastium_alpinum"	"Erysimum_sp1_M_PL_014"	"Saxifraga_tricuspidata"	"Taraxacum_sp1_M_PL_014"	"Arnica_sp1_M_PL_014"	"Draba_bellii"	"Saxifraga_hirculus"	"Braya_sp1_M_PL_014"	"Cerastium_arcticum"	"Draba_cinerea"	"Draba_oblongata"	"Erigeron_sp1_M_PL_014"	"Pedicularis_capitata"	"Pedicularis_sp1_M_PL_014"	"Polygonum_viviparum"	"Saxifraga_cernua"	"Saxifraga_flagellaris"	"Saxifraga_sp1_M_PL_014"	"Silene_sp1_M_PL_014"	"Bombus_polaris"	"Smittia_extrema"	"Carposcalis_carinata"	"Aedes_nigripes"	"Smittia_sp1_M_PL_014"	"Aedes_impiger"	"Aedes_sp1_M_PL_014"	"Boloria_sp1_M_PL_014"	"Corynoneura_scutellata"	"Cryptus_arcticus"	"Limnophyes_sp1_M_PL_014"	"Orthocladiinae_sp1_M_PL_014"	"Unidentified_sp1_M_PL_014"	"Apis_mellifera"	"Pogonomyoides_segnis"	"Protophormia_terraenovae"	"Ramphomyia_lamelliseta"	"Ramphomyia_nigrita"	"Ramphomyia_sp1_M_PL_014"	"Spilogona_melanosoma"	"Spilogona_sanctipauli"	"Spilogona_sp1_M_PL_014"	"Allopiophila_arctica"	"Amauronematus_amentorum"	"Anarta_richardsoni"	"Boreellus_atriceps"	"Chironomus_sp1_M_PL_014"	"Colias_hecla"	"Eupogonomyia_groenlandica"	"Helophilus_borealis"	"Heterotrissocladius_subpilosus"	"Hyposoter_luctus"	"Lasiestra_leucocycla"	"Olethreutes_mengelana"	"Paraphaenocladius_despectus"	"Pegomyia_sp1_M_PL_014"	"Peleteriopsis_aenea"	"Petinarctia_stylata"	"Plebeius_aquilo"	"Prosmittia_nanseni"	"Ramphomyia_filicauda"	"Smittia_polaris"	"Smittia_polymorpha"	"Spilogona_dorsata"	"Spilogona_latilamina"	"Unidentified_sp2_M_PL_014"	"Unidentified_sp3_M_PL_014"	"Unidentified_sp4_M_PL_014"	"Amauronematus_sp1_M_PL_014"	"Bombus_hyperboreus"	"Bradysia_sp1_M_PL_014"	"Brevicoryne_arctica"	"Chironomus_sp2_M_PL_014"	"Cricotopus_lestralis"	"Cricotopus_sp1_M_PL_014"	"Crymodes_exulis"	"Dolichopus_dasyops"	"Einfieldia_sp1_M_PL_014"	"Fucellia_pictipennis"	"Gynometriocnemus_sp1_M_PL_014"	"Isotoma_viridis"	"Limnophyes_globifer"	"Limnophyes_sp2_M_PL_014"	"Metriocnemus_obscuripes"	"Olethreutes_inquietana"	"Orthocladius_consobrinus"	"Orthocladus_sp1_M_PL_014"	"Phaladrodira_nigropilosa"	"Procladius_sp1_M_PL_014"	"Psectrocladius_barbatimanus"	"Pseudodiamesa_arctica"	"Rhyncaenus_sp1_M_PL_014"	"Scatophaga_nigripalpis"	"Spilogona_almquisti"	"Spilogona_deflorata"	"Spilogona_tundrae"	"Sympistris_labradoris"	"Tanytarsus_niger"	"Tipula_arctica"	"Unidentified_sp5_M_PL_014"	"Unidentified_sp6_M_PL_014"
"Dryas_sp1_M_PL_014"	1.00513931313073	0.00131993260619694	0.000710183484996635	0.000704516762795157	0.000127442540344766	0.000475740482967742	0.000140070646132256	0.000278364607830776	0.0001268176718617	0.000173036221518834	0.000134918099129366	4.65134893202369e-07	0.000168884751987992	0.000126860818776982	5.08217741969517e-05	5.09454213573923e-05	0.000210860356724151	4.18676206581905e-07	0	1.61912268151063e-07	1.61912268151063e-07	8.4210051686228e-05	2.54702760230898e-05	2.54702760230898e-05	8.00518469502302e-08	1.61912268151063e-07	5.70464050912524e-08	1.73197551954907e-07	2.54702760230898e-05	0.00254702760230898	1.45721041335957e-05	0.0025367466939681	0.00252646425307079	0.00252767480648494	0.00252477019393089	0.00252833647685704	0.00252833647685704	0.00252365585940131	6.92790207819627e-06	0.00252612624647717	9.2005183816908e-06	9.41770921778516e-06	1.21736426743344e-05	0.00252453321472286	0.002522062827647	0.00251918033315921	0.00252630155058684	1.24259018605183e-05	0.00252490922397569	0.00252453321472286	1.71139215273757e-06	0.00251773692210903	0.00251580738068097	0.00251707040162652	0.00251580738068097	0.00251580738068098	0.00251601980329625	0.00251773692210903	0.00251773692210903	1.6010369390046e-06	4.90957309253998e-06	0.00251538463626406	0.00251788054541822	4.90026765454094e-06	8.20378306081851e-06	4.5373626676948e-06	0.00251841557498344	0.00251773692210903	0.00251580738068097	0.00251788054541822	0.00251773692210903	7.84773713636351e-06	0.00251964457544065	0.00251987696138429	6.7584722369338e-06	6.62529434570355e-06	7.03327182185477e-06	4.88863928221088e-06	5.56729215661552e-06	4.88863928221089e-06	2.536353437234e-06	2.95909785415265e-06	2.95909785415264e-06	1.59303175430958e-06	1.16283723300592e-08	2.00100923046081e-06	2.95909785415264e-06	2.95909785415264e-06	4.88863928221088e-06	7.02867855747171e-06	2.95909785415264e-06	2.95909785415264e-06	2.95909785415265e-06	0.00251284828282682	5.03226259139398e-06	2.95909785415264e-06	0.00251284828282682	2.95909785415264e-06	2.95909785415264e-06	0.00251284828282682	4.88863928221088e-06	2.95909785415264e-06	0.00251284828282682	0.00251284828282682	0.00251284828282682	0.00251284828282682	2.95909785415264e-06	0.00251284828282682	0	4.88863928221088e-06
"Salix_sp1_M_PL_014"	0.00195545571288435	1.00462557996777	0.000456510513709342	0.000419582454504737	0.000229490857819152	0.000442993123517068	0.000300392897179859	0.000225216766788773	6.7452017570103e-07	0.00038000312789752	4.2332074791711e-05	0.000228800150241061	6.28638850912423e-05	7.3137394853423e-07	7.51678308481256e-05	4.20704391819622e-05	5.10406341119191e-07	0.00028045593659869	0	4.16252719935769e-05	4.16252719935769e-05	2.63734341618314e-07	3.76354108486826e-05	3.76354108486826e-05	1.44152548881377e-07	4.16252719935769e-05	2.75103615974271e-07	9.3713022689088e-05	3.76354108486826e-05	0.00376354108486825	0.00374627447942192	0.00373852333563733	0.00373551805964067	1.55798894582923e-05	0.00373301246527906	0.00373322547351227	0.00373322547351227	0.00373809283456449	0.00374852090756352	0.00373492122956016	5.34277596877826e-06	7.29464157351253e-06	0.0037322376867	0.00373205259383742	0.00373522419884175	7.84906829245925e-06	7.9120302485494e-06	4.5868990081711e-06	7.90267035909154e-06	0.00373205259383742	8.25310847922812e-06	0.00372572412064432	6.79076642266646e-06	6.46023640949193e-06	6.79076642266647e-06	6.79076642266648e-06	4.90692363092423e-06	0.00372572412064432	0.00372572412064432	2.88305097762753e-06	0.00373485827819205	4.9021296857249e-06	7.88565681438758e-06	0.00372655548511814	3.01530188089004e-06	4.30481750608344e-06	9.39297461798636e-06	0.00372572412064431	6.79076642266647e-06	7.88565681438758e-06	0.00372572412064431	0.00372273760850256	1.12171124753118e-05	4.90565282691486e-06	1.58508753079508e-06	5.86565325491609e-06	7.28834463474609e-06	0.00372083548136211	4.50433533577546e-06	0.00372083548136211	1.34904035140206e-08	1.9021271404556e-06	1.90212714045559e-06	2.86863572273939e-06	5.72000375602651e-06	4.29132710256942e-06	1.90212714045559e-06	1.90212714045559e-06	0.00372083548136211	1.7013544703973e-08	1.90212714045559e-06	1.90212714045559e-06	1.9021271404556e-06	4.88863928221088e-06	2.99701753217669e-06	1.90212714045559e-06	4.88863928221088e-06	1.90212714045559e-06	1.90212714045559e-06	4.88863928221087e-06	0.00372083548136211	1.90212714045559e-06	4.88863928221088e-06	4.88863928221088e-06	4.88863928221088e-06	4.88863928221088e-06	1.90212714045559e-06	4.88863928221088e-06	0	0.00372083548136211
"Saxifraga_oppositifolia"	0.00118363914166106	0.00051357432792301	1.00671161511671	7.18578089872851e-05	0.00015327139669159	0.000197559749251056	4.27613983173917e-05	4.27980342945114e-05	5.97253662583297e-07	0.000182845113225425	0.000271648625708559	4.73731253119525e-05	7.05654812694826e-05	0.000105669342576417	0.000105414692176572	0.000131502557603565	2.65321901606813e-07	1.58684483858199e-07	0	4.69432409321553e-05	4.69432409321553e-05	1.16132706299249e-07	4.22101625116855e-05	4.22101625116855e-05	9.62760029469786e-08	4.69432409321553e-05	1.57128802854555e-07	6.3181415625774e-08	4.22101625116855e-05	0.00422101625116855	0.00422489168389398	0.00420459264387563	9.49919525017541e-06	0.00421158774386874	5.98537217762301e-06	6.23045574469335e-06	6.23045574469336e-06	1.13482452838887e-05	2.52725662503096e-06	9.59939958541106e-06	1.3102471761396e-05	0.00420270317874855	0.00420110498462403	7.68350712676618e-06	9.43235282524385e-06	0.00420438204314981	3.48398118897746e-06	4.91914066034237e-06	3.48121198173443e-06	7.68350712676619e-06	4.71386408563665e-06	4.86122499460823e-06	0.00419759082750708	4.7232348858897e-06	0.00419759082750709	0.00419759082750709	5.60083141856306e-06	4.86122499460824e-06	4.86122499460824e-06	1.92552005893957e-06	1.9100613646485e-06	2.97104292740431e-06	3.47236791834754e-06	3.08645527325441e-06	3.15500362860531e-06	6.22822192071548e-07	3.81505854004288e-06	4.86122499460823e-06	0.00419759082750709	3.47236791834754e-06	4.86122499460823e-06	0.00419653385679339	5.78137998631059e-06	2.96794191753954e-06	1.77608210498873e-06	2.42916252283976e-06	1.12414718301477e-06	1.90212714045559e-06	8.55960685890229e-07	1.90212714045559e-06	1.19450732516659e-08	0.00419463172965294	0.00419463172965294	1.91589245864487e-06	1.18432813279881e-06	6.10877118819882e-07	0.00419463172965293	0.00419463172965294	1.90212714045559e-06	8.84406338689379e-09	0.00419463172965293	0.00419463172965293	0.00419463172965294	2.95909785415264e-06	5.13270064194894e-07	0.00419463172965294	2.95909785415264e-06	0.00419463172965294	0.00419463172965293	2.95909785415264e-06	1.90212714045559e-06	0.00419463172965294	2.95909785415264e-06	2.95909785415264e-06	2.95909785415264e-06	2.95909785415264e-06	0.00419463172965294	2.95909785415264e-06	0	1.90212714045559e-06
"Potentilla_sp1_M_PL_014"	0.00201290503655759	0.000809194733687707	0.000123184815406774	1.00403424550276	0.000360984002045958	0.000121616180817286	0.000684759439280068	0.000360954432087688	1.3124566554027e-06	9.74302653435863e-07	5.35376074092122e-07	4.02809225065038e-07	0.000360861828781494	0.000600816191064495	0.000144669466625072	3.50078838844083e-07	0.000240947585421164	4.71905087713163e-07	0	8.98295601901128e-08	8.98295601901128e-08	0.000240023593470032	2.73878115461702e-07	2.73878115461702e-07	2.26748745003743e-07	8.98295601901128e-08	1.61618253672096e-07	3.20874448385046e-07	2.73878115461702e-07	2.73878115461702e-05	8.08466041711015e-06	0.00719097465208152	0.00719430705554429	7.30796036374481e-06	0.00718948473999011	0.00718692155092786	0.00718692155092787	1.2565937715481e-05	1.28349779354018e-05	1.42789541608207e-05	4.56360285516297e-06	2.48682904205508e-05	3.53464516270748e-06	9.76665413524617e-06	8.05363768990655e-06	5.55891705744118e-06	0.00720070780410094	0.00719571513265869	0.00718473703093464	9.76665413524619e-06	4.84854761016288e-06	8.02928012357067e-06	5.54553265558886e-06	1.40538083109313e-05	5.54553265558887e-06	5.54553265558887e-06	2.00526673680064e-05	8.02928012357067e-06	8.02928012357067e-06	4.53497490007484e-06	3.02061278656235e-06	5.05851172450203e-06	0.00717670544475395	3.00708776280332e-06	0.00718669358693914	9.80852683710903e-06	1.22513512331478e-05	8.02928012357067e-06	5.54553265558887e-06	0.00717670544475394	8.02928012357066e-06	3.51028759637158e-06	6.76963660306949e-06	1.30638487720994e-05	9.04779485264541e-06	0.00717618548218811	0.00718145545986653	2.99701753217669e-06	7.21908864175376e-06	2.9970175321767e-06	2.62491331080541e-08	5.13270064194894e-07	5.13270064194893e-07	4.51230002557447e-06	1.00702306266259e-08	9.78227770400098e-06	5.13270064194893e-07	5.13270064194893e-07	2.99701753217669e-06	8.03158618070545e-06	5.13270064194893e-07	5.13270064194893e-07	5.13270064194894e-07	5.03226259139398e-06	0.00717167318216255	5.13270064194893e-07	5.03226259139398e-06	5.13270064194893e-07	5.13270064194893e-07	5.03226259139397e-06	2.99701753217669e-06	5.13270064194894e-07	5.03226259139397e-06	5.03226259139397e-06	5.03226259139397e-06	5.03226259139397e-06	5.13270064194894e-07	5.03226259139397e-06	0	2.99701753217669e-06
"Lychnis_triflora"	0.000637212701723831	0.000774531645139636	0.000459814190074769	0.000631722003580425	1.00391019262349	0.000315987998174218	1.42195648652275e-06	7.19821939372488e-07	0.00031620769927079	0.000315052270879917	0.000456021220817053	0.000141430749201545	1.0701308275662e-06	0.000315738774530896	0.000315089211840617	0.000455524238992607	2.84903725366632e-07	2.16649647579516e-07	0	0.00014028742894677	0.00014028742894677	2.04191698323881e-07	1.88592688768346e-07	1.88592688768346e-07	0.000630596854662998	0.00014028742894677	4.69523159132414e-07	7.26762373235979e-08	1.88592688768346e-07	1.88592688768346e-05	0.0126258686052093	1.54307274915892e-05	1.94972548947372e-05	3.4607710292766e-05	8.99428116671662e-06	8.9883639414109e-06	8.98836394141091e-06	0.0125612153820427	2.90704949294391e-06	0.0125578531895303	0.0125817862335993	0.0125691897433436	1.26608349533822e-05	8.97578173668066e-06	1.23379742490469e-05	1.49094547333808e-05	6.12575094971644e-06	1.2432522659536e-05	6.1148285707296e-06	8.97578173668067e-06	1.40856947739724e-05	4.46166747704897e-06	3.50892421295445e-06	1.61978502499873e-06	3.50892421295445e-06	3.50892421295446e-06	9.48650111758198e-06	4.46166747704898e-06	4.46166747704898e-06	0.01261193709326	2.87946820511838e-06	7.91718573972539e-06	6.10533177988406e-06	6.40440445277803e-06	1.24057693888469e-05	6.34446764950898e-06	1.60742819309703e-06	4.46166747704897e-06	3.50892421295445e-06	6.10533177988406e-06	4.46166747704897e-06	4.78452818138426e-06	6.10714601394126e-06	1.60252854515514e-06	6.35090725610497e-06	0.0125533897078192	4.53261368966764e-06	2.8686357227394e-06	1.43964387874498e-08	2.8686357227394e-06	6.32415398541581e-06	1.91589245864488e-06	1.91589245864488e-06	0.0125488774077937	3.53576873003863e-06	2.03136640931822e-08	1.91589245864487e-06	1.91589245864487e-06	2.86863572273939e-06	9.4967908455544e-09	1.91589245864487e-06	1.91589245864487e-06	1.91589245864488e-06	1.59303175430958e-06	4.51230002557448e-06	1.91589245864487e-06	1.59303175430958e-06	1.91589245864487e-06	1.91589245864487e-06	1.59303175430958e-06	2.86863572273939e-06	1.91589245864488e-06	1.59303175430958e-06	1.59303175430958e-06	1.59303175430958e-06	1.59303175430958e-06	1.91589245864487e-06	1.59303175430958e-06	0	2.86863572273939e-06
"Papaver_sp1_M_PL_014"	0.00271851704552996	0.00170868776213726	0.000677347711717908	0.000243232361634572	0.000361129140770535	1.00270099981772	0.000145398000816984	0.000145585744097303	1.28419127087752e-06	0.000145437262598818	0.000288449095349081	6.59933267144912e-07	0.000240334064498057	8.72173669138895e-07	5.2466378947438e-07	0.000287888101944758	6.28108626480863e-07	5.29075704196147e-07	0	3.39898164605591e-07	3.39898164605591e-07	2.85406910551853e-07	0.000143920479499292	0.000143920479499292	2.26839912544306e-07	3.39898164605591e-07	1.13669313247833e-09	2.11329355280608e-07	0.000143920479499292	0.0143920479499292	3.05908348145032e-05	0.0143479927709593	1.69567429089693e-05	0.0143507260695906	1.69392541159868e-05	1.77738547005474e-05	1.77738547005474e-05	2.1274811631528e-05	8.45317421122432e-06	0.0143419388774626	2.13472955336015e-05	7.3756895265006e-06	1.27866868902294e-05	0.014337424763203	1.67606973718963e-05	1.68298021297099e-05	8.56220731655559e-06	7.7675299658554e-06	8.55460357971643e-06	0.014337424763203	3.41007939743499e-08	1.31247658069259e-05	9.61857474598282e-06	1.28046442262763e-05	9.61857474598283e-06	9.61857474598285e-06	6.81809695555337e-06	1.31247658069259e-05	1.31247658069259e-05	4.53679825088611e-06	6.35492697831079e-06	6.82197643924245e-06	8.53366662550041e-06	6.3449715247796e-06	1.75917835340398e-06	2.10279812280303e-06	9.70800749577097e-06	1.31247658069259e-05	9.61857474598283e-06	8.53366662550041e-06	1.31247658069259e-05	9.15075532525891e-06	0.0143310962900099	6.81722956804093e-06	6.03403543786898e-06	6.25148827130719e-06	3.81448830906099e-06	6.32847319310097e-06	2.91171488194606e-06	6.32847319310098e-06	2.56838254175503e-08	2.82228213215795e-06	2.82228213215795e-06	4.51411425963168e-06	1.64983316786228e-08	2.07711429738548e-06	2.82228213215795e-06	2.82228213215795e-06	6.32847319310097e-06	2.09369542160288e-08	2.82228213215795e-06	2.82228213215795e-06	2.82228213215795e-06	6.7962926138249e-06	1.73737401167551e-06	2.82228213215795e-06	6.79629261382489e-06	2.82228213215795e-06	2.82228213215795e-06	6.79629261382489e-06	6.32847319310097e-06	2.82228213215795e-06	6.79629261382489e-06	6.79629261382489e-06	6.79629261382489e-06	6.79629261382489e-06	2.82228213215795e-06	6.79629261382489e-06	0	6.32847319310097e-06
"Stellaria_sp1_M_PL_014"	0.000800403692184322	0.00115865831769374	0.000146610508516772	0.00136951887856014	1.62509312745457e-06	0.000145398000816984	1.00402025268016	0.000145504444118593	0.000721227265807164	0.000144881633189879	5.99305859975354e-07	5.9370879387021e-07	1.46654400048682e-06	1.17686256097987e-06	0.000287954384295566	5.11743560116018e-07	4.95856929462928e-07	0.000361154935919436	0	5.54002382441377e-08	5.54002382441377e-08	3.94089864028822e-07	0.000144018645178743	0.000144018645178743	1.02078714036091e-09	5.54002382441377e-08	3.21515792520589e-07	0.000360037482224509	0.000144018645178743	0.0144018645178743	4.98602144197239e-06	1.87992690532487e-05	0.0143688195603729	4.72104141183608e-06	0.0143592210808964	1.8984702919403e-05	1.89847029194031e-05	9.93469082687038e-06	0.0144014992889804	8.38976429450889e-06	1.44768997454064e-05	1.02590918234564e-05	8.52424505113627e-06	8.3694506304157e-06	9.91437716277717e-06	2.62686899578007e-06	1.18226959208647e-05	9.84836286803764e-06	1.17998154987772e-05	8.36945063041571e-06	9.64547377561765e-06	6.29233633303022e-06	2.61188634928068e-06	2.03767283047297e-06	2.61188634928068e-06	2.61188634928069e-06	2.0304307944853e-06	6.29233633303022e-06	6.29233633303022e-06	2.04157428072183e-08	2.23490738985412e-05	1.64255545466041e-05	1.17832869344618e-05	4.30616982241618e-06	9.81169926802546e-06	0.0143575710121755	4.91109811283267e-06	6.29233633303022e-06	2.61188634928068e-06	1.17832869344618e-05	6.29233633303021e-06	4.90220422138929e-06	4.07812352784629e-06	2.01753779477624e-06	1.44612089161554e-05	9.80259136809416e-06	0.0143529287445633	4.29132710256941e-06	2.91008888237185e-06	4.29132710256942e-06	1.44245453161433e-05	6.10877118819883e-07	6.10877118819883e-07	2.03136640931822e-08	1.48427198467553e-08	0.0143431464668594	6.10877118819882e-07	6.10877118819882e-07	4.29132710256941e-06	1.65285643154309e-08	6.10877118819881e-07	6.10877118819882e-07	6.10877118819883e-07	2.0010092304608e-06	9.78227770400098e-06	6.10877118819882e-07	2.0010092304608e-06	6.10877118819882e-07	6.10877118819882e-07	2.0010092304608e-06	4.29132710256941e-06	6.10877118819882e-07	2.0010092304608e-06	2.0010092304608e-06	2.0010092304608e-06	2.0010092304608e-06	6.10877118819882e-07	2.0010092304608e-06	0	4.29132710256941e-06
"Epilobium_sp1_M_PL_014"	0.0022269168626462	0.00121617054065937	0.000205430564613655	0.00101067240984553	1.15171510299598e-06	0.000203820041736224	0.000203706221766029	1.00421968881349	4.28173250971181e-07	0.000202898682021155	4.62880732224699e-07	2.87230750669299e-07	8.74436724517283e-07	9.06387152544459e-07	4.27700041611149e-07	2.48386570197654e-07	7.08909525990806e-07	4.12590441897079e-07	0	6.0219897434397e-08	6.0219897434397e-08	4.27638153791615e-07	0.000201667157826108	0.000201667157826108	7.23439135047727e-10	6.0219897434397e-08	7.16971131118309e-10	1.86342199003563e-07	0.000201667157826108	0.0201667157826108	5.41979076909573e-06	2.10802526200939e-05	2.02150616845703e-05	9.35481929509734e-06	2.02008050165166e-05	0.020101684492404	0.020101684492404	1.51584909817073e-05	7.45368796014252e-06	1.29977388131245e-05	4.28114744524127e-08	9.07273471544996e-07	1.04327630721946e-05	1.2983342374337e-05	1.51440945429198e-05	6.43482486081136e-06	1.28291446137484e-05	7.2636092386803e-06	1.28100111159023e-05	1.2983342374337e-05	2.15091339335492e-08	1.0071627492391e-05	6.42325284250573e-06	5.58915307472844e-06	6.42325284250574e-06	6.42325284250574e-06	5.58995183542912e-06	1.0071627492391e-05	1.0071627492391e-05	1.44687827009545e-08	4.52496485787032e-06	5.57585562163493e-06	1.27863807983693e-05	4.5115161045422e-06	7.24174832056736e-06	2.91865234739127e-06	0.0200899610684266	1.0071627492391e-05	6.42325284250574e-06	1.27863807983693e-05	1.0071627492391e-05	5.36029602166568e-06	8.47900703856157e-06	5.59092247414854e-06	3.04243831323557e-08	7.23348508054121e-06	1.01291775241256e-05	4.50433533577546e-06	0.0200843937762699	4.50433533577547e-06	8.56346501942362e-09	8.5596068589023e-07	8.55960685890229e-07	1.43964387874497e-08	7.18076876673246e-09	2.91008888237185e-06	8.55960685890228e-07	8.55960685890228e-07	4.50433533577546e-06	2.36303175330269e-08	8.55960685890228e-07	8.55960685890228e-07	8.5596068589023e-07	5.56729215661551e-06	7.21908864175377e-06	8.55960685890228e-07	5.56729215661551e-06	8.55960685890229e-07	8.55960685890228e-07	5.56729215661551e-06	4.50433533577546e-06	8.55960685890229e-07	5.56729215661551e-06	5.56729215661551e-06	5.56729215661551e-06	5.56729215661551e-06	8.55960685890228e-07	5.56729215661551e-06	0	4.50433533577546e-06
"Lesquerella_arctica"	0.0010145413748936	3.64240894878556e-06	2.86681758039982e-06	3.67487863512757e-06	0.000505932318833264	1.79786777922852e-06	0.00100971817213003	4.28173250971181e-07	1.00553343826173	4.79629979019264e-07	0.000505206916047546	4.02333081853569e-07	0.00100949122967599	1.13355456224173e-06	5.00769538577242e-07	0.000504700967000491	2.13542740956726e-07	3.6389580127591e-07	0	3.99255142219615e-07	3.99255142219615e-07	8.57057715833462e-08	1.70838237412792e-07	1.70838237412792e-07	3.17796682684211e-07	3.99255142219615e-07	8.9467040130147e-10	3.62311541597019e-07	1.70838237412792e-07	1.70838237412792e-05	3.59329627997654e-05	2.78510026144249e-05	1.70173306079519e-05	3.20275208037749e-05	1.70006382899993e-05	2.5846564388755e-06	2.5846564388755e-06	8.88598857563931e-06	1.44924616638808e-05	8.89968165158138e-06	0.0201464464576878	6.3811302406761e-06	3.74262262411681e-08	2.57552766616557e-06	2.5618345902235e-06	1.51784714116743e-05	2.57117314750039e-06	2.52918687390637e-05	2.56972066170728e-06	2.57552766616557e-06	2.68401120390441e-08	2.54984384074802e-06	2.54829851048566e-06	2.77736341791337e-05	2.54829851048566e-06	2.54829851048566e-06	2.56469230129004e-06	2.54984384074802e-06	2.54984384074802e-06	6.35593365368422e-06	3.16851935778161e-08	0.0201132051186718	2.56260257034205e-06	2.35487305603598e-08	5.45879971640974e-08	0.0201250933105507	2.54491690225343e-06	2.54984384074802e-06	2.54829851048566e-06	2.56260257034205e-06	2.54984384074802e-06	2.54354767656865e-08	2.56203726265155e-06	2.54347152859922e-06	0.0201359060459764	6.35040311852386e-06	1.44507944492513e-05	1.34904035140206e-08	8.56346501942362e-09	1.34904035140206e-08	0.0201106687652345	1.1945073251666e-08	1.19450732516659e-08	6.32415398541579e-06	1.00583270463392e-08	1.44245453161433e-05	1.19450732516659e-08	1.19450732516659e-08	1.34904035140206e-08	7.1180913652242e-09	1.19450732516659e-08	1.19450732516659e-08	1.19450732516659e-08	2.536353437234e-06	2.62491331080541e-08	1.19450732516659e-08	2.536353437234e-06	1.19450732516659e-08	1.19450732516659e-08	2.536353437234e-06	1.34904035140206e-08	1.19450732516659e-08	2.536353437234e-06	2.536353437234e-06	2.536353437234e-06	2.536353437234e-06	1.19450732516659e-08	2.536353437234e-06	0	1.34904035140206e-08
"Cassiope_tetragona"	0.00173036221518834	0.00256502111330826	0.00109707067935255	3.41005928702552e-06	0.000630104541759834	0.000254515209547932	0.000253542858082288	0.000253623352526444	5.9953747377408e-07	1.00255068449567	9.9283588284138e-07	7.24479836341841e-07	5.87978884130966e-07	5.32662131337405e-07	6.63306606055921e-07	6.9544074065213e-07	3.63525592328553e-07	8.06907504508117e-07	0	2.45413902464581e-07	2.45413902464581e-07	1.45493749307918e-07	0.000251700046774352	0.000251700046774352	3.9579431015065e-07	2.45413902464581e-07	1.34522461907726e-09	3.29886325874947e-07	0.000251700046774352	0.0251700046774352	2.20872512218122e-05	2.20721001694541e-05	1.74944923516936e-05	1.25809671886697e-05	1.74723821314917e-05	1.89228083522736e-05	1.89228083522736e-05	0.025085469402899	1.31954530349979e-05	2.53382220723772e-05	7.93629977656619e-06	1.24828613761189e-05	0.0250778383184197	1.74619153003793e-05	0.025077593096127	8.92185426567752e-06	4.36481247923754e-06	5.23735917226058e-08	4.36238062405103e-06	1.74619153003793e-05	4.03567385723177e-08	1.38259837354089e-05	8.89703336860646e-06	4.34060501007412e-06	8.89703336860647e-06	8.89703336860649e-06	4.33922209125429e-06	1.38259837354089e-05	1.38259837354089e-05	7.91588620301299e-06	9.54042357266342e-06	4.33789628744633e-06	4.35026310430675e-06	9.51819019334657e-06	3.76741196193317e-08	3.63403157922246e-06	9.39837258849975e-06	1.38259837354088e-05	8.89703336860648e-06	4.35026310430675e-06	1.38259837354088e-05	1.40712060280736e-05	7.9618371029413e-06	4.33802305771514e-06	2.66902215787558e-08	7.90066433833382e-06	3.64639839608287e-06	9.500078197438e-06	5.07246705052888e-06	9.50007819743802e-06	1.19907494754816e-08	4.57112783063564e-06	4.57112783063564e-06	7.87630677199792e-06	1.8111995908546e-08	3.62204082974698e-06	4.57112783063563e-06	4.57112783063563e-06	9.500078197438e-06	1.21175197442851e-08	4.57112783063563e-06	4.57112783063563e-06	4.57112783063564e-06	4.32590553797085e-06	2.43575663358966e-08	4.57112783063563e-06	4.32590553797085e-06	4.57112783063563e-06	4.57112783063563e-06	4.32590553797085e-06	9.500078197438e-06	4.57112783063563e-06	4.32590553797085e-06	4.32590553797085e-06	4.32590553797085e-06	4.32590553797085e-06	4.57112783063563e-06	4.32590553797085e-06	0	9.500078197438e-06
