"Azorina_vidalii"	"Crithmum_maritimum"	"Daucus_carota"	"Leucanthemum_vulgare"	"Lotus_corniculatus"	"Freesia_sp1_M_PL_036"	"Reseada_luteola"	"Silene_vulgaris"	"Solidago_sempervirens"	"Beta_maritima"	"Unidentified_sp1_M_PL_036"	"Unidentified_sp2_M_PL_036"	"Unidentified_sp3_M_PL_036"	"Apis_mellifera"	"Bombus_sp1_M_PL_036"	"Unidentified_sp4_M_PL_036"	"Lucilia_sp1_M_PL_036"	"Calliphora_sp1_M_PL_036"	"Moth_sp1_M_PL_036"	"Unidentified_sp5_M_PL_036"	"Unidentified_sp6_M_PL_036"	"Unidentified_sp7_M_PL_036"
"Azorina_vidalii"	1.00461742197105	0.000634264990740578	0.000527916378149709	0.000528003698609733	0.00126384738682768	0.00084279906494085	0.000632072714785401	0.000526811735911154	0.000212084816983486	0.000315787343012586	0.0126614635739141	0.0126087717352986	0.0126314937205034	0.012631449656605	0.0126419859741127	0.0126419859741127	3.34538373735048e-05	0.0125577177746381	1.06042408491743e-05	1.76001232869911e-05	1.58566247685144e-05	0.0125577177746381
"Crithmum_maritimum"	0.00126852998148116	1.00503358931765	0.00189229429313232	0.000634965032772615	1.59909835783444e-06	1.06420923392033e-06	2.7349134062885e-06	0.00063311109978862	2.21107968077828e-06	0.000630911075506246	0.000132001456942463	0.0252259383352399	0.0252364430202498	1.60466737174234e-05	1.59631385088049e-05	1.5963138508805e-05	0.025188916209379	1.58566247685144e-05	1.10553984038914e-07	2.11655010924205e-05	0.0251258397329413	1.58566247685144e-05
"Daucus_carota"	0.00140777700839922	0.00252305905750976	1.00307376611935	0.00140350102207045	2.70813621340727e-06	1.18310928509056e-06	0.000561266480747951	0.000562468198154232	0.000562554224944356	2.72674433459764e-06	0.033584487229178	0.0335632492604235	0.000109069773383906	4.57508078495014e-05	1.77466392763584e-05	1.77466392763584e-05	0.0334988686804161	1.75972126049903e-05	2.81277112472178e-05	4.67833674023485e-05	6.30764764377441e-05	1.75972126049903e-05
"Leucanthemum_vulgare"	0.00140800986295929	0.00084662004369682	0.00140350102207045	1.00474926780466	2.70999079176107e-06	1.18330811460757e-06	0.000562200480024442	0.000562350066211699	0.000563491253615365	1.67626886441094e-06	0.0336404278408373	0.0335771912519371	6.70507545764376e-05	4.58004803146052e-05	1.77496217191135e-05	1.77496217191135e-05	6.7948868494769e-05	1.76001232869911e-05	2.81745626807683e-05	0.0334916422601554	2.11655010924205e-05	1.76001232869911e-05
"Lotus_corniculatus"	0.00337025969820715	2.13213114377926e-06	2.70813621340727e-06	2.70999079176107e-06	1.00335807252322	0.00223995968764783	0.00111975473922217	2.7024718937718e-06	1.65015441771822e-06	1.06056824814217e-06	9.8514218737778e-05	4.23621537396895e-05	4.24227299256867e-05	0.0335433850672962	0.0335993953147175	0.0335993953147175	1.43574485708057e-07	4.21282462275894e-05	8.25077208859112e-08	9.03330263920358e-08	5.33032785944814e-08	4.21282462275894e-05
"Freesia_sp1_M_PL_036"	0.0033711962597634	2.12841846784066e-06	1.77466392763584e-06	1.77496217191135e-06	0.00335993953147175	1.00335479183529	5.85895469567749e-06	1.77095052777567e-06	7.14832680271585e-07	1.05969201090545e-06	4.26755110122136e-05	4.23114845787234e-05	4.23876804362178e-05	0.000154430885364218	0.0503218775293941	0.0503218775293941	1.12365925950545e-07	4.21399532470425e-05	3.57416340135793e-08	5.91654057303783e-08	5.32104616960165e-08	4.21399532470425e-05
"Reseada_luteola"	0.0025282908591416	5.469826812577e-06	0.000841899721121926	0.000843300720036662	0.00167963210883325	5.85895469567749e-06	1.00251206502854	0.00084014017992429	0.000842504396382246	1.84830552395486e-06	0.0502975124640201	8.79137294482041e-05	7.39322209581945e-05	0.0502131946241273	8.78843204351623e-05	8.78843204351624e-05	2.8200069707712e-05	3.160363573927e-05	4.21252198191123e-05	2.81100240012221e-05	1.36745670314425e-07	3.160363573927e-05
"Silene_vulgaris"	0.00210724694364462	0.00126622219957724	0.000843702297231347	0.000843525099317548	4.0537078406577e-06	1.77095052777567e-06	0.00084014017992429	1.00209506919207	0.000842067761418501	0.00125721176945836	0.0502714453566845	0.000114237055003285	0.0502884707783343	6.84827193864608e-05	2.65642579166351e-05	2.65642579166351e-05	5.97789648971426e-05	2.63405867955577e-05	4.2103388070925e-05	2.8117503310585e-05	3.1655554989431e-05	2.63405867955577e-05
"Solidago_sempervirens"	0.000848339267933942	4.42215936155656e-06	0.000843831337416533	0.000845236880423047	2.47523162657734e-06	7.14832680271585e-07	0.000842504396382247	0.000842067761418501	1.00587009446978	1.32376398255986e-06	0.0504446398461565	6.70170687611993e-05	5.29505593023942e-05	5.28119683891725e-05	1.07224902040738e-05	1.07224902040738e-05	2.82382652312567e-05	1.06042408491743e-05	0.0502935047234893	2.81745626807683e-05	1.10553984038914e-07	1.06042408491743e-05
"Beta_maritima"	0.00252629874410069	0.00252364430202498	8.18023300379293e-06	5.02880659323282e-06	3.1817047444265e-06	2.11938402181089e-06	3.69661104790972e-06	0.00251442353891672	2.64752796511971e-06	1.00251178924859	0.000158057419517647	9.5110143171784e-05	0.100471569943657	3.18696216784683e-05	3.17907603271634e-05	3.17907603271634e-05	6.33637819840843e-05	3.15787343012586e-05	1.32376398255986e-07	1.67626886441094e-07	6.30911075506246e-05	3.15787343012586e-05
