"Sideroxylon_cinereum"	"Croton_fothergillifolius"	"Dodonaea_viscosa"	"Trochetia_blackburniana"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Claoxylon_linostachys"	"Apis_mellifera"	"Chaetocnema_sp1_M_PL_072"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Stomorhina_lunata"	"Stomoxys_niger"	"Musca_domestica"	"Ophyra_capensis"	"Dysauxes_florida"	"Melanostoma_annulipes"	"Nacoleia_sp2_M_PL_072"	"Pachycerina_crinicornis"	"Nacoleia_sp1_M_PL_072"	"Orchisia_costata"	"Ceratitis_roas"	"Chrysomya_megacephala"	"Diptera_sp1_M_PL_072"	"Diptera_sp2_M_PL_072"	"Eristalinus_flaveolus"	"Graphomya_maculata"	"Henotesia_narcissus"	"Homoneura_sp1_M_PL_072"	"Homoneura_sp2_M_PL_072"	"Limnophora_quaterna"	"Lygistorrhina_sp1_M_PL_072"	"Orthellia_albigena"	"Paragus_borbonicus"	"Phorinia_sp1_M_PL_072"	"Sapromyza_sp1_M_PL_072"	"Technomyrmex_albipes"	"Unidentified_sp1_M_PL_072"
"Sideroxylon_cinereum"	1.00711861786258	0.00044548478245934	0.000758618149830828	0.000266363030378888	0.00111174671925741	0.000400179556507369	0	0.00532726060757776	0.00530953400018907	0.00530752083317469	0.00533475698571566	0.00531643052882388	0.00531452113853059	1.58062242840125e-05	0.00531396362309012	0.00531452113853059	2.22490141994324e-05	0.00531452113853059	0.00532141766716541	8.90969564918681e-06	2.07933626255434e-05	1.38968339907177e-05	0.00530062430453988	0	6.8965286348257e-06	0.00530062430453988	6.8965286348257e-06	0.00530062430453987	6.8965286348257e-06	0.00530062430453988	0.00530062430453987	6.89652863482571e-06	0.00530062430453988	0.00530062430453987	0.00530062430453987	0.00530062430453987	6.89652863482571e-06	1.38968339907177e-05
"Croton_fothergillifolius"	0.00169284217334549	1.00570268938521	0.00168967427244106	4.47723399456624e-07	4.38787248858471e-06	0.00101096867412467	0	8.95446798913247e-06	0.0201229634833534	2.42703708531964e-05	5.80241750634595e-05	0.0201383241585574	8.96454405529411e-06	0.0201294144629082	4.26086514533426e-05	8.96454405529411e-06	0.0201477527435084	8.9645440552941e-06	2.43252192593037e-05	0.0201140537877042	1.54155236101169e-05	5.48484061073088e-08	8.90969564918681e-06	0	1.53606752040096e-05	8.90969564918681e-06	1.53606752040096e-05	8.9096956491868e-06	1.53606752040096e-05	8.90969564918681e-06	8.9096956491868e-06	1.53606752040096e-05	8.90969564918681e-06	8.9096956491868e-06	8.9096956491868e-06	8.9096956491868e-06	1.53606752040096e-05	5.48484061073088e-08
"Dodonaea_viscosa"	0.00131034044061688	0.000768033760200481	1.00679202147559	3.46559227880689e-07	0.00099888999586594	0.000231377869504972	0	6.93118455761377e-06	2.22572038388353e-05	0.00915955126932203	0.00917974998992052	0.00917491194452604	1.938265358315e-05	0.00916801541589123	1.46091242849914e-05	1.938265358315e-05	2.30732708541754e-05	1.938265358315e-05	0.00917203739427036	1.53606752040096e-05	0.00916514086563554	1.24861249483243e-05	6.89652863482571e-06	0	0.00915265474068722	6.8965286348257e-06	0.00915265474068722	6.8965286348257e-06	0.00915265474068721	6.8965286348257e-06	6.8965286348257e-06	0.00915265474068723	6.89652863482571e-06	6.8965286348257e-06	6.8965286348257e-06	6.8965286348257e-06	0.00915265474068722	1.24861249483243e-05
"Trochetia_blackburniana"	0.00506089757719888	2.23861699728312e-06	3.81215150668758e-06	1.00502646413583	5.58666693094178e-06	2.01095254526316e-06	0	0.100529282716621	2.66810753778345e-05	2.66709589606769e-05	2.68078240488224e-05	2.67157313006225e-05	2.67061363745256e-05	7.94282627337312e-08	2.67033347893976e-05	2.67061363745256e-05	1.11804091454434e-07	2.67061363745256e-05	2.67407922973136e-05	4.47723399456624e-08	1.04489259424841e-07	6.98333366367723e-08	2.66363030378888e-05	0	3.46559227880689e-08	2.66363030378888e-05	3.46559227880689e-08	2.66363030378888e-05	3.46559227880689e-08	2.66363030378888e-05	2.66363030378888e-05	3.46559227880689e-08	2.66363030378888e-05	2.66363030378888e-05	2.66363030378888e-05	2.66363030378888e-05	3.46559227880689e-08	6.98333366367723e-08
"Psiadia_terebinthina"	0.00264039845823636	2.74242030536544e-06	0.00137347374431567	6.98333366367723e-07	1.00576671713756	0.000316980007228925	0	1.39666673273545e-05	1.3951682396825e-05	2.63829589390419e-05	0.0126090329233995	2.64378073451492e-05	0.0125859807982102	1.25409733544316e-05	2.44628342316818e-05	0.0125859807982102	1.06208486470715e-05	0.0125859807982102	0.0125984669231585	5.48484061073088e-08	0.0125845700891678	0.0125720839642195	1.38968339907177e-05	0	1.24861249483243e-05	1.38968339907177e-05	1.24861249483243e-05	1.38968339907177e-05	1.24861249483242e-05	1.38968339907177e-05	1.38968339907177e-05	1.24861249483243e-05	1.38968339907177e-05	1.38968339907177e-05	1.38968339907177e-05	1.38968339907177e-05	1.24861249483243e-05	0.0125720839642195
"Erythroxylum_macrocarpum"	0.00253447052454667	0.00168494779020779	0.000848385521518229	6.70317515087721e-07	0.000845280019277131	1.00418725592795	0	1.34063503017544e-05	4.70382743544014e-05	2.10519142004114e-05	0.0335045264453728	5.47508700045671e-05	2.39053187912098e-05	4.14115514543215e-05	0.0334862478494818	2.39053187912098e-05	0.0335066074867357	2.39053187912098e-05	3.16179144413755e-05	3.36989558041558e-05	1.82785958911299e-05	1.05660002409641e-05	1.33393185502456e-05	0	7.71259565016572e-06	1.33393185502456e-05	7.71259565016572e-06	1.33393185502456e-05	7.71259565016572e-06	1.33393185502456e-05	1.33393185502456e-05	7.71259565016573e-06	1.33393185502456e-05	1.33393185502456e-05	1.33393185502456e-05	1.33393185502456e-05	7.71259565016572e-06	1.05660002409642e-05
"Claoxylon_linostachys"	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0506089757719888	2.23861699728312e-05	3.81215150668758e-05	0.0502646413583105	5.58666693094178e-05	2.01095254526316e-05	0	1.00529282716621	0.000266810753778345	0.000266709589606769	0.000268078240488224	0.000267157313006225	0.000267061363745256	7.94282627337312e-07	0.000267033347893976	0.000267061363745256	1.11804091454434e-06	0.000267061363745256	0.000267407922973136	4.47723399456624e-07	1.04489259424841e-06	6.98333366367723e-07	0.000266363030378888	0	3.46559227880689e-07	0.000266363030378888	3.46559227880689e-07	0.000266363030378888	3.46559227880689e-07	0.000266363030378888	0.000266363030378888	3.46559227880689e-07	0.000266363030378888	0.000266363030378888	0.000266363030378888	0.000266363030378888	3.46559227880689e-07	6.98333366367723e-07
"Chaetocnema_sp1_M_PL_072"	0.0504405730017961	0.0503074087083835	0.000122414621113594	1.33405376889172e-05	5.58067295873e-05	7.05574115316021e-05	0	0.000266810753778345	1.00127162487418	0.000266589560201395	0.000269639058038956	0.00127273773436906	0.000266174284129294	0.00100726103435961	0.000267828613727173	0.000266174284129294	0.00100850008788539	0.000266174284129294	0.000267287144321236	0.00100614817416767	1.81044431178302e-06	6.9758411984125e-07	0.000265476700009453	0	1.11286019194177e-06	0.000265476700009453	1.11286019194177e-06	0.000265476700009453	1.11286019194177e-06	0.000265476700009453	0.000265476700009453	1.11286019194177e-06	0.000265476700009453	0.000265476700009453	0.000265476700009453	0.000265476700009453	1.11286019194177e-06	6.9758411984125e-07
"Fannia_pusio"	0.0504214479151596	6.06759271329911e-05	0.0503775319812712	1.33354794803384e-05	0.000105531835756168	3.15778713006171e-05	0	0.000266709589606769	0.000266589560201395	1.00072335360512	0.000725725348781809	0.000724567123667496	0.000266695189605687	0.000459191082008762	0.000266428637368756	0.000266695189605687	2.26611425268039e-06	0.000266695189605687	0.000724672753071789	1.21351854265982e-06	0.000459296711413054	1.3191479469521e-06	0.000265376041658735	0	0.000457977563466102	0.000265376041658735	0.000457977563466102	0.000265376041658735	0.000457977563466102	0.000265376041658735	0.000265376041658735	0.000457977563466102	0.000265376041658735	0.000265376041658735	0.000265376041658735	0.000265376041658735	0.000457977563466102	1.3191479469521e-06
