"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"
"R1"	1.00197765378784	0.00197765378783645	0.00134764871871879	0.00197765378783645	0.000842746230945514	0.00155636191856112	0.000421291869275331	0.0252002027647064	0.0252451243886637	0.025287261700211	0.0252775121565198
"R2"	0.00197765378783645	1.00197765378784	0.00134764871871879	0.00197765378783645	0.000842746230945514	0.00155636191856112	0.000421291869275331	0.0252002027647064	0.0252451243886637	0.025287261700211	0.0252775121565198
"R3"	0.00179686495829172	0.00179686495829172	1.00179246567081	0.00179686495829172	0.00112108459703711	0.00123619882655965	0.000560666131732063	0.000175971499423867	0.0335690536884507	0.0336251079183026	0.0336399679039238
"R4"	0.00197765378783645	0.00197765378783645	0.00134764871871879	1.00197765378784	0.000842746230945514	0.00155636191856112	0.000421291869275331	0.0252002027647064	0.0252451243886637	0.025287261700211	0.0252775121565198
"R5"	0.00168549246189103	0.00168549246189103	0.00168162689555566	0.00168549246189103	1.00167741335789	0.000846321563186717	0.00083917089870431	0.000154622653414718	0.000210676883266573	0.0502945475511611	0.0503502539222586
"R6"	0.00207514922474816	0.00207514922474816	0.00123619882655965	0.00207514922474816	0.000564214375457812	1.00207139207052	3.75715422672773e-06	0.0335580159275402	0.0335992225550921	0.033627433273865	0.000225429253603664
"R7"	0.00168516747710132	0.00168516747710132	0.00168199839519619	0.00168516747710132	0.00167834179740862	1.12714626801832e-05	1.00167389601442	0.000126763276205272	0.000182829889378478	0.000266746979248909	0.100433760865268
"C1"	0.0252002027647064	0.0252002027647064	0.000131978624567901	0.0252002027647064	7.73113267073588e-05	0.0251685119456551	3.1690819051318e-05	1.00272896560554	0.00273336489302708	0.00273723045936245	0.00190144914307908
"C2"	0.020196099510931	0.020196099510931	0.0201414322130704	0.020196099510931	8.42707533066292e-05	0.0201595335330553	3.65659778756957e-05	0.00218669191442167	1.00285807298819	0.00286228652585601	0.00219395867254174
"C3"	0.0168581744668073	0.0168581744668073	0.0168125539591513	0.0168581744668073	0.0167648491837204	0.0168137166369325	4.44578298748182e-05	0.00182482030624163	0.00238523877154668	1.00322348123073	0.00266746979248909
"C4"	0.0168516747710132	0.0168516747710132	0.0168199839519619	0.0168516747710132	0.0167834179740862	0.000112714626801832	0.0167389601442114	0.00126763276205272	0.00182829889378478	0.00266746979248909	1.00433760865268
