"Ageratina_dendroides"	"Axinaea_sp._JH2631"	"Baccharis_genistelloides"	"Baccharis_latifolia"	"Baccharis_sp."	"Begonia_parviflora"	"Boehmeria_sp."	"Cavendishia_sp."	"Clethra_revoluta"	"Erato_polymnioides"	"Ericaceae_sp._indet."	"Faramea_cf._uniflora"	"Fuchsia_lehmannii"	"Gaultheria_erecta"	"Heliocarpus_americanus"	"Hyptis_sp."	"Lichen_sp._indet."	"Melastomataceae_sp._indet."	"Miconia_sp."	"Monochaetum"	"Monochaetum_lineatum"	"Munnozia_hastifolia"	"Myrica_pubescens"	"Paullinia_grandifolia"	"Piper_carpunya"	"Piper_parareolatum"	"Piper_sp._Type_1"	"Piper_sp._Type_3"	"Piper_sp._Type_8"	"Pteridium"	"Pteridium_arachnoideum"	"Saurauia_sp._JH1604"	"Saurauia_sp."	"Sida_rhombifolia"	"Siparuna_aspera"	"Solanum_nutans"	"Solanum_sp."	"Stemodia_suffruticosa"	"Sticherus_sp."	"Tabebuia_chrysantha"	"Tapirira_guianensis"	"Tibouchina_laxa"	"Tibouchina_lepidota"	"Urticaceae_sp._indet."	"Viburnum_stipitatum"	"Pero_maculicosta"	"Bryoptera_sp._2166"	"Glena_sp._nr._juga"	"Glena_sp._2167"	"Iridopsis_scolancala"	"Iridopsis_sp._nr._subnigrata"	"Melanolophia_atigrada"	"Melanolophia_corza"	"Melanolophia_reducta_meridiana"	"Oenoptila_sp._nr._nigriceps"	"Physocleora_curvifera"	"Apiciopsis_sp._2168"	"Callipseustes_sp._2169"	"Mychonia_corticinaria"	"Mychonia_violacea"	"Cargolia_arana"	"Ischnopteris_brehmi"	"Rucana_bisecta"	"Bonatea_duciata"	"Bonatea_viridilinea"	"Nephodia_admirationis"	"Nephodia_sp._nr._astychiodes"	"Isochromodes_brumosa"	"Isochromodes_duplicata"	"Isochromodes_fraterna"	"Isochromodes_polvoreata"	"Isochromodes_sp._106"	"Mesedra_sp._nr._confinis"	"Mesedra_sp._180"	"Perusia_praecisaria"	"Certima_sp._97"	"Eustenophasma_fuscata"	"Microxydia_colorata"	"Microxydia_sp._nr._ruficomma"	"Nematocampa_sp._nr._falsa"	"Pantherodes_conglomerata"	"Phyllodonta_flabellaria"	"Phyllodonta_semicava"	"Prochoerodes_pilosa"	"Sabulodes_bolivaria"	"Sabulodes_thermidora"	"Sabulodes_sp._nr._carbina"	"Cyclophora_costinotata"	"Cyclophora_viator"	"Erateina_radiaria"	"Erateina_siliquata"	"Perizoma_emmelesiata"	"Eois_encina"	"Eois_mucosa"	"Eois_olivacea"	"Eois_tegularia"	"Eois_sp._nr._encina"	"Eois_sp._nr._odatis"	"Eupithecia_lachaumei"	"Eupithecia_sobria"	"Euphitecia_yangana"	"Euphitecia_sp._2170"	"Psaliodes_inundulata"	"Spargania_narangilla"
"Ageratina_dendroides"	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Axinaea_sp._JH2631"	0	1.00671895774727	0	0	0	0	0	0	1.13661684064136e-06	0	0	0	0	0	0	0	0	0	1.13377171525841e-06	0	0	0	0	2.85584814926553e-09	0	0	0	0	0	0	0.00169213718754493	0	0	0	0	0	0	0	0.00168536295853786	1.13662756340768e-06	0	2.86662507097442e-09	1.13946906056122e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6973453028061e-08	5.69025076588422e-08	0	0	0	0	0	0.0505608887561357	0	0	0	5.66885857629207e-05	7.16656267743604e-11	0	0	0	0	0	0	0	0	0	0.0503359478873637	0	5.71169629853105e-08	0	0	0	0	0	7.16656267743604e-11	7.16656267743604e-11	0	0	0	0	0	0	0	0	0	5.64045729181643e-05	0	0
"Baccharis_genistelloides"	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Baccharis_latifolia"	0	0	0	1.00672415225577	0.00168630511265623	0	0	0	0	0	0	0	0	0	0.00169055273258735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.45276366293675e-05	0	0	0	0	0.0336419993784882	0.0335574717418589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0337261022531245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Baccharis_sp."	0	0	0	0.00505891533796868	1.00503359952318	0	0	0	0	0	0	0	0	0	8.49523986224799e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.24761993112399e-07	0	0	0	0	0.000169055273258735	0.000168630511265623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100671990463584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Begonia_parviflora"	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Boehmeria_sp."	0	0	0	0	0	0	1.01010101010101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336700336700337	0	0	0	0.0336700336700337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cavendishia_sp."	0	0	0	0	0	0	0	1.00503784714311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0050631629578998	0	0	0	0	0	0.100756942862206	0	0	0	0	0	0	0	0	0	0	0	0.00025315814789499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clethra_revoluta"	0	1.13661684064136e-06	0	0	0	0	0	0	1.00352020009475	0	0	0	0	0	0	0	0	0	0.00100823591166007	0	0	0	0	2.53963705707827e-06	0	0	0	0	0	0	0.00101274265426406	0	0	0	0	0	0	0	1.13093375643815e-06	0.00101077554871715	0	0.00253094628018852	0.00101330242377897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06651211889484e-05	0.0502392836617421	0	0	0	0	0	3.39280126931445e-05	0	0	0	0.0504117955830036	6.32736570047129e-05	0	0	0	0	0	0	0	0	0	5.68308420320678e-08	0	5.07927411415654e-05	0	0	0	0	0	6.32736570047129e-05	6.32736570047129e-05	0	0	0	0	0	0	0	0	0	3.37580884754686e-05	0	0
"Erato_polymnioides"	0	0	0	0	0	0	0	0	0	1.00251680331014	0	0	0	0	0	0	0	0	0	0	0.00252945056295154	0	0.00253795291778499	0	0	0	0	0	0	0	0	0	0	0.00251680331013678	0	0	0	0	0	0	0	0	0	0	0	4.22992152964165e-05	0	0	0	0	0	4.22992152964165e-05	0	0	0	0	0	0	0	0.000126472528147577	0	0	0	0	0.100672132405471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22992152964165e-05	0	0	0	0	0	0	4.22992152964165e-05	0	0	0	0	0	0	0	0	0	0	0	4.22992152964165e-05	0	0	0
