"Guarea_guidonia"	"Clusia_rosea"	"Ocotea_coriacea"	"Roystonea_borinquena"	"Cupania_americana"	"Cecropia_schreberiana"	"Clusia_gundlachi"	"Hyeronima_clusioides"	"Ficus_sp1_M_SD_005"	"Margravia_rectiflora"	"Persea_americana"	"Phoradendron_sp1_M_SD_005"	"Alchornea_latifolia"	"Anthurium_scandens"	"Ardisia_obovata"	"Bursera_simaruba"	"Chrysophyllum_argenteum"	"Comocladia_glabra"	"Dendropemon_bicolor"	"Guapira_fragrans"	"Petitia_dominguensis"	"Syzigium_malaccensis"	"Unidentified_sp1_M_SD_005"	"Unidentified_sp2_M_SD_005"	"Zanthoxylum_martinicensis"	"Loxigilla_portoricensis"	"Margarops_fuscatus"	"Columba_squamosa"	"Turdus_plumbeus"	"Vireo_altiloquous"	"Spindalis_portoricensis"	"Euphonia_musica"	"Tyrannus_caudifasciatus"	"Tyrannus_dominicensis"	"Molothrus_bonariensis"	"Myarchus_antillarum"	"Coereba_flaveola"	"Vireo_latimeri"
"Guarea_guidonia"	1.0039119292334	0.00200698824973309	0.000395974886639384	0.000241285861344795	0.000410357781078643	0.000410108931020202	0.000323263244911554	2.58000213531359e-07	0.000322333196726565	0.000393865940210965	0.00015376812726469	0	0.000168823069675407	0	2.58000213531359e-07	0.000168823069675407	0.000153510127051159	0.000168823069675407	0	0.000153510127051159	9.30048184988969e-07	0.000153510127051159	0.000168823069675407	0.000240355813159806	0.000153510127051159	0.0168823069675407	0.0168861139756274	4.65024092494484e-05	0.0168249069211864	0.0167605367479338	7.74000640594077e-06	0	0.0167318654872234	2.3577964868606e-05	2.86712607104727e-05	0.0167605367479338	2.86712607104727e-05	2.86712607104727e-05
"Clusia_rosea"	0.00172027564262836	1.006028265692	0.000133205664671436	1.04286200969928e-06	0.000146015082224103	0.000145955544015571	0.000277015946459076	2.21433507748779e-07	0.000276665619116395	0.000132445471777542	0.000131974370618272	0	0.000144912682005872	0	2.21433507748779e-07	0.000144912682005872	0.000131752937110524	0.000144912682005872	0	0.000131752937110524	3.50327342680543e-07	0.000131752937110524	0.000144912682005872	6.92534667018739e-07	0.000131752937110524	0.0144912682005872	0.0144928230821576	1.75163671340271e-05	4.84774266913117e-05	0.014400503627739	6.64300523246338e-06	0	2.86712607104727e-05	8.19731102425599e-06	0.0143718323670286	0.014400503627739	0.0143718323670286	0.0143718323670286
"Ocotea_coriacea"	0.000593962329959076	0.000233109913175013	1.00235007311582	0.000864977238533163	0.00161782148515094	0.000866303241094907	0.000734903635792363	3.85650280252028e-07	0.0002307879193117	0.000590323438802457	0.000229847567030209	0	1.32600256174326e-06	0	3.85650280252028e-07	1.32600256174326e-06	0.000229461916749956	1.32600256174326e-06	0	0.000229461916749956	0.000504115716480663	0.000229461916749956	1.32600256174326e-06	0.000360861522052501	0.000229461916749956	0.000132600256174326	0.0252408108424952	0.0252057858240331	0.025260306543675	1.32295137827705e-05	1.15695084075608e-05	0	9.8993721659846e-06	0.0251126792107339	3.33014161678589e-06	1.32295137827705e-05	3.33014161678589e-06	3.33014161678589e-06
"Roystonea_borinquena"	0.000723857584034385	3.65001703394749e-06	0.00172995447706633	1.00172544377166	0.000723665911606199	0.00172672434969695	0.00100884972152679	1.91958395579629e-09	2.42273048702953e-06	0.000720158933077558	1.14407203765459e-06	0	1.28057803333073e-06	0	1.91958395579629e-09	1.28057803333073e-06	1.1421524536988e-06	1.28057803333073e-06	0	1.1421524536988e-06	0.00100642699103976	1.1421524536988e-06	1.28057803333073e-06	0.000719016780623859	1.1421524536988e-06	0.000128057803333073	0.000125636769906867	0.0503213495519879	0.0503311746436701	1.21164361677247e-05	5.75875186738888e-08	0	1.20642930672397e-05	6.73710589801981e-05	5.21431004849641e-08	1.21164361677247e-05	5.21431004849641e-08	5.21431004849641e-08
"Cupania_americana"	0.000820715562157286	0.000340701858522907	0.00215709531353458	0.0004824439410708	1.00248986738378	0.000818692514878218	0.000339725077374099	1.91354232309085e-09	0.000337387131489657	0.000481244552868597	1.14047122456214e-06	0	0.000336248573807418	0	1.91354232309085e-09	0.000336248573807418	1.13855768223905e-06	0.000336248573807418	0	1.13855768223905e-06	2.33794588444185e-06	1.13855768223905e-06	0.000336248573807418	0.000480105995186358	1.13855768223905e-06	0.0336248573807418	0.000125241345046296	0.000116897294222093	0.033607419663045	1.85457621100915e-05	5.74062696927253e-08	0	1.36785927026214e-05	0.0334702562956309	4.8671694074701e-06	1.85457621100915e-05	4.8671694074701e-06	4.8671694074701e-06
"Cecropia_schreberiana"	0.000820217862040403	0.000340562936036332	0.00115507098812654	0.00115114956646463	0.000818692514878218	1.00148728630341	0.00100865194713653	1.87074857471338e-09	0.000337249832346057	0.000480860547076114	1.11496615052917e-06	0	0.000336136736944103	0	1.87074857471338e-09	0.000336136736944103	1.11309540195446e-06	0.000336136736944103	0	1.11309540195446e-06	0.000671402114790473	1.11309540195446e-06	0.000336136736944103	0.00047974745167416	1.11309540195446e-06	0.0336136736944102	0.00012244049421499	0.0335701057395236	0.0335823216171912	1.85354825011924e-05	5.61224572414012e-08	0	1.36702977006734e-05	5.61665251991041e-05	4.86518480051903e-06	1.85354825011924e-05	4.86518480051903e-06	4.86518480051903e-06
"Clusia_gundlachi"	0.000646526489823109	0.000646370541737843	0.000979871514389816	0.000672566481017859	0.000339725077374099	0.00100865194713653	1.00131231736925	5.13468883221311e-07	0.000641599451635351	0.000307362548916831	0.000306027454399901	0	0.000336085466118671	0	5.13468883221311e-07	0.000336085466118671	0.00030551398551668	0.000336085466118671	0	0.00030551398551668	0.000670717917617708	0.00030551398551668	0.000336085466118671	1.84856340015097e-06	0.00030551398551668	0.033608546611867	0.0336065384068348	0.0335358958808854	0.000129399438010568	2.0009306379021e-05	1.54040664966393e-05	0	1.07754414970518e-05	3.58209571055487e-05	9.23386488196919e-06	2.0009306379021e-05	9.2338648819692e-06	9.23386488196919e-06
"Hyeronima_clusioides"	1.54800128118815e-06	1.55003455424146e-06	1.54260112100811e-06	3.83916791159259e-09	5.74062696927253e-09	5.61224572414013e-09	1.54040664966393e-06	1.00336134712071	1.53859721179619e-06	1.53885386402749e-06	0.00336288394484681	0	1.77307781254754e-09	0	0.00336134712071283	1.77307781254754e-09	1.53682413398364e-06	1.77307781254754e-09	0	1.53682413398364e-06	1.80943786774318e-09	1.53682413398364e-06	1.77307781254754e-09	2.0297300438494e-09	1.53682413398364e-06	1.77307781254754e-07	0.000169050654738201	9.04718933871592e-08	1.42081103069458e-07	4.79433721280138e-08	0.100840413621385	0	2.58000213531359e-08	3.87563822575118e-08	2.21433507748779e-08	4.79433721280138e-08	2.21433507748779e-08	2.21433507748779e-08
"Ficus_sp1_M_SD_005"	0.000966999590179696	0.000968329666907383	0.000461575838623399	2.42273048702952e-06	0.000506080697234486	0.000505874748519085	0.000962399177453026	7.69298605898095e-07	1.00096118468854	0.000458940912084793	0.000458501969115265	0	0.000503452018032056	0	7.69298605898095e-07	0.000503452018032056	0.000457732670509366	0.000503452018032056	0	0.000457732670509366	1.21448891160334e-06	0.000457732670509366	0.000503452018032056	1.20824157542618e-06	0.000457732670509366	0.0503452018032056	0.0503505937560303	6.07244455801672e-05	8.45769102798327e-05	2.9949940792148e-05	2.30789581769428e-05	0	1.61166598363283e-05	2.84087525400678e-05	1.38332809558198e-05	2.9949940792148e-05	1.38332809558198e-05	1.38332809558198e-05
"Margravia_rectiflora"	0.00118159782063289	0.000463559151221398	0.00118064687760491	0.000720158933077558	0.000721866829302895	0.000721290820614172	0.000461043823375247	7.69426932013746e-07	0.000458940912084793	1.00117586504634	0.000458578451480193	0	1.13188753661388e-06	0	7.69426932013746e-07	1.13188753661388e-06	0.000457809024548179	1.13188753661388e-06	0	0.000457809024548179	2.10291129045387e-06	0.000457809024548179	1.13188753661388e-06	0.000718056021787104	0.000457809024548179	0.000113188753661388	0.0503589927002997	0.000105145564522693	0.0502639215250973	2.63155705994254e-05	2.30828079604124e-05	0	1.96932970105482e-05	5.35783995835527e-05	6.62227358887712e-06	2.63155705994253e-05	6.62227358887712e-06	6.62227358887712e-06
