"Spermophilus_undulatus"	"Marmota_sibirica"	"Lasiopodomys_brandtii"	"Alticola_semicanus"	"Allocricetulus_curtatus"	"Cricetulus_barabensis"	"Allactaga_sibirica"	"Meriones_meridianus"	"Ellobius_tancrei"	"Phodopus_sungorus"	"Microtus_gregalis"	"Eolagurus_przewalskii"	"Dipus_sagitta"	"Meriones_unguiculatus"	"Sciurus_vulgaris"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Citellophilus_tesquorum"	"Oropsylla_silantiewi"	"Amphipsylla_primaris"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Oropsylla_alaskensis"	"Neopsylla_mana"	"Frontopsylla_hetera"	"Paradoxopsyllus_dashidorzhii"	"Neopsylla_pleskei"	"Paradoxopsyllus_scorodumovi"	"Amphipsylla_vinogradovi"	"Amalaraeus_penicilliger"	"Paramonopsyllus_scalonae"	"Frontopsylla_elata"	"Ctenophyllus_hirticrus"	"Nosopsyllus_laeviceps"	"Rhadinopsylla_dahurica"	"Ophthalmopsylla_praefecta"	"Neopsylla_abagaitui"	"Frontopsylla_wagneri"	"Ophthalmopsylla_kiritschenkovi"	"Amphipsylla_dumalis"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Callopsylla_caspia"	"Pectinoctenus_pavlovskii"	"Neopsylla_galea"	"Amphalius_runatus"	"Paradoxopsyllus_kalabukhovi"	"Wagnerina_longicauda"	"Paradoxopsyllus_integer"	"Tarsopsylla_octodecimdentata"	"Rhadinopsylla_rothschildi"	"Amphipsylla_kuznetzovi"	"Ceratophyllus_indages"	"Megabothris_rectangulatus"	"Rhadinopsylla_altaica"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_conformis"
"Spermophilus_undulatus"	1.00421741662997	0.00106375775972883	0.000966786871734405	0.00126638748360637	0.000299597154025303	0.000767928937075131	0.000472047079395779	7.49391127285109e-05	7.4896640187564e-05	0.000299311770657934	0.00037148570913341	0.000150176167833076	1.50578782984339e-07	7.56854367994079e-05	0	4.42769348172386e-07	0	0	0.00593669655599065	0.00592045824629057	0.00596135142517261	0.00591390480399961	0.00592045824629057	0.00590716127429396	0.00595303919740974	0.00596177255893009	2.80297928353516e-05	0.00594699252968109	0.00592767954333726	0.0059167603860074	8.81111002863049e-06	7.44933813886103e-06	1.17292974820796e-05	0.00592339958399404	3.01249099055838e-06	0.00592838811350501	6.74352970565399e-06	0.00590716127429396	6.74352970565399e-06	4.51736348953017e-06	3.7448320093782e-06	0.0059167603860074	3.45741771481265e-05	1.98321951099747e-05	2.06226007623117e-05	2.33766127856266e-05	0.00591461061243282	3.01249099055837e-06	7.44933813886103e-06	1.41163438060888e-05	0	2.12268392110484e-05	0.00591954413126508	0	0	2.21384674086193e-08	7.44933813886102e-06	1.49878225457022e-06
"Marmota_sibirica"	0.00226048523942377	1.002564285922	0.0010004136575461	0.00131881820421633	0.000631880612198995	0.000371179155731623	0.000370056830918481	0.000158859119637887	0.000158107133045801	0.000317591904766664	0.000159013086379036	0.000630052288677529	5.27699938672519e-07	0.000159281076778163	0	4.58169753856699e-07	0	0	0.0125622029697781	0.0125453505460216	0.0125944245160656	1.85834981525887e-05	0.0125453505460216	1.32969719966104e-05	0.0125721292353807	0.0125853277904458	0.0125614392398295	0.0125901936853685	3.9176261641672e-05	1.79367114432557e-05	9.11757810174831e-06	7.75775414244899e-06	1.67846200310061e-05	3.01493957531149e-05	6.362803928321e-06	3.54425941658926e-05	5.2865261559783e-06	1.32969719966104e-05	5.2865261559783e-06	1.58309981601756e-05	7.90535665229006e-06	1.79367114432557e-05	3.51897055819707e-05	1.30581903550835e-05	1.89531314911807e-05	1.90276074734785e-05	2.10547261390594e-05	6.362803928321e-06	7.75775414244899e-06	2.04264067557591e-05	0	2.21456221692822e-05	1.8597408209245e-05	0	0	2.2908487692835e-08	7.75775414244899e-06	3.17718239275774e-06
"Lasiopodomys_brandtii"	0.00149412516540772	0.000727573569124437	1.0025529883507	0.00179879829272949	0.000460698349924944	0.000575375385824803	0.000270073057746159	0.000115405658396047	0.000115291510464922	0.00106838370623445	0.000116048484131237	0.000230647484098951	2.31473673909698e-07	0.000116220087316033	0	0.000459149525235036	0	0	0.00914258288351857	1.78836411752773e-05	0.00917545191610776	1.26471581004527e-05	1.78836411752773e-05	8.78897156122187e-06	0.00915363326238061	0.00917720423300777	3.08701907227828e-05	0.00915840975311371	0.00914006961890345	1.59811638840319e-05	0.00913707555217723	1.05811664278205e-05	1.71625714267483e-05	0.00913348821390452	4.63251491424161e-06	0.00915129460900842	3.85818653923084e-06	8.78897156122186e-06	3.85818653923084e-06	6.94421021729095e-06	5.76457552324609e-06	1.59811638840319e-05	4.83437471390174e-05	1.44494492321951e-05	1.76317838609687e-05	0.00913911666334219	1.93701379890424e-05	4.63251491424161e-06	1.05811664278205e-05	1.41295437511097e-05	0	0.0091425056374472	1.26572543655964e-05	0	0	2.29574762617518e-05	1.05811664278205e-05	2.30811316792095e-06
"Alticola_semicanus"	0.00126638748360637	0.000620620331395919	0.00116392830706026	1.0040693085341	0.000841347851720076	0.000275351528429403	0.00027438728642139	7.53379887006834e-05	7.47875900023569e-05	0.000594765797697201	0.000371580041863818	0.000298072797961562	2.49773101446318e-07	0.000174351732706745	0	5.33056243215141e-07	0	0	0.00593207830890972	1.520709228131e-05	0.00597235778458393	1.13691565163095e-05	1.520709228131e-05	7.44933813886102e-06	0.00593944002139253	0.00595309216418761	0.00593202851532683	0.00595505281432167	0.00593633980979184	1.08912322442286e-05	1.06078192399813e-05	0.00590629005020059	0.00591830930522516	0.00592432055476727	4.99379442814856e-06	0.00593423331806222	3.91981837744843e-06	7.44933813886102e-06	3.91981837744842e-06	7.49319304338954e-06	3.73937950011784e-06	1.08912322442286e-05	0.00593907081565706	0.00591867605159605	1.93809675073885e-05	2.39358238281414e-05	0.00591373938833945	4.99379442814856e-06	0.00590629005020059	1.28903847187337e-05	0	0.00592678397992336	1.98353395343216e-05	0	0	2.66528121607571e-08	0.00590629005020059	1.50675977401367e-06
"Allocricetulus_curtatus"	0.000727593088347165	0.000722149271084566	0.000723954549882055	0.00204327335417733	1.00251123449335	0.000722235504457128	0.000721879924621122	0.000181923627484793	7.32705301092627e-07	0.000422322437351884	0.00018118110634727	0.000720103083553473	6.03362348520579e-07	0.000421492035777338	0	3.31556926898125e-07	0	0	3.1907485255276e-05	1.33068252317757e-05	0.0143809766886178	1.45925296949489e-05	1.33068252317757e-05	4.27995934321862e-06	5.12479994127204e-05	5.83233419669731e-05	0.0143570372467749	0.0143799669243823	0.0143444696835574	1.33079031489327e-05	6.59798284527269e-06	1.20192550245725e-05	0.0143336083192153	2.28806193667189e-05	1.20683132652426e-05	2.9919326655917e-05	1.03125703517303e-05	4.27995934321862e-06	1.03125703517303e-05	1.81008704556174e-05	3.66352650546313e-08	1.33079031489327e-05	0.0143684173813775	1.80586252361482e-05	0.0143409295783481	2.26480560938399e-05	1.62992143677911e-05	1.20683132652426e-05	1.20192550245725e-05	3.18598461923303e-05	0	2.56393673126983e-05	1.03193295547943e-05	0	0	1.65778463449062e-08	1.20192550245725e-05	3.63847254969586e-06
"Cricetulus_barabensis"	0.00163184899128465	0.000371179155731623	0.000791141155509104	0.000585121997912482	0.000631956066399987	1.00308780091325	0.000999746608579999	2.24012665153986e-06	0.000158276438441546	0.000788288076767644	1.35034088185745e-06	0.0004209564501021	2.83074633280026e-07	0.000630458377795804	0	3.62327069159196e-07	0	0	2.4872937588262e-05	1.42388511600844e-05	5.55031563715408e-05	2.38812061217249e-05	1.42388511600844e-05	9.59911171343915e-06	0.0125777525434122	0.012598804499947	2.55287063597689e-05	5.4973980484965e-05	2.92611419473308e-05	0.0125481966231291	7.210308676268e-06	3.44189410536754e-06	1.24698379110816e-05	2.02331981416167e-05	1.26539700889469e-05	3.33713327544108e-05	1.42820944082857e-05	9.59911171343914e-06	1.42820944082857e-05	8.49223899840079e-06	7.91382192207729e-06	0.0125481966231291	0.0125910967459037	3.48690546809612e-06	0.0125619075496296	0.0125589278383512	1.30410058188067e-05	1.26539700889469e-05	3.44189410536754e-06	0.0125596258079736	0	2.37722210409716e-05	9.64412307616773e-06	0	0	1.81163534579598e-08	3.44189410536754e-06	4.48025330307972e-08
"Allactaga_sibirica"	0.00114640004996118	0.000422922092478264	0.000424400519315392	0.000666369124166233	0.000721879924621122	0.00114256755266286	1.00472763749042	9.26204320484541e-07	0.00018094758043644	0.000422274262997803	1.00191437222002e-06	2.03238100937132e-06	1.97898684271295e-09	0.000241454658178623	0	1.94367080062007e-07	0	0	1.98080607783115e-05	1.20300558616323e-05	3.72325802792667e-05	0.0143599954938545	1.20300558616323e-05	6.74352970565399e-06	0.0143873421193355	0.0144034274027406	1.95595625053445e-05	3.50088960002115e-05	2.48341049740636e-05	2.10256241139397e-05	3.86790489323394e-06	3.91981837744843e-06	1.42323887291787e-05	1.45215346223333e-05	4.84761724998215e-06	2.155943900563e-05	0.0143532519641489	6.74352970565399e-06	0.0143532519641489	5.93696052813886e-08	9.047379021822e-06	2.10256241139397e-05	0.0143936334448332	3.95321552318909e-06	0.0143778466289089	2.51781853308133e-05	1.06633480831024e-05	4.84761724998215e-06	3.91981837744842e-06	1.91518351920456e-05	0	1.4815909299976e-05	6.77692685139466e-06	0	0	9.71835400310036e-09	3.91981837744842e-06	1.85240864096908e-08
"Meriones_meridianus"	0.000254792983276937	0.000254174591420619	0.000253892448471304	0.000256149161582324	0.00025469307847871	3.58420264246377e-06	1.29668604867836e-06	1.00494935282376	1.07883143052878e-07	1.67638926920223e-06	5.36305365002377e-07	0.000928205975812103	0.000672827798528145	0.00226960349546547	0	1.16277741456975e-07	0	0	8.49083758926258e-06	4.67596464732795e-06	3.07392463218539e-05	1.51730634097991e-06	4.67596464732795e-06	1.49878225457022e-06	8.55416420870306e-06	8.58749818700908e-06	2.68865342327093e-05	0.0201750725560398	8.9521277462007e-06	1.54358478760101e-06	2.3139270549938e-06	1.50675977401367e-06	5.14523232370953e-06	5.31365519650483e-06	0.0201443791263846	5.34159501765821e-06	1.85240864096908e-08	1.49878225457022e-06	1.85240864096908e-08	0.0201848339558444	5.39415715264389e-09	1.54358478760101e-06	5.06285686736128e-05	1.52463661951375e-06	3.70179916913635e-06	2.38085552210512e-06	3.00554202858389e-06	0.0201443791263846	1.50675977401367e-06	6.40009919585823e-05	0	3.84281276308799e-06	1.5166591000703e-06	0	0	5.81388707284875e-09	1.50675977401367e-06	0.0200989870564753
"Ellobius_tancrei"	0.000636621441594294	0.000632428532183205	0.000634103307557069	0.000635694515020033	2.56446855382419e-06	0.000633105753766183	0.00063331653152754	2.69707857632195e-07	1.00565743118651	0.000632132524601819	7.73997499652171e-07	1.22168287550439e-06	9.97585774673298e-10	1.05504705227693e-06	0	2.90406827367561e-07	0	0	2.11541436850322e-05	1.16501886616683e-05	3.1776554600949e-05	1.27922110312002e-05	1.16501886616683e-05	3.7448320093782e-06	3.81153446289315e-05	0.050331522446031	1.17058050749726e-05	2.12417077057951e-05	1.32854222977968e-05	1.16586539314555e-05	5.77909586461447e-06	3.73937950011784e-06	3.77601476517247e-06	1.32487870327421e-05	2.64950981981824e-08	2.37843291094391e-05	9.047379021822e-06	3.7448320093782e-06	9.04737902182199e-06	2.9927573240199e-08	0.0502828715593254	1.16586539314555e-05	3.12938587268143e-05	3.76517941677292e-06	1.69978362089539e-05	2.42139395220204e-05	7.48421150949604e-06	2.64950981981824e-08	3.73937950011784e-06	7.95935652063291e-06	0	2.00394971000609e-05	3.77063192603327e-06	0	0	1.45203413683781e-08	3.73937950011784e-06	5.39415715264389e-09
"Phodopus_sungorus"	0.000848050016864145	0.000423455873022219	0.00195870346142983	0.00168516976014207	0.000492709510243864	0.00105105076902353	0.00049265330683077	1.39699105766852e-06	0.00021071084153394	1.00223223112237	0.000210950445185026	0.000211759885244889	1.42579850369604e-07	0.000281128490597812	0	8.97047612287533e-07	0	0	3.80008863226042e-05	1.02817279237433e-05	0.0167601769915291	1.20264338942623e-05	1.02817279237433e-05	4.98852951096556e-06	5.8176925318695e-05	0.0167725829861016	2.64798667018269e-05	5.49253009498096e-05	3.97463951990245e-05	1.81266641237596e-05	1.78512474845219e-05	9.91276329495335e-06	1.69514705841514e-05	3.27076879098264e-05	5.65050963310961e-06	0.016736578206616	7.03790438329672e-06	4.98852951096556e-06	7.03790438329672e-06	4.27739551108812e-06	1.0535542076697e-05	1.81266641237596e-05	0.0167466205980984	1.69444448011209e-05	2.72147462852888e-05	0.0167348150484229	1.49012928059189e-05	5.65050963310961e-06	9.91276329495335e-06	2.29959021296481e-05	0	0.0167315896771051	1.20202110171331e-05	0	0	4.48523806143766e-08	9.91276329495335e-06	2.79398211533704e-08
