"Ictalurus_punctatus"	"Rhinichthys_osculus"	"Gila_cypha"	"Pimephales_promelas"	"Fundulus_zebrinus"	"Catostomus_discobolus"	"Oncorhynchus_mykiss"	"Cyprinella_lutrensis"	"Catostomus_latipinnis"	"Cyprinus_carpio"	"Ameiurus_natalis"	"Bothriocephalus_acheilognathi"	"Ornithodiplostomum_sp."	"Lernaea_cyprinacea"	"Contracaecum_sp."	"Rhabdochona_sp."	"Unidenti?ed_metacercaria"	"Corallobothriinae"	"Posthodiplostomum_sp."	"Eustrongylides_sp."	"Oribatida_gen._sp."	"Henneguya_exilis"	"Ligictaluridus_?oridanus"	"Dactylogyrus_extensus"	"Gyrodactylus_hoffmani"	"Corallobothrium_?mbriatum"	"Megathylacoides_giganteum"	"Truttaedacnitis_truttae"	"Ergasilus_arthrosis"	"Myzobdella_lugubris"	"Gyrodactylus_sp."
"Ictalurus_punctatus"	1.00687543008558	0.000929274449049815	0.000698650659604803	0.00023867214560311	8.60410175453784e-05	0.000238219643877021	8.49518080239416e-05	0.000314416231725255	0.000237278088871666	8.43751251805306e-05	0.000313700845949355	0.00923485745100907	0.0091994903590223	3.57692887950234e-05	0.00918990385578907	2.24570208033836e-05	2.82466501606498e-05	0.00916339372448663	1.59475273487178e-05	0.00916373827243411	1.24762970947435e-05	0.00915341300077799	0.00915341300077799	4.21875625902653e-06	5.96680364007775e-06	0.00915341300077799	0.00915341300077799	2.83172693413138e-06	0.00915341300077799	0.00915341300077799	1.03252716561091e-05
"Rhinichthys_osculus"	0.001135779882172	1.00377390030214	0.00126381761994679	0.000291925574376286	0.00126016308441322	0.000663034761028289	0.000328611018744715	0.000607584820388057	0.000289928126600985	0.000103356260400241	0.000382908650804064	0.0113123427008063	0.0112253188501647	0.0112338084791996	0.011202766868233	0.0112026019512285	0.0111931990328191	2.83798090839203e-05	2.53526767872184e-05	0.0111633686083465	0.0111845474138007	1.03252716561091e-05	1.03252716561091e-05	5.16781302001204e-06	7.29813935940716e-06	1.03252716561091e-05	1.03252716561091e-05	1.09537006248238e-05	1.03252716561091e-05	1.03252716561091e-05	0.0111530433366904
"Gila_cypha"	0.0010978796079504	0.00162490836850302	1.00305325289234	0.00109287071764374	0.000900762766901983	0.0008514981763821	0.000421141030313787	0.000420955148909796	0.00037230584324376	0.000132439913176943	0.000132995635641446	0.0144955484972164	0.0144316877779621	0.0143979756634175	4.87168812155168e-05	0.0143699057907767	0.0143757699941502	0.014339312907885	0.0143566539521174	2.80352611364513e-05	4.05736066003608e-05	9.98072370864003e-06	9.98072370864003e-06	6.62199565884714e-06	2.73217679410935e-05	9.98072370864003e-06	9.98072370864003e-06	1.40380343437929e-05	9.98072370864003e-06	9.98072370864003e-06	1.80545374278113e-05
"Pimephales_promelas"	0.000656348400408553	0.000656832542346645	0.00191252375587655	1.00441756012339	0.00023266206420174	0.00065150607708038	0.000231429880625417	0.000231470905656309	0.000649628184529163	0.000230694590942412	0.00023035357595401	0.025249522978647	0.0252052239924878	5.5866485114935e-05	3.24983186523957e-05	4.04364589055442e-05	5.63367765365134e-05	3.32885715811713e-05	0.0251377607710258	1.32649429994849e-05	1.31146909644506e-05	5.96680364007775e-06	5.96680364007775e-06	1.15347295471206e-05	0.0251104390030847	5.96680364007775e-06	5.96680364007775e-06	7.71432935418057e-06	5.96680364007775e-06	5.96680364007775e-06	7.29813935940716e-06
"Fundulus_zebrinus"	0.000236612798249791	0.00283536693992974	0.00157633484207847	0.00023266206420174	1.00282537744038	0.000232722980634712	0.000735232704324437	0.000734524223769602	0.000230663628002356	0.000230461245271806	0.000231051234171694	0.0252239832949992	8.12813374144995e-05	0.0251736494798954	6.96918050498697e-05	0.0251246575822923	6.17805789707038e-05	2.4670094611184e-05	2.8335620777593e-05	3.3655102548965e-05	0.0251021385131197	2.15102543863446e-06	2.15102543863446e-06	1.15230622635903e-05	5.81655160504349e-06	2.15102543863446e-06	2.15102543863446e-06	2.45077568108146e-05	2.15102543863446e-06	2.15102543863446e-06	3.15040771103305e-05
"Catostomus_discobolus"	0.000873472027549078	0.00198910428308487	0.0019868290782249	0.000868674769440507	0.00031029730751295	1.00197899087967	0.000307889280079281	0.000308254254680812	0.000863998075427802	0.00030682149029529	0.000306678655045609	0.0335816121128195	0.0335226415550393	7.87799817601732e-05	5.56508880718179e-05	5.82418639348368e-05	0.033449784127236	3.63239273419707e-05	5.01001417820827e-05	3.00418134968437e-05	2.98585913887667e-05	7.94065479590071e-06	7.94065479590071e-06	1.53410745147645e-05	2.17168692360127e-05	7.94065479590071e-06	7.94065479590071e-06	1.02629760026427e-05	7.94065479590071e-06	7.94065479590071e-06	2.2101158700943e-05
"Oncorhynchus_mykiss"	0.000311489962754452	0.000985833056234144	0.000982662404065503	0.000308573174167223	0.000980310272432582	0.000307889280079281	1.00432463600318	0.00097843126060671	0.000306714123046906	0.000307231338515954	0.000307239225928598	0.0336264700005711	6.11364734119167e-05	0.0335596017339056	6.1761764208942e-05	4.94994917794313e-05	3.52547109712594e-05	1.68697612779243e-05	2.17523636979735e-05	1.37854275589552e-05	3.54614574356384e-05	2.83172693413138e-06	2.83172693413138e-06	1.53615669257977e-05	7.71432935418057e-06	2.83172693413138e-06	2.83172693413138e-06	0.0334774878667726	2.83172693413138e-06	2.83172693413138e-06	1.09537006248238e-05
"Cyprinella_lutrensis"	0.00115285951632594	0.00182275446116417	0.000982228680789523	0.000308627874208412	0.000979365631692803	0.000308254254680812	0.00097843126060671	1.00181220979961	0.00030676892776528	0.000307002364726129	0.00114250732944074	0.0336014088192748	7.80944917669383e-05	0.0334851235084428	0.0334815990615294	5.87688064355818e-05	4.45598074659555e-05	2.45123793545017e-05	2.17475351522035e-05	3.07333684037771e-05	4.47369681385886e-05	1.04805410575085e-05	1.04805410575085e-05	1.53501182363065e-05	7.7156968552103e-06	1.04805410575085e-05	1.04805410575085e-05	3.2614375353557e-05	1.04805410575085e-05	1.04805410575085e-05	2.02528273462686e-05
"Catostomus_latipinnis"	0.00130502948879417	0.00130467656970443	0.00130307045135316	0.00129925636905833	0.000461327256004711	0.0012959971131417	0.000460071184570359	0.000460153391647921	1.00129345339307	0.000459327872669814	0.000458647010999262	0.0502734356637111	0.050185329585587	7.53190324329643e-05	6.46311077118596e-05	4.46448798923551e-05	7.63116022636274e-05	3.04791966057713e-05	5.10967013886462e-05	2.63603107736326e-05	2.6029587730167e-05	1.18639044435833e-05	1.18639044435833e-05	2.29663936334907e-05	3.24814092264582e-05	1.18639044435833e-05	1.18639044435833e-05	1.53357061523453e-05	1.18639044435833e-05	1.18639044435833e-05	1.44964063300492e-05
"Cyprinus_carpio"	0.000464063188492918	0.000465103171801084	0.0004635396961193	0.000461389181884825	0.000460922490543613	0.000460232235442935	0.000460847007773931	0.000460503547089193	0.000459327872669814	1.00548565865323	0.000459423055967103	0.0504053395955186	6.58507626332615e-05	5.40245561045536e-05	4.77078403137001e-05	2.33128709424495e-05	2.71308831936237e-05	1.08407519178737e-05	1.81567252059678e-05	9.38656927903857e-06	1.66908752836023e-05	4.21875625902653e-06	4.21875625902653e-06	0.0502742829326613	1.15347295471206e-05	4.21875625902653e-06	4.21875625902653e-06	1.53615669257977e-05	4.21875625902653e-06	4.21875625902653e-06	5.16781302001204e-06
