"Ehretia_tinifolia"	"Metopium_browneii"	"Ficus_padifolia"	"Talisia_olivaeformis"	"Neea_psychotrioides"	"Centurus_aurifrons"	"Icterus_gularis"	"Pteroglossus_torguatus"	"Trogon_citreolus"	"Centurus_pygmaeus"	"Megarynchus_pitangua"	"Psilorhinus_morio"	"Ramphastos_sulfuratus"	"Saltator_atriceps"	"Tityra_semifasciata"	"Amazona_albifrons"	"Aratinga_astec"	"Cissilopha_yucatanica"	"Cyanocorax_yncas"	"Dives_dives"	"Euphonia_hirundinacea"	"Icterus_chrysater"	"Myiozetetes_similis"	"Tyrannus_melancholicus"	"Euphonia_affinis"	"Icterus_auratus"	"Icterus_mesomelas"	"Icterus_prosthemelas"	"Ortalis_vetula"	"Pitangus_sulphuratus"	"Turdus_grayi"	"Cotinga_amabilis"
"Ehretia_tinifolia"	1.00334995637681	0.002209101479425	0.00187377509523786	0.00203953332675725	0.000628643822782337	0.00405604166811616	0.00405604166811616	0.00405604166811616	0.00405604166811616	0.00404818362033139	0.00404329458482393	0.00404818362033138	0.00404329458482393	0.00404818362033138	0.00404329458482393	0.00403777375869117	0.00403777375869117	0.00403777375869118	0.00403777375869118	0.00403655677043967	0.00403543653703915	0.00403777375869117	0.00403543653703915	0.00403543653703915	1.82679094249896e-05	0.00402614690879947	0.00402614690879946	0.00402614690879946	0.00402502667539894	0.00402380968714744	0.00402380968714744	1.04098616402103e-05
"Metopium_browneii"	0.00290671247292763	1.00290015496087	0.00175738329177857	0.00171183056446392	0.000824928810971427	0.00532082250978173	0.00532082250978173	0.00532082250978173	0.00532082250978173	0.00531051089964459	0.00531012356875383	0.00531051089964459	0.00531012356875383	0.00531051089964459	0.00531012356875383	0.00530074765913471	0.00530074765913471	0.00530074765913471	0.00530074765913471	3.2089031429491e-05	0.00529981195861669	0.00530074765913471	0.00529981195861669	0.00529981195861669	2.00748506470238e-05	2.23257909196101e-05	2.23257909196101e-05	2.23257909196101e-05	0.00529004871810681	2.13900904015915e-05	2.13900904015915e-05	9.76324050988095e-06
"Ficus_padifolia"	0.00260246541005258	0.00185501569687738	1.00343134081705	0.00106278780903375	0.0011494003680002	0.00561580159065126	0.00561580159065125	0.00561580159065125	0.00561580159065126	0.00560143408605126	0.00560915916684479	0.00560143408605125	0.00560915916684479	0.00560143408605125	0.00560915916684479	2.68155259565522e-05	2.68155259565522e-05	2.68155259565522e-05	2.68155259565522e-05	0.00559167084554137	0.00559479166224479	2.68155259565522e-05	0.00559479166224479	0.00559479166224479	0.0055889860646947	1.70522854466713e-05	1.70522854466713e-05	1.70522854466713e-05	2.01731021500913e-05	0.00558502842173491	0.00558502842173491	0.0055746185600947
"Talisia_olivaeformis"	0.00318677082305821	0.00203279879530091	0.00119563628516297	1.00317791794935	0.000507886248135469	0.00630629901341174	0.00630629901341174	0.00630629901341174	0.00630629901341174	0.00629995043531005	3.64370262282866e-05	0.00629995043531004	3.64370262282866e-05	0.00629995043531005	3.64370262282866e-05	0.00629330801150359	0.00629330801150359	0.00629330801150359	0.00629330801150359	0.00628925149428215	3.00884481265933e-05	0.00629330801150359	3.00884481265933e-05	3.00884481265933e-05	1.29910019081543e-05	0.00628260907047569	0.00628260907047568	0.00628260907047568	2.34460243201324e-05	1.93895070986938e-05	1.93895070986938e-05	6.64242380646094e-06
"Neea_psychotrioides"	0.0019645119461948	0.00195920592605714	0.00258615082800044	0.00101577249627094	1.00257536890449	0.0125710778519297	0.0125710778519297	0.0125710778519297	0.0125710778519297	3.88857406236179e-05	0.012564729273828	3.88857406236179e-05	0.012564729273828	3.88857406236179e-05	0.012564729273828	2.45182360236154e-05	2.45182360236154e-05	2.45182360236154e-05	2.45182360236154e-05	2.8574130486475e-05	3.25371625219245e-05	2.45182360236154e-05	3.25371625219245e-05	3.25371625219245e-05	0.0125465596159061	1.42066258864726e-05	1.42066258864726e-05	1.42066258864726e-05	1.81696579219221e-05	2.22255523847817e-05	2.22255523847817e-05	1.43675046000024e-05
"Centurus_aurifrons"	0.0202802083405808	0.0202191255371706	0.0202168857263445	0.0201801568429176	0.0201137245630875	1.00067740085268	0.000677400852677812	0.000677400852677812	0.000677400852677812	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000319562845443583	0.000299853315370983	0.000313663263826193	0.000299853315370983	0.000299853315370983	0.000363737588851619	0.000207246813630558	0.000207246813630558	0.000207246813630558	0.000187537283557958	0.000193436865175348	0.000193436865175348	0.000112316031813025
"Icterus_gularis"	0.0202802083405808	0.0202191255371706	0.0202168857263445	0.0201801568429176	0.0201137245630875	0.000677400852677811	1.00067740085268	0.000677400852677812	0.000677400852677812	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000319562845443583	0.000299853315370983	0.000313663263826193	0.000299853315370983	0.000299853315370983	0.000363737588851619	0.000207246813630558	0.000207246813630558	0.000207246813630558	0.000187537283557958	0.000193436865175349	0.000193436865175349	0.000112316031813025
"Pteroglossus_torguatus"	0.0202802083405808	0.0202191255371706	0.0202168857263445	0.0201801568429176	0.0201137245630875	0.000677400852677812	0.000677400852677812	1.00067740085268	0.000677400852677812	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000319562845443583	0.000299853315370983	0.000313663263826193	0.000299853315370983	0.000299853315370983	0.000363737588851619	0.000207246813630558	0.000207246813630558	0.000207246813630558	0.000187537283557958	0.000193436865175348	0.000193436865175349	0.000112316031813025
"Trogon_citreolus"	0.0202802083405808	0.0202191255371706	0.0202168857263445	0.0201801568429176	0.0201137245630875	0.000677400852677812	0.000677400852677812	0.000677400852677812	1.00067740085268	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000425979295639218	0.000551274872409577	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000313663263826193	0.000319562845443583	0.000299853315370983	0.000313663263826193	0.000299853315370983	0.000299853315370983	0.000363737588851619	0.000207246813630558	0.000207246813630558	0.000207246813630558	0.000187537283557958	0.000193436865175348	0.000193436865175349	0.000112316031813025
"Centurus_pygmaeus"	0.0253011476270712	0.0252249267733118	0.0252064533872306	0.0251998017412402	7.77714812472357e-05	0.000532474119549022	0.000532474119549022	0.000532474119549023	0.000532474119549023	1.00053150197603	0.000374975358666271	0.000531501976033432	0.000374975358666271	0.000531501976033432	0.000374975358666271	0.000391466123882151	0.000391466123882151	0.000391466123882151	0.000391466123882151	0.000398739203542317	0.000374003215150681	0.000391466123882151	0.000374003215150681	0.000374003215150681	0.000141007995666872	0.000258703351391036	0.000258703351391036	0.000258703351391036	0.000233967362999399	0.000241240442659566	0.000241240442659566	0.000140035852151281
"Megarynchus_pitangua"	0.0252705911551496	0.0252230869515807	0.0252412162508016	0.000145748104913147	0.025129458547656	0.000689093590511972	0.000689093590511971	0.000689093590511972	0.000689093590511972	0.000374975358666271	1.00068818266486	0.000374975358666271	0.000688182664856264	0.000374975358666271	0.000688182664856264	0.000234746379495151	0.000234746379495151	0.000234746379495151	0.000234746379495151	0.000242222269447425	0.000374064433010564	0.000234746379495151	0.000374064433010564	0.000374064433010564	0.00045434721101682	0.000101993290276305	0.000101993290276305	0.000101993290276305	0.000233835453839444	0.000241311343791718	0.000241311343791718	0.00014022897917112
