File	N.modules	Modularity	P.Null1	P.Null2
M_10_littlecolorado_GC1_1.txt	5	0.390600	0.000000	0.000000
M_10_littlecolorado_GC1_10.txt	6	0.355000	0.000000	0.000000
M_10_littlecolorado_GC1_100.txt	4	0.381000	0.000000	0.000000
M_10_littlecolorado_GC1_11.txt	4	0.404200	0.000000	0.000000
M_10_littlecolorado_GC1_12.txt	5	0.403400	0.000000	0.000000
M_10_littlecolorado_GC1_13.txt	5	0.393000	0.000000	0.000000
M_10_littlecolorado_GC1_14.txt	5	0.371200	0.000000	0.000000
M_10_littlecolorado_GC1_15.txt	5	0.378200	0.000000	0.000000
M_10_littlecolorado_GC1_16.txt	5	0.392400	0.000000	0.000000
M_10_littlecolorado_GC1_17.txt	5	0.360000	0.000000	0.000000
M_10_littlecolorado_GC1_18.txt	5	0.383400	0.000000	0.000000
M_10_littlecolorado_GC1_19.txt	5	0.370800	0.000000	0.000000
M_10_littlecolorado_GC1_2.txt	4	0.383400	0.000000	0.000000
M_10_littlecolorado_GC1_20.txt	6	0.386800	0.000000	0.000000
M_10_littlecolorado_GC1_21.txt	4	0.421800	0.000000	0.000000
M_10_littlecolorado_GC1_22.txt	5	0.378000	0.000000	0.000000
M_10_littlecolorado_GC1_23.txt	5	0.347400	0.000000	0.000000
M_10_littlecolorado_GC1_24.txt	6	0.378000	0.000000	0.000000
M_10_littlecolorado_GC1_25.txt	4	0.379000	0.000000	0.000000
M_10_littlecolorado_GC1_26.txt	5	0.369600	0.000000	0.000000
M_10_littlecolorado_GC1_27.txt	4	0.408600	0.000000	0.000000
M_10_littlecolorado_GC1_28.txt	5	0.393600	0.000000	0.000000
M_10_littlecolorado_GC1_29.txt	5	0.409000	0.000000	0.000000
M_10_littlecolorado_GC1_3.txt	4	0.428200	0.000000	0.000000
M_10_littlecolorado_GC1_30.txt	4	0.401800	0.000000	0.000000
M_10_littlecolorado_GC1_31.txt	5	0.393400	0.000000	0.000000
M_10_littlecolorado_GC1_32.txt	6	0.386800	0.000000	0.000000
M_10_littlecolorado_GC1_33.txt	6	0.399000	0.000000	0.000000
M_10_littlecolorado_GC1_34.txt	6	0.351200	0.000000	0.000000
M_10_littlecolorado_GC1_35.txt	5	0.389400	0.000000	0.000000
M_10_littlecolorado_GC1_36.txt	5	0.363400	0.000000	0.000000
M_10_littlecolorado_GC1_37.txt	6	0.371000	0.000000	0.000000
M_10_littlecolorado_GC1_38.txt	5	0.369600	0.000000	0.000000
M_10_littlecolorado_GC1_39.txt	4	0.380200	0.000000	0.000000
M_10_littlecolorado_GC1_4.txt	7	0.358400	0.000000	0.000000
M_10_littlecolorado_GC1_40.txt	5	0.386600	0.000000	0.000000
M_10_littlecolorado_GC1_41.txt	4	0.405800	0.000000	0.000000
M_10_littlecolorado_GC1_42.txt	6	0.388400	0.000000	0.000000
M_10_littlecolorado_GC1_43.txt	5	0.409800	0.000000	0.000000
M_10_littlecolorado_GC1_44.txt	6	0.401200	0.000000	0.000000
M_10_littlecolorado_GC1_45.txt	5	0.393000	0.000000	0.000000
M_10_littlecolorado_GC1_46.txt	4	0.391800	0.000000	0.000000
M_10_littlecolorado_GC1_47.txt	5	0.407800	0.000000	0.000000
M_10_littlecolorado_GC1_48.txt	5	0.435400	0.000000	0.000000
M_10_littlecolorado_GC1_49.txt	5	0.395400	0.000000	0.000000
M_10_littlecolorado_GC1_5.txt	5	0.370400	0.000000	0.000000
M_10_littlecolorado_GC1_50.txt	6	0.357600	0.000000	0.000000
M_10_littlecolorado_GC1_51.txt	5	0.433600	0.000000	0.000000
M_10_littlecolorado_GC1_52.txt	5	0.397800	0.000000	0.000000
M_10_littlecolorado_GC1_53.txt	4	0.384200	0.000000	0.000000
M_10_littlecolorado_GC1_54.txt	5	0.388200	0.000000	0.000000
M_10_littlecolorado_GC1_55.txt	5	0.368000	0.000000	0.000000
M_10_littlecolorado_GC1_56.txt	5	0.401400	0.000000	0.000000
M_10_littlecolorado_GC1_57.txt	5	0.392400	0.000000	0.000000
M_10_littlecolorado_GC1_58.txt	5	0.387400	0.000000	0.000000
M_10_littlecolorado_GC1_59.txt	5	0.376200	0.000000	0.000000
M_10_littlecolorado_GC1_6.txt	4	0.385400	0.000000	0.000000
M_10_littlecolorado_GC1_60.txt	5	0.380800	0.000000	0.000000
M_10_littlecolorado_GC1_61.txt	5	0.396600	0.000000	0.000000
M_10_littlecolorado_GC1_62.txt	5	0.443000	0.000000	0.000000
M_10_littlecolorado_GC1_63.txt	5	0.379800	0.000000	0.000000
M_10_littlecolorado_GC1_64.txt	6	0.374400	0.000000	0.000000
M_10_littlecolorado_GC1_65.txt	5	0.382400	0.000000	0.000000
M_10_littlecolorado_GC1_66.txt	5	0.387800	0.000000	0.000000
M_10_littlecolorado_GC1_67.txt	4	0.386600	0.000000	0.000000
M_10_littlecolorado_GC1_68.txt	5	0.384600	0.000000	0.000000
M_10_littlecolorado_GC1_69.txt	6	0.380800	0.000000	0.000000
M_10_littlecolorado_GC1_7.txt	6	0.341800	0.000000	0.000000
M_10_littlecolorado_GC1_70.txt	5	0.384200	0.000000	0.000000
M_10_littlecolorado_GC1_71.txt	5	0.396600	0.000000	0.000000
M_10_littlecolorado_GC1_72.txt	5	0.396800	0.000000	0.000000
M_10_littlecolorado_GC1_73.txt	4	0.362200	0.000000	0.000000
M_10_littlecolorado_GC1_74.txt	5	0.398400	0.000000	0.000000
M_10_littlecolorado_GC1_75.txt	6	0.380400	0.000000	0.000000
M_10_littlecolorado_GC1_76.txt	5	0.406800	0.000000	0.000000
M_10_littlecolorado_GC1_77.txt	4	0.383400	0.000000	0.000000
M_10_littlecolorado_GC1_78.txt	5	0.388000	0.000000	0.000000
M_10_littlecolorado_GC1_79.txt	5	0.391600	0.000000	0.000000
M_10_littlecolorado_GC1_8.txt	7	0.348400	0.000000	0.000000
M_10_littlecolorado_GC1_80.txt	6	0.360000	0.000000	0.000000
M_10_littlecolorado_GC1_81.txt	5	0.437400	0.000000	0.000000
M_10_littlecolorado_GC1_82.txt	5	0.412000	0.000000	0.000000
