ID	IntType	Resources	Consumers	Sampling
A_HP_001	Pa-Ho	10	18	No
A_HP_002	Pa-Ho	18	24	No
A_HP_003	Pa-Ho	23	9	No
A_HP_004	Pa-Ho	6	21	No
A_HP_005	Pa-Ho	7	13	No
A_HP_006	Pa-Ho	16	37	No
A_HP_007	Pa-Ho	8	17	No
A_HP_008	Pa-Ho	8	24	No
A_HP_009	Pa-Ho	14	22	No
A_HP_010	Pa-Ho	18	31	No
A_HP_011	Pa-Ho	4	19	No
A_HP_012	Pa-Ho	7	23	No
A_HP_013	Pa-Ho	11	22	No
A_HP_014	Pa-Ho	11	19	No
A_HP_015	Pa-Ho	3	7	No
A_HP_016	Pa-Ho	6	21	No
A_HP_017	Pa-Ho	5	9	No
A_HP_018	Pa-Ho	15	21	No
A_HP_019	Pa-Ho	9	18	No
A_HP_020	Pa-Ho	16	17	No
A_HP_021	Pa-Ho	9	15	No
A_HP_022	Pa-Ho	16	18	No
A_HP_023	Pa-Ho	9	8	No
A_HP_024	Pa-Ho	7	20	No
A_HP_025	Pa-Ho	18	40	No
A_HP_026	Pa-Ho	15	18	No
A_HP_027	Pa-Ho	17	30	No
A_HP_028	Pa-Ho	4	15	No
A_HP_029	Pa-Ho	15	34	No
A_HP_030	Pa-Ho	14	15	No
A_HP_031	Pa-Ho	25	31	No
A_HP_032	Pa-Ho	14	13	No
A_HP_033	Pa-Ho	22	25	No
A_HP_034	Pa-Ho	9	8	No
A_HP_035	Pa-Ho	6	7	No
A_HP_036	Pa-Ho	8	13	No
A_HP_037	Pa-Ho	17	21	No
A_HP_038	Pa-Ho	10	20	No
A_HP_039	Pa-Ho	6	11	No
A_HP_040	Pa-Ho	8	18	No
A_HP_041	Pa-Ho	11	10	No
A_HP_042	Pa-Ho	21	32	No
A_HP_043	Pa-Ho	9	29	No
A_HP_044	Pa-Ho	27	26	No
A_HP_045	Pa-Ho	7	16	No
A_HP_046	Pa-Ho	17	39	No
A_HP_047	Pa-Ho	11	26	No
A_HP_048	Pa-Ho	12	14	No
A_HP_049	Pa-Ho	5	19	No
A_HP_050	Pa-Ho	27	35	No
A_HP_051	Pa-Ho	13	26	No
A_PH_004	Her-P	52	22	No
A_PH_005	Her-P	54	24	No
A_PH_006	Her-P	6	88	Yes
A_PH_007	Her-P	5	64	Yes
M_PL_001	Pol-P	84	101	No
M_PL_002	Pol-P	43	64	No
M_PL_003	Pol-P	36	25	No
M_PL_004	Pol-P	12	102	No
M_PL_005	Pol-P	96	275	No
M_PL_006	Pol-P	17	61	Yes
M_PL_007	Pol-P	16	36	Yes
M_PL_008	Pol-P	11	38	Yes
M_PL_009	Pol-P	24	118	No
M_PL_010	Pol-P	31	76	NA
M_PL_011	Pol-P	14	13	No
M_PL_012	Pol-P	29	55	NA
M_PL_013	Pol-P	9	56	No
M_PL_014	Pol-P	29	81	No
M_PL_015	Pol-P	131	666	No
M_PL_016	Pol-P	26	179	Yes
M_PL_017	Pol-P	25	79	No
M_PL_018	Pol-P	39	105	NA
M_PL_019	Pol-P	40	85	Yes
M_PL_020	Pol-P	20	91	NA
M_PL_021	Pol-P	91	677	No
M_PL_022	Pol-P	21	45	No
M_PL_023	Pol-P	23	72	No
M_PL_024	Pol-P	11	18	NA
M_PL_025	Pol-P	13	44	Yes
M_PL_026	Pol-P	105	54	No
M_PL_027	Pol-P	18	60	No
M_PL_028	Pol-P	41	139	No
M_PL_029	Pol-P	49	118	No
M_PL_030	Pol-P	28	53	No
M_PL_031	Pol-P	48	49	No
M_PL_032	Pol-P	7	33	Yes
M_PL_033	Pol-P	13	34	No
M_PL_034	Pol-P	26	128	Yes
M_PL_035	Pol-P	61	36	No
M_PL_036	Pol-P	10	12	NA
M_PL_037	Pol-P	10	40	NA
M_PL_038	Pol-P	8	42	NA
M_PL_039	Pol-P	17	51	NA
M_PL_040	Pol-P	29	43	NA
M_PL_041	Pol-P	31	43	NA
M_PL_042	Pol-P	12	6	No
M_PL_043	Pol-P	28	82	NA
M_PL_044	Pol-P	110	609	No
M_PL_045	Pol-P	17	26	No
M_PL_046	Pol-P	16	44	NA
M_PL_047	Pol-P	19	186	No
M_PL_048	Pol-P	30	236	No
M_PL_049	Pol-P	37	225	NA
M_PL_050	Pol-P	14	35	NA
M_PL_051	Pol-P	14	90	No
M_PL_052	Pol-P	15	39	NA
M_PL_053	Pol-P	99	294	No
M_PL_054	Pol-P	113	318	No
M_PL_055	Pol-P	64	195	No
M_PL_056	Pol-P	91	365	No
M_PL_057	Pol-P	114	883	No
M_PL_058	Pol-P	32	81	Yes
M_PL_059	Pol-P	13	13	No
M_PL_060_01	Pol-P	11	39	No
M_PL_060_02	Pol-P	12	38	No
M_PL_060_03	Pol-P	13	45	No
M_PL_060_04	Pol-P	21	46	No
M_PL_060_05	Pol-P	33	54	No
M_PL_060_06	Pol-P	26	45	No
M_PL_060_07	Pol-P	29	39	No
M_PL_060_08	Pol-P	19	28	No
M_PL_060_09	Pol-P	18	40	No
M_PL_060_10	Pol-P	14	25	No
M_PL_060_11	Pol-P	14	20	No
M_PL_060_12	Pol-P	11	26	No
M_PL_060_13	Pol-P	7	31	No
M_PL_060_14	Pol-P	11	37	No
M_PL_060_15	Pol-P	14	37	No
M_PL_060_16	Pol-P	17	39	No
M_PL_060_17	Pol-P	17	35	No
M_PL_060_18	Pol-P	20	28	No
M_PL_060_19	Pol-P	18	13	No
M_PL_060_20	Pol-P	12	18	No
M_PL_060_21	Pol-P	6	22	No
M_PL_060_22	Pol-P	13	31	No
M_PL_060_23	Pol-P	12	27	No
M_PL_060_24	Pol-P	14	24	No
M_PL_061_01	Pol-P	5	12	Yes
M_PL_061_02	Pol-P	5	17	Yes
M_PL_061_03	Pol-P	6	14	Yes
M_PL_061_04	Pol-P	8	14	Yes
M_PL_061_05	Pol-P	12	22	Yes
M_PL_061_06	Pol-P	11	24	Yes
M_PL_061_07	Pol-P	9	23	Yes
M_PL_061_08	Pol-P	6	19	Yes
M_PL_061_09	Pol-P	6	10	Yes
M_PL_061_10	Pol-P	5	14	Yes
M_PL_061_11	Pol-P	6	12	Yes
M_PL_061_12	Pol-P	7	12	Yes
M_PL_061_13	Pol-P	7	19	Yes
M_PL_061_14	Pol-P	6	11	Yes
M_PL_061_15	Pol-P	6	18	Yes
M_PL_061_16	Pol-P	8	19	Yes
M_PL_061_17	Pol-P	9	13	Yes
M_PL_061_18	Pol-P	11	18	Yes
M_PL_061_19	Pol-P	11	21	Yes
M_PL_061_20	Pol-P	11	14	Yes
M_PL_061_21	Pol-P	11	18	Yes
M_PL_061_22	Pol-P	10	18	Yes
M_PL_061_23	Pol-P	10	26	Yes
M_PL_061_24	Pol-P	11	18	Yes
M_PL_061_25	Pol-P	5	11	Yes
M_PL_061_26	Pol-P	7	13	Yes
M_PL_061_27	Pol-P	6	13	Yes
M_PL_061_28	Pol-P	8	19	Yes
M_PL_061_29	Pol-P	8	18	Yes
M_PL_061_30	Pol-P	7	13	Yes
M_PL_061_31	Pol-P	5	19	Yes
M_PL_061_32	Pol-P	6	18	Yes
M_PL_061_33	Pol-P	2	6	Yes
M_PL_061_34	Pol-P	3	7	Yes
M_PL_061_35	Pol-P	9	13	Yes
M_PL_061_36	Pol-P	7	17	Yes
M_PL_061_37	Pol-P	11	19	Yes
M_PL_061_38	Pol-P	10	23	Yes
M_PL_061_39	Pol-P	7	23	Yes
M_PL_061_40	Pol-P	9	26	Yes
M_PL_061_41	Pol-P	4	9	Yes
M_PL_061_42	Pol-P	6	11	Yes
M_PL_061_43	Pol-P	9	16	Yes
M_PL_061_44	Pol-P	10	11	Yes
M_PL_061_45	Pol-P	11	23	Yes
M_PL_061_46	Pol-P	13	21	Yes
M_PL_061_47	Pol-P	9	26	Yes
M_PL_061_48	Pol-P	9	14	Yes
M_PL_062	Pol-P	456	1044	No
M_PL_063	Pol-P	55	9	Yes
M_PL_064	Pol-P	14	8	No
M_PL_065	Pol-P	21	5	No
M_PL_066	Pol-P	31	5	No
M_PL_067	Pol-P	31	5	No
M_PL_068	Pol-P	31	9	No
M_PL_069_01	Pol-P	18	6	No
M_PL_069_02	Pol-P	10	4	No
M_PL_069_03	Pol-P	7	4	No
M_PL_070	Pol-P	8	8	No
