"ID"	"IntSign"	"IntType"	"IntNH"
"1"	"Herb_Basset&Sam"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"2"	"Herb_Bluthgen2006"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"3"	"Herb_Bodner2009"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"4"	"Herb_Coley2006"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"5"	"Herb_CuevasReyes"	"A"	"Plant-Herbivore"	"Gallers_host plants"
"6"	"Herb_Dawah1995"	"A"	"Plant-Herbivore"	"Gallers_host plants"
"7"	"Herb_Futuyma1979"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"8"	"Herb_Hen&Mem_P100"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"9"	"Herb_Hen&Mem_P199"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"10"	"Herb_Hen&Mem_P200"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"11"	"Herb_Hen&Mem_P299"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"12"	"Herb_Janzen1980"	"A"	"Plant-Herbivore"	"Seed-predators_plants"
"13"	"Herb_Jermy2003"	"A"	"Plant-Herbivore"	"Seed-predators_plants"
"14"	"Herb_Memmott1994"	"A"	"Plant-Herbivore"	"Leaf miner_plants"
"15"	"Herb_Muller1999"	"A"	"Plant-Herbivore"	"Sap-feeding_plants"
"16"	"Herb_Nakagawa2003_96"	"A"	"Plant-Herbivore"	"Seed-predators_plants"
"17"	"Herb_Nakagawa2003_98"	"A"	"Plant-Herbivore"	"Seed-predators_plants"
"18"	"Herb_Novotny2005"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"19"	"Herb_Novotny2012"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"20"	"Herb_Pearse&Alterm"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"21"	"Herb_Prado&Lewin"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"22"	"Herb_Rathcke1976_70"	"A"	"Plant-Herbivore"	"Sap-feeding_plants"
"23"	"Herb_Rathcke1976_71"	"A"	"Plant-Herbivore"	"Sap-feeding_plants"
"24"	"Herb_Stary&Hav"	"A"	"Plant-Herbivore"	"Sap-feeding_plants"
"25"	"Herb_Tavakilian1997"	"A"	"Plant-Herbivore"	"Wood_feeders"
"26"	"Herb_Tscharnatke2001"	"A"	"Plant-Herbivore"	"Gallers_host plants"
"27"	"Pol_Weiner2011"	"M"	"Pollination"	"Pollination"
"28"	"Pol_Junker2013"	"M"	"Pollination"	"Pollination"
"29"	"basker"	"A"	"Food Webs"	"Mammalian predator_prey "
"30"	"hansen"	"A"	"Plant-Herbivore"	"Chewing herbivores_plants"
"31"	"owensmith"	"A"	"Food Webs"	"Mammalian predator_prey "
"32"	"radloffanddutoit"	"A"	"Food Webs"	"Mammalian predator_prey "
"33"	"16_stmary"	"A"	"Host-Parasite"	"Fish_parasites"
"34"	"29_tonkin"	"A"	"Host-Parasite"	"Fish_parasites"
"35"	"25_aluksnes"	"A"	"Host-Parasite"	"Fish_parasites"
"36"	"22_bengal"	"A"	"Host-Parasite"	"Fish_parasites"
"37"	"9_coastalrj"	"A"	"Host-Parasite"	"Fish_parasites"
"38"	"30_coyuca"	"A"	"Host-Parasite"	"Fish_parasites"
