"Ludwigia_nervosa"	"Hyptis_dilatata"	"Besmoscelis_villosa"	"Cuphea_o'donellii"	"Hyptis_conferta"	"Pterolepis_glomerata"	"Aeschynomene_pratensis"	"Sauvagesia_rubiginosa"	"Synqonanthus_caulescens"	"Tyttnera_scabra"	"Xyris_savanensis"	"Caperonia_pallustris"	"Croton_hirtus"	"Desmodium_barbatum"	"Ludwigia_decurrens"	"Melochia_villosa"	"Mimosa_camporum"	"Rhynchanthera_serrulata"	"Saggitaria_quyanensis"	"Shultesia_brachyptera"	"Clidemia_capitellata"	"Diodia_multiflora"	"Heliconia_psittacorum"	"Miconia_stephananthera"	"Sinningia_sp1_M_PL_030"	"Xyris_laxifolia"	"Montricharida_arborescens"	"Thalia_geniculata"	"Apis_mellifera"	"Augochlorensis_callichroa"	"Toxomerus_floralis"	"Auhochloropsis_vesta"	"Palpada_pusio"	"Polybia_occidentalis"	"Urbanus_dorantes_dorantes"	"Dialictus_sp1_M_PL_030"	"Melipona_favosa"	"Pereirapis_sp1_M_PL_030"	"Polistes_subsericeus"	"Pyrgus_oileus_orcus"	"Toxomerus_marginatus"	"Amazilia_fibriata"	"Amazilia_tovasi"	"Athidium_sp1_M_PL_030"	"Campsomeris_dorsata"	"Cerceris_sp1_M_PL_030"	"Euglossa_cordata"	"Eumenes_sp1_M_PL_030"	"Eurema_nise"	"Helicobia_morionella"	"Heliopetes_arsalte"	"Ornidia_obesa"	"Oxyssarcodexia_peltata"	"Polybia_ignobilis"	"Sphex_melanopus"	"Anthidiellum_sp1_M_PL_030"	"Augochlora_sp1_M_PL_030"	"Augochlora_sp2_M_PL_030"	"Augochloropsis_sp1_M_PL_030"	"Ceratina_sp1_M_PL_030"	"Chrysagria_duodecimpuntata"	"Cogia_calchas"	"Cyclocephala_gravis"	"Dialictus_sp2_M_PL_030"	"Euhibus_sp1_M_PL_030"	"Eulaema_nigrita"	"Exomalopsis_sp1_M_PL_030"	"Extemnius_sp1_M_PL_030"	"Junonia_evarete"	"Megachile_sp1_M_PL_030"	"Omicrom_ruficolle"	"Pachodunerus_brevithorax"	"Parancistrocerus_sp1_M_PL_030"	"Pepsis_sp1_M_PL_030"	"Phaenica_sp1_M_PL_030"	"Pompeius_amblyspoila"	"Sarcophagula_occidua"	"Tabanus_sp1_M_PL_030"	"Trigona_angustula"	"Urbanus_simplicius"	"Xylocopa_fibriata"
"Ludwigia_nervosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.05625	0	0	0	0.05625	0.05625	0.05625	0	0	0.05625	0	0	0	0	0.05625	0	0	0	0	0.05625	0.05625	0	0.05625	0.05625	0	0.05625	0	0	0.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.05625	0	0.05625
"Hyptis_dilatata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0	0	0.09	0.09	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0.09	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0.09	0.09	0	0	0	0	0	0	0
"Besmoscelis_villosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0	0.15	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cuphea_o'donellii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0.15	0	0	0	0	0.15	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0
"Hyptis_conferta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0
"Pterolepis_glomerata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0.18	0	0	0	0	0.18	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0
"Aeschynomene_pratensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0
"Sauvagesia_rubiginosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0.225	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Synqonanthus_caulescens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tyttnera_scabra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
