"Entacmaea_quadricolor"	"Heteractis_crispa"	"Stichodactyla_mertensii"	"Heteractis_magnifica"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_melanopus"	"Amphiprion_sandaracinos"	"Premnas_biaculeatus"
"Entacmaea_quadricolor"	0	0	0	0	0.3	0	0.3	0	0.3
"Heteractis_crispa"	0	0	0	0	0.45	0.45	0	0	0
"Stichodactyla_mertensii"	0	0	0	0	0.45	0	0	0.45	0
"Heteractis_magnifica"	0	0	0	0	0	0.9	0	0	0
"Amphiprion_clarkii"	0.3	0.3	0.3	0	0	0	0	0	0
"Amphiprion_perideraion"	0	0.45	0	0.45	0	0	0	0	0
"Amphiprion_melanopus"	0.9	0	0	0	0	0	0	0	0
"Amphiprion_sandaracinos"	0	0	0.9	0	0	0	0	0	0
"Premnas_biaculeatus"	0.9	0	0	0	0	0	0	0	0
