"Elmerrillia_tsiampacca"	"Cinnamomum_culilaban"	"Piper_plagiophyllum"	"Ficus_nodosa"	"Pipturus_argenteus"	"Castanopsis_acuminatissima"	"Caldcluvia_brassii"	"Aleurites_moluccana"	"Melicope_denhamii"	"Cordia_dicotoma"	"Coenobius_kleinhoviae"	"Micromolpus_sp._3"	"Rhyparida_coriacea"	"Rhyparida_sp._5"	"Rhyparida_sp._6"	"Rhyparida_sp._7"	"Rhyparida_sp._8"	"Rhyparidella_wauensis"	"Rhyparidella_sp._10"	"Rhyparidella_sp._11"	"Rhyparidella_sp._12"	"Rhyparidella_sp._13"	"Rhyparidella_sp._14"	"Rhyparidella_sp._15"	"Rhyparidella_sp._16"	"Rhyparidella_sp._17"	"Rhyparidella_sp._18"	"Rhyparidella_sp._19"	"Stethotes_integra"	"Stethotes_lateralis"	"Stethotes_suturalis"	"Stethotes_sp._25"	"Stethotes_sp._26"	"Thyrasia_sp._27"	"Atysa_sp._29"	"Aulacophora_sp._30"	"Momaea_sp._32"	"Neolepta_sp._34"	"Neolepta_sp._35"	"Neolepta_sp._36"	"Neolepta_sp._40"	"Oides_sp._41"	"Sastra_sp._42"	"Crepidodera_sp._44"	"Manobia_sp._45"	"Xenidea_sp._46"
"Elmerrillia_tsiampacca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0.18	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0
"Cinnamomum_culilaban"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0.09	0.09	0	0.09	0	0.09	0	0.09	0	0	0.09	0	0	0.09	0	0	0	0	0	0	0	0.09	0	0	0
"Piper_plagiophyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0	0	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0	0	0	0.0818181818181818	0	0	0	0	0	0	0	0.0818181818181818	0	0.0818181818181818
"Ficus_nodosa"	0	0	0	0	0	0	0	0	0	0	0.075	0	0.075	0	0	0	0	0.075	0	0.075	0	0	0.075	0.075	0	0.075	0.075	0.075	0	0	0	0	0	0	0.075	0.075	0	0	0	0	0	0	0	0	0.075	0
"Pipturus_argenteus"	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0	0	0.0473684210526316	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0
"Castanopsis_acuminatissima"	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0.09	0.09	0	0.09	0	0.09	0	0.09	0	0.09	0	0	0.09	0	0.09	0	0	0	0.09	0	0	0	0	0	0
"Caldcluvia_brassii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0.1125	0	0	0.1125	0	0	0	0	0	0	0	0.1125	0	0	0	0.1125	0	0	0	0	0	0.1125	0	0.1125	0.1125	0	0	0	0	0	0
"Aleurites_moluccana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0.18	0.18	0	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melicope_denhamii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0	0	0	0.09	0.09	0	0.09	0	0.09	0	0	0.09	0.09	0	0	0	0	0	0.09	0	0	0	0	0.09	0	0	0	0
"Cordia_dicotoma"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coenobius_kleinhoviae"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micromolpus_sp._3"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhyparida_coriacea"	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhyparida_sp._5"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhyparida_sp._6"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhyparida_sp._7"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhyparida_sp._8"	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
