"Chirocentrus_dorab"	"Psettodes_erumei"	"Cynoglossus_arel"	"Dussumieria_acuta"	"Sardinella_fimbriata"	"Tenualosa_ilisha"	"Eusphyra_blochii"	"Ilisha_filigera"	"Selaroides_leptolepis"	"Atropus_atropos"	"Chirocentrus_nudus"	"Harpadon_neherius"	"Lepturacanthus_savala"	"Pampus_argenteus"	"Parastromateus_niger"	"Rastrelliger_kanagurta"	"Scomberomorus_guttatus"	"Solea_elongata"	"Trichiurus_lepturus"	"Aetobatus_narinari"	"Bagarius_bagarius"	"Clarias_batrachus"	"Glossogobius_giuris"	"Heteropneustes_fossilis"	"Hilsa_kelee"	"Johnius_borneensis"	"Lutjanus_argentimaculatus"	"Mystus_vittatus"	"Nandus_nandus"	"Ompok_bimaculatus"	"Ompok_pabda"	"Polydactylus_sextarius"	"Polynemus_paradiseus"	"Scoliodon_laticaudus"	"Tachysurus_sp."	"Upeneus_sulphureus"	"Wallago_attu"	"Ascaridida_gen._sp."	"Capillaria_sp."	"Raphidascaris_sp."	"Aphanurus_stossichi"	"Goezia_sp."	"Heterotyphlum_sp"	"Paraquimperia_sp"	"Quimperia_sp."	"Quimperiidae_gen._sp"	"Camallanus_dollfusi"	"Bucephalus_polymorphus"	"Faustula_brevichrus"	"Faustula_sp."	"Opisthadena_sp."	"Dinurinae_gen._sp."	"Lecithocladium_excisum"	"Lecithocladium_harpodontis"	"Lecithocladium_magnacetabulum"	"Lecithocladium_megalaspis"	"Lecithocladium_seriolellae"	"Lecithocladium_sp."	"Hemiurus_appendiculatus"	"Hemiurus_sp."	"Parahemiurus_sp"	"Lecithochiriinae_gen._sp."	"Hemiuridae_gen._sp."	"Acanthocolpus_liodorus"	"Acanthocolpus_luehei"	"Pseudoanthocotyle_pavlovskyi"	"Pricea_multae"	"Megamicrocotyle_chirocentrus"	"Choricotyle_pagelli"	"Choricotyle_sp."	"Nybelinia_sp."	"Contracaecum_sp."	"Paranisakis_sp."	"Terranova_sp."	"Pseudanisakis_sp."	"Dujardinascaris_sp."	"Porrocaecum_trichiuri"	"Cucullanus_sp."	"Camallanus_atropusi"	"Camallanus_bispiculus"	"Camallanus_trichiuris"	"Camallanus_sp."	"Procamallanus_(Spirocamallanus)_sp."	"Neoechinorhynchus_sp."	"Ergasilus_sp."	"Cymothoidae_gen._sp"
"Ascaridida_gen._sp."	0	0	0	0	0	0	0.05625	0	0	0	0.05625	0.05625	0	0	0	0	0.05625	0	0	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0	0.05625	0.05625	0.05625	0.05625	0	0	0.05625	0.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Capillaria_sp."	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Raphidascaris_sp."	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphanurus_stossichi"	0	0	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Goezia_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Heterotyphlum_sp"	0	0	0.45	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraquimperia_sp"	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Quimperia_sp."	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Quimperiidae_gen._sp"	0	0.45	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Camallanus_dollfusi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bucephalus_polymorphus"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Faustula_brevichrus"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Faustula_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Opisthadena_sp."	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dinurinae_gen._sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lecithocladium_excisum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lecithocladium_harpodontis"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lecithocladium_magnacetabulum"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
