"Berberis_vulgaris"	"Juniperus_sabina"	"Daphne_oleoides"	"Juniperus_communis"	"Rosa_canina"	"Turdus_torquatus"	"Turdus_viscivorus"	"Turdus_iliacus"	"Turdus_merula"
"Berberis_vulgaris"	0	0	0	0	0	0.225	0.225	0.225	0.225
"Juniperus_sabina"	0	0	0	0	0	0.225	0.225	0.225	0.225
"Daphne_oleoides"	0	0	0	0	0	0	0.9	0	0
"Juniperus_communis"	0	0	0	0	0	0.9	0	0	0
"Rosa_canina"	0	0	0	0	0	0.9	0	0	0
"Turdus_torquatus"	0.225	0.225	0	0.225	0.225	0	0	0	0
"Turdus_viscivorus"	0.3	0.3	0.3	0	0	0	0	0	0
"Turdus_iliacus"	0.45	0.45	0	0	0	0	0	0	0
"Turdus_merula"	0.45	0.45	0	0	0	0	0	0	0
