"Gastonia_mauritiana"	"Pemphis_acidula"	"Stachytapheta_jamaicensis"	"Turnera_angustifolia"	"Scaevola_sericea"	"Thespesia_populnea"	"Tourneortia_argentea"	"Morinda_citrifolia"	"Leucaena_leucocephala"	"Dracaena_concinna"	"Hibiscus_tiliaceus"	"Suriana_maritima"	"Passiflora_suberosa"	"Ipomoea_macrantha"	"Apis_mellifera"	"Phelsuma_ornata"	"Stratiomyidae_sp."	"Leptotes_pirithous"	"Syrphid_sp."	"Apoidae_sp."	"Xylocopa_fenestrata"	"Hesperidae_sp."	"Muscidae"	"Phalantha_phalantha"	"Protaetia_aurichalcea"	"Lucilia_sp."	"Ornidia_obesa"
"Gastonia_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0	0.1125	0	0.1125	0.1125	0.1125
"Pemphis_acidula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0	0	0.15	0	0	0.15	0	0	0
"Stachytapheta_jamaicensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.15	0.15	0.15	0	0	0.15	0	0.15	0	0	0
"Turnera_angustifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.18	0	0	0.18	0.18	0.18	0	0	0	0	0
"Scaevola_sericea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0	0.225	0.225	0	0	0	0	0	0
"Thespesia_populnea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0	0	0	0.225	0	0	0	0	0
"Tourneortia_argentea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0.225	0	0	0	0.225	0	0	0	0
"Morinda_citrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0
"Leucaena_leucocephala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0
"Dracaena_concinna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0
"Hibiscus_tiliaceus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0
"Suriana_maritima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0.45	0	0	0	0	0	0	0
"Passiflora_suberosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0
"Ipomoea_macrantha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0	0.075	0	0.075	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_ornata"	0.09	0.09	0	0	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stratiomyidae_sp."	0.15	0.15	0.15	0.15	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptotes_pirithous"	0.18	0.18	0.18	0	0	0	0	0.18	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syrphid_sp."	0	0	0.3	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apoidae_sp."	0	0	0	0.3	0.3	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_fenestrata"	0	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hesperidae_sp."	0	0	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Muscidae"	0.45	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalantha_phalantha"	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Protaetia_aurichalcea"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lucilia_sp."	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
