"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0
"R2"	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"R4"	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0.3	0
"R5"	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0.3	0
"R6"	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15
"R7"	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0.225	0.225	0
"R8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0
"R9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"R10"	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15
"C1"	0	0	0	0.18	0.18	0.18	0.18	0	0	0.18	0	0	0	0	0	0
"C2"	0	0.225	0	0	0	0.225	0.225	0	0	0.225	0	0	0	0	0	0
"C3"	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0	0
"C4"	0.1125	0.1125	0	0.1125	0.1125	0.1125	0.1125	0.1125	0	0.1125	0	0	0	0	0	0
"C5"	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0	0	0	0	0	0
"C6"	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0	0	0	0
