"Abramis_brama"	"Anguilla_anguilla"	"Platichthys_flesus_trachurus"	"Vimba_vimba"	"Blicca_bjoerkna"	"Perca_fluviatilis"	"Rutilus_rutilus"	"Zoarces_viviparus"	"Gadus_morhua_callarias"	"Alburnus_alburnus"	"Esox_lucius"	"Gasterosteus_aculeatus"	"Sander_lucioperca"	"Gymnocephalus_cernuus"	"Tinca_tinca"	"Carassius_carassius"	"Clupea_harengus_membras"	"Scardinius_erythrophthalmus"	"Lampetra_fluviatilis"	"Leuciscus_idus"	"Osmerus_eperlanus"	"Salmo_salar"	"Cyprinus_carpio_carpio"	"Gobio_gobio_gobio"	"Lota_lota"	"Psetta_maxima"	"Aspius_aspius"	"Coregonus_lavaretus"	"Leuciscus_cephalus"	"Silurus_glanis"	"Cottus_poecilopus"	"Osmerus_eperlanus_spirinchus"	"Triglopsis_quadricornis"	"Alosa_fallax_fallax"	"Belone_belone"	"Coregonus_albula"	"Coregonus_peled"	"Leucaspius_delineatus"	"Taurulus_bubalis"	"Carassius_auratus_auratus"	"Leuciscus_leuciscus"	"Pelecus_cultratus"	"Pungitius_pungitius"	"Salmo_trutta"	"Salmo_trutta_morpha_fario"	"Alburnoides_bipunctatus"	"Cobitis_taenia"	"Belone_acus"	"Cottus_gobio"	"Ctenopharyngodon_idella"	"Phoxinus_phoxinus"	"Sprattus_sprattus_balticus"	"Diplostomum_spathaceum"	"Argulus_foliaceus"	"Piscicola_geometra"	"Ichthyocotylurus_platycephalus"	"Raphidascaris_acus"	"Acanthocephalus_anguillae"	"Paracoenogonimus_ovatus"	"Acanthocephalus_lucii"	"Diplozoon_paradoxum"	"Corynosoma_semerme"	"Tylodelphys_clavata"	"Pomphorhyn?hus_laevis"	"Echinorhynchus_gadi"	"Hysterothylacium_aduncum"	"Diplostomulum_sp."	"Posthodiplostomum_brevicaudatum"	"Zschokkella_nova"	"Myxobolus_bramae"	"Sphaerostomum_bramae"	"Neoechinorhynchus_rutili"	"Ichthyocotylurus_variegatus"	"Bothriocephalus_scorpii"	"Corynosoma_strumosum"	"Myxobolus_oviformis"	"Proteocephalus_longicollis"	"Camallanus_(Camallanus)_lacustris"	"Caryophyllaeus_laticeps"	"Diphyllobothrium_ditremum"	"Triaenophorus_nodulosus"	"Camallanus_(Camallanus)__truncatus"	"Cystidicola_farioni"	"Dactylogyrus_sphyrna"	"Pseudoterranova_decipiens"	"Echinorhynchus_salmonis"	"Azygia_lucii"	"Bunodera_luciopercae"	"Dactylogyrus_cornu"	"Eubothrium_sp."	"Cucullanus_heterochrous"	"Anguillicola_crassus"	"Ascarophis_morrhuae"	"Henneguya_psorospermica"	"Brachyphallus_crenatus"	"Phyllodistomum_angulatum"	"Scolex_pleuronectis"	"Bothriocephalus_sp."	"Eubothrium_crassum"	"Pseudoterranova_sp."	"Dichelyne_(Cucullanellus)__minutus"	"Ascarophis_skrjabini"	"Ascarophis_sp."	"Nematoda_gen._sp.__larva"	"Myxidium_giardi"	"Myxidium_macrocapsulare"	"Myxobilatus_gasterostei"	"Myxobilatus_platessae"	"Sphaerospora_elegans"	"Myxobolus_ellipsoides"	"Diplostomum_petromyzifluviatilis"	"Bucephalus_polymorphus"	"Cryptocotyle_sp."	"Gyrodactylus_aeglefini"	"Gyrodactylus_errabundus"	"Gyrodactylus_flexibiliradix"	"Gyrodactylus_perlucidus"	"Gyrodactylus_pharyngicus"	"Gyrodactylus_rarus"	"Ancyrocephalus_paradoxus"	"Dactylogyrus_auriculatus"	"Dactylogyrus_fraternus"	"Dactylogyrus_minor"	"Dactylogyrus_parvus"	"Dactylogyrus_zandti"	"Pseudodactylogyrus_anguillae"	"Pseudodactylogyrus_bini"	"Caryophyllaeus_sp."	"Bothriocephalus_claviceps"	"Diphyllobothrium_dendriticum"	"S?histocephalus_solidus"	"Eubothrium_fragile"	"Proteocephalus_filicollis"	"Proteocephalus_macrocephalus"	"Proteocephalus_torulosus"	"Proteocephalus_sp"	"Anisakis_simplex"	"Cucullanus_cirratus"	"Cucullanus_truttae"	"Ascarophis_longispicula"	"Cystidicoloides_ephemeridarum"	"Anodonta_sp."	"Argulus_?oregoni"	"Ergasilus_gibbus"	"Ergasilus_sieboldi"	"Thersitina_gasterostei"	"Achtheres_percarum"
"Abramis_brama"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0	0.0391304347826087	0.0391304347826087	0.0391304347826087	0	0	0	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0	0	0.0391304347826087	0	0	0.0391304347826087	0	0	0	0	0.0391304347826087	0	0	0	0	0.0391304347826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391304347826087	0	0	0	0.0391304347826087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anguilla_anguilla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0.0409090909090909	0	0	0.0409090909090909	0.0409090909090909	0	0.0409090909090909	0.0409090909090909	0	0	0.0409090909090909	0	0.0409090909090909	0	0	0	0	0.0409090909090909	0.0409090909090909	0	0	0.0409090909090909	0	0	0.0409090909090909	0	0	0.0409090909090909	0	0	0	0	0.0409090909090909	0	0	0	0	0	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0.0409090909090909	0	0.0409090909090909	0	0	0	0	0.0409090909090909	0	0	0	0	0	0	0	0.0409090909090909	0	0.0409090909090909	0	0	0
"Platichthys_flesus_trachurus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0	0.0428571428571429	0	0	0	0	0.0428571428571429	0	0.0428571428571429	0.0428571428571429	0.0428571428571429	0.0428571428571429	0.0428571428571429	0	0	0	0	0	0.0428571428571429	0.0428571428571429	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0	0	0.0428571428571429	0.0428571428571429	0	0	0	0	0	0.0428571428571429	0.0428571428571429	0	0.0428571428571429	0.0428571428571429	0	0	0.0428571428571429	0	0	0	0.0428571428571429	0	0	0	0	0.0428571428571429	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vimba_vimba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0.045	0.045	0.045	0.045	0.045	0.045	0	0.045	0.045	0.045	0	0	0	0.045	0.045	0.045	0	0.045	0	0	0.045	0	0	0	0	0	0	0	0.045	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0	0	0	0	0	0.045	0	0
"Blicca_bjoerkna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0.0473684210526316	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0.0473684210526316	0	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Perca_fluviatilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0	0	0.0473684210526316	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0.0473684210526316	0.0473684210526316	0	0	0	0	0.0473684210526316	0.0473684210526316	0	0	0	0.0473684210526316	0	0.0473684210526316	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rutilus_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0	0	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zoarces_viviparus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0	0	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0.0473684210526316	0	0.0473684210526316	0	0.0473684210526316	0	0.0473684210526316	0	0	0	0	0	0	0	0	0.0473684210526316	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0	0	0	0	0	0
"Gadus_morhua_callarias"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0.0529411764705882	0	0	0	0	0	0	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0	0	0	0	0	0	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0	0	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0	0	0	0	0	0	0
"Alburnus_alburnus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0	0	0	0	0	0	0	0.05625	0.05625	0.05625	0.05625	0	0	0	0.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.05625	0.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Esox_lucius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0	0	0	0	0.05625	0	0	0	0	0	0	0	0	0	0.05625	0	0	0.05625	0.05625	0	0	0	0	0.05625	0	0	0	0	0	0	0.05625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
