"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"C30"	"C31"	"C32"	"C33"	"C34"	"C35"	"C36"	"C37"	"C38"	"C39"	"C40"	"C41"	"C42"	"C43"	"C44"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"R2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0	0
"R4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0	0	0	0
"R5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0	0	0	0	0.18	0	0
"R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0
"R7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0	0	0
"R8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0
"R9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0	0.1	0.1	0	0	0	0	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
