"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0
"R33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0
"C1"	0.05625	0	0	0	0	0	0.05625	0	0	0	0.05625	0	0.05625	0	0.05625	0	0	0	0	0.05625	0.05625	0	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0	0	0	0	0	0	0	0	0	0
"C2"	0	0	0.15	0	0	0	0.15	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0
"C3"	0.06	0	0	0	0	0	0.06	0.06	0	0	0.06	0	0.06	0	0	0	0	0.06	0	0.06	0.06	0	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0	0	0.15	0.15	0	0	0	0	0	0	0.15	0	0.15	0	0	0	0	0	0	0.15	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C6"	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0
"C7"	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0	0.0642857142857143	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0
"C8"	0.1125	0	0.1125	0	0	0	0.1125	0	0	0	0	0	0.1125	0.1125	0	0	0.1125	0	0	0.1125	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C9"	0	0	0	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0	0	0	0	0	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0
