"Ehretia_tinifolia"	"Metopium_browneii"	"Ficus_padifolia"	"Talisia_olivaeformis"	"Neea_psychotrioides"	"Centurus_aurifrons"	"Icterus_gularis"	"Pteroglossus_torguatus"	"Trogon_citreolus"	"Centurus_pygmaeus"	"Megarynchus_pitangua"	"Psilorhinus_morio"	"Ramphastos_sulfuratus"	"Saltator_atriceps"	"Tityra_semifasciata"	"Amazona_albifrons"	"Aratinga_astec"	"Cissilopha_yucatanica"	"Cyanocorax_yncas"	"Dives_dives"	"Euphonia_hirundinacea"	"Icterus_chrysater"	"Myiozetetes_similis"	"Tyrannus_melancholicus"	"Euphonia_affinis"	"Icterus_auratus"	"Icterus_mesomelas"	"Icterus_prosthemelas"	"Ortalis_vetula"	"Pitangus_sulphuratus"	"Turdus_grayi"	"Cotinga_amabilis"
"Ehretia_tinifolia"	0	0	0	0	0	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0	0.036	0.036	0.036	0.036	0.036	0.036	0
"Metopium_browneii"	0	0	0	0	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0.0473684210526316	0.0473684210526316	0.0473684210526316	0.0473684210526316	0	0	0	0	0.0473684210526316	0	0	0
"Ficus_padifolia"	0	0	0	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0.05	0.05	0	0.05	0.05	0.05	0	0	0	0	0.05	0.05	0.05
"Talisia_olivaeformis"	0	0	0	0	0	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0	0.05625	0	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0	0	0	0.05625	0.05625	0.05625	0	0	0	0
"Neea_psychotrioides"	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0	0.1125	0	0.1125	0	0.1125	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0
"Centurus_aurifrons"	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Icterus_gularis"	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pteroglossus_torguatus"	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trogon_citreolus"	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Centurus_pygmaeus"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megarynchus_pitangua"	0.225	0.225	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psilorhinus_morio"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ramphastos_sulfuratus"	0.225	0.225	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Saltator_atriceps"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tityra_semifasciata"	0.225	0.225	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amazona_albifrons"	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aratinga_astec"	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
