"Elephant"	"Rhinoceros"	"Hippopotamus"	"Giraffe"	"Buffalo"	"Eland"	"Zebra"	"Roan"	"Sable"	"Wildebeest"	"Waterbuck"	"Kudu"	"Tsessebe"	"Nyala"	"Warthog"	"Reedbuck"	"Impala"	"Bushbuck"	"Duiker"	"Klipsringer"	"Steenbok"	"Grysbok"	"Lion"	"spotted_hyena"	"Chettah"	"Leopard"	"wild_dog"
"Elephant"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Rhinoceros"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Hippopotamus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45
"Giraffe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0.225	0.225
"Buffalo"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0.3
"Eland"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0.3
"Zebra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Roan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0.3
"Sable"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3	0
"Wildebeest"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Waterbuck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Kudu"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Tsessebe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Nyala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Warthog"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Reedbuck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Impala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Bushbuck"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Duiker"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Klipsringer"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0
"Steenbok"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Grysbok"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18
"Lion"	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0	0	0	0	0
"spotted_hyena"	0	0	0	0.05	0.05	0.05	0.05	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0	0	0	0
"Chettah"	0	0	0	0	0	0	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0	0	0
"Leopard"	0	0	0	0.05625	0	0	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0.05625	0	0.05625	0.05625	0	0	0	0	0
"wild_dog"	0	0	0.05	0.05	0.05	0.05	0.05	0.05	0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0	0.05	0.05	0	0	0	0	0
