"Cecropia_membranacea"	"Cecropia_tessmannii"	"Cecropia_ficifolia"	"Cecropia_sp1_M_PA_002"	"Cecropia_polystachya"	"Cecropia_engleriana"	"Azteca_xanthochroa"	"Azteca_ovaticeps"	"Camponotus_balzani"	"Pachycondyla_luteola"
"Cecropia_membranacea"	0	0	0	0	0	0	0.3	0.3	0.3	0
"Cecropia_tessmannii"	0	0	0	0	0	0	0	0	0.45	0.45
"Cecropia_ficifolia"	0	0	0	0	0	0	0.45	0	0.45	0
"Cecropia_sp1_M_PA_002"	0	0	0	0	0	0	0.9	0	0	0
"Cecropia_polystachya"	0	0	0	0	0	0	0.3	0.3	0.3	0
"Cecropia_engleriana"	0	0	0	0	0	0	0.45	0.45	0	0
"Azteca_xanthochroa"	0.18	0	0.18	0.18	0.18	0.18	0	0	0	0
"Azteca_ovaticeps"	0.3	0	0	0	0.3	0.3	0	0	0	0
"Camponotus_balzani"	0.225	0.225	0.225	0	0.225	0	0	0	0	0
"Pachycondyla_luteola"	0	0.9	0	0	0	0	0	0	0	0
