"Potentilla_erecta"	"Salix_repens"	"Calluna_vulgaris"	"Solidago_virgaurea"	"Hieracium_umbellatum"	"Arnica_montana"	"Succisa_pratensis"	"Hypochoeris_radicata"	"Vaccinium_vitis-idaea"	"Epilobium_angustifolium"	"Vaccinium_uliginosum"	"Campanula_rotundifolia"	"Erica_tetralix"	"Hieracium_pilosella"	"Vaccinium_myrtillus"	"Genista_anglica"	"Sorbus_sp1_M_PL_048"	"Galium_saxatile"	"Cytisus_scoparius"	"Trientalis_europaea"	"Galeopsis_sp1_M_PL_048"	"Genista_pilosa"	"Hieracium_sp1_M_PL_048"	"Salix_cinerea"	"Taraxacum_sp1_M_PL_048"	"Prunus_serotina"	"Empetrum_nigrum"	"Knautia_arvensis"	"Prunus_padus"	"Scorzonea_humilis"	"Bombus_pascuorum"	"Apis_mellifera"	"Bellardia_vulgaris"	"Bombus_lucorum"	"Episyrphus_balteatus"	"Formica_fusca"	"Unidentified_sp22_M_PL_048"	"Bombus_bohemicus"	"Lasioglossum_fratellum"	"Syritta_pipiens"	"Unidentified_sp23_M_PL_048"	"Meliscaeva_cinctella"	"Platycheirus_cyaneus"	"Phyllopertha_horticola"	"Bombus_lapidarius"	"Coenonympha_pamphilus"	"Helophilus_pendulus"	"Meligethes_aeneus"	"Phaonia_angelicae"	"Scaeva_selenitica"	"Syrphus_torvus"	"Bombus_jonellus"	"Eristalis_lineata"	"Formica_transkaucasica"	"Lasioglossum_calceatum"	"Leptura_melanura"	"Maniola_jurtina"	"Miarus_campanulae"	"Sicus_ferrugineus"	"Sphaerophoria_sp2_M_PL_048"	"Unidentified_sp15_M_PL_048"	"Cheilosia_bergenstammi"	"Empis_sp1_M_PL_048"	"Eriothrix_rufomaculatus"	"Eristalis_tenax"	"Inachis_io"	"Melanotoma_mellinum"	"Platycheirus_peltatus"	"Pollenia_rudis"	"Scatophaga_stercoraria"	"Sciara_sp1_M_PL_048"	"Sphaerophoria_sp1_M_PL_048"	"Andrena_sp1_M_PL_048"	"Aphanthopus_hyperanthus"	"Bombus_pratorum"	"Callophrys_rubi"	"Chrysotoxum_bicinctum"	"Coenosia_means"	"Hercostomus_sp1_M_PL_048"	"Lasioglossum_leucozonium"	"Lasioglossum_punctatissimum"	"Lasioglossum_sp1_M_PL_048"	"Lycaena_virgaureae"	"Macropis_europaea"	"Myrmica_ruginodis"	"Phaonia_incana"	"Pieris_napi"	"Prosena_siberita"	"Rhagonycha_fulva"	"Sarcophaga_sp1_M_PL_048"	"Thymelicus_lineola"	"Vespula_vulgaris"	"Volucella_bombylans"	"Zygaena_trifolii"	"Adscita_statices"	"Andrena_haemorrhoa"	"Andrena_lapponica"	"Bibio_lanigerus"	"Bombus_sylvestris"	"Calameuta_pallipes"	"Clossiana_selene"	"Dolichovespula_saxonica"	"Empis_aestiva"	"Empis_tessellata"	"Heterostylodes_nominabilis"	"Hylaeus_confusus"	"Oedemera_lurida"	"Parasyrphus_lineola"	"Prosternon_tessellatum"	"Sericomyia_silentis"	"Sphaerophoria_scripta"	"Unidentified_sp11_M_PL_048"	"Unidentified_sp6_M_PL_048"	"Vespula_rufa"	"Anarta_cordigera"	"Andrena_fulva"	"Andrena_praecox"	"Andrena_tarsata"	"Bombus_hypnorum"	"Bombus_terrestris"	"Botanophila_fugax"	"Bruchidius_villosus"	"Cheilosia_albipila"	"Cheilosia_psilophthalma"	"Conops_flavipes"	"Delia_florilega"	"Dilophus_febrilis"	"Dolichovespula_sp1_M_PL_048"	"Dolichovespula_sylvestris"	"Eristalinus_sepulchralis"	"Formica_rufa"	"Lasioglossum_albipes"	"Lasioglossum_leucopus"	"Lasius_niger"	"Leucozona_lucorum"	"Lucilia_bufonivora"	"Mellinus_arvensis"	"Micropterix_aruncella"	"Mimesa_equestris"	"Panurgus_banksianus"	"Pipizella_viduata"	"Polyommatus_icarus"	"Pyrgus_malvae"	"Rhagonycha_limbata"	"Rhingia_campestris"	"Sarcophaga_carnaria"	"Sepsis_cynipsea"	"Sericomyia_lappona"	"Sphecodes_sp1_M_PL_048"	"Tachina_grossa"	"Unidentified_sp10_M_PL_048"	"Unidentified_sp12_M_PL_048"	"Unidentified_sp7_M_PL_048"	"Volucella_pellucens"	"Adela_cuprella"	"Alliopsis_billbergi"	"Amauronematus_sp1_M_PL_048"	"Anarta_myrtilli"	"Anaspis_frontalis"	"Andrena_clarkella"	"Andrena_fucata"	"Andrena_fuscipes"	"Anoplius_sp1_M_PL_048"	"Antherophagus_nigrocornis"	"Aplotarsus_incanus"	"Athous_subfuscus"	"Autographa_bractea"	"Barycnemis_sp1_M_PL_048"	"Bibio_sp1_M_PL_048"	"Bombus_hortorum"	"Cantharis_figurata"	"Cantharis_nigricans"	"Cerceris_arenaria"	"Cheilosia_longula"	"Cheilosia_pagana"	"Chrysomela_collaris"	"Chrysomela_populi"	"Coenosia_femoralis"	"Coenosia_tigrina"	"Colletes_cunicularius"	"Colletes_succinctus"	"Crambus_lathoniellus"	"Cylindromyia_brassicaria"	"Cynomya_mortuorum"	"Dalopius_marginatus"	"Dasytes_plumbeus"	"Delia_diluta"	"Ectobius_silvestris"	"Empis_caudatula"	"Empis_chioptera"	"Empis_nuntia"	"Epirrhoetristata_sp1_M_PL_048"	"Eristalis_abusiva"	"Eristalis_intricaria"	"Eristalis_pertinax"	"Eristalis_sp1_M_PL_048"	"Ernestia_rudis"	"Eumenes_pedunculatus"	"Eupeodes_corollae"	"Formica_exsecta"	"Formica_sanguinea"	"Gonia_picea"	"Gymnosoma_nudifrons"	"Halictus_rubicundus"	"Helina_reversio"	"Heterostylodes_pratensis"	"Huebneria_affinis"	"Hylaeus_brevicornis"	"Hylaeus_sp1_M_PL_048"	"Hypera_meles"	"Lasioglossum_quadrinotatum"	"Lasioglossum_rufitarse"	"Lasioglossum_villosulum"	"Lypha_dubia"	"Megachile_willughbiella"	"Melitta_haemorrhoidalis"	"Mesapamea_didyma"	"Microgaster_sp1_M_PL_048"	"Morellia_aenescens"	"Nemophora_metallica"	"Nomada_leucopthalma"	"Nomada_rufipes"	"Oscinella_vastator"	"Paragus_haemorrhous"	"Paregle_audacula"	"Phasia_pusilla"	"Pieris_rapae"	"Pipiza_lugubris"	"Platycheirus_occultus"	"Platycheirus_sp1_M_PL_048"	"Pollenia_angustigena"	"Rhamphomyia_nigripennis"	"Rhamphomyia_sp1_M_PL_048"	"Rhinophora_lepida"	"Sarcophaga_lasiostyla"	"Sarcophaga_subvicina"	"Scatophaga_inquinata"	"Sciara_hemerobioides"	"Siphona_genuculata"	"Siphona_pauciseta"	"Siphonella_oscinina"	"Sphaerophoria_batava"	"Sphaerophoria_virgata"	"Tricholinum_sp1_M_PL_048"	"Unidentified_sp1_M_PL_048"	"Unidentified_sp13_M_PL_048"	"Unidentified_sp14_M_PL_048"	"Unidentified_sp16_M_PL_048"	"Unidentified_sp17_M_PL_048"	"Unidentified_sp18_M_PL_048"	"Unidentified_sp19_M_PL_048"	"Unidentified_sp2_M_PL_048"	"Unidentified_sp20_M_PL_048"	"Unidentified_sp21_M_PL_048"	"Unidentified_sp24_M_PL_048"	"Unidentified_sp25_M_PL_048"	"Unidentified_sp26_M_PL_048"	"Unidentified_sp27_M_PL_048"	"Unidentified_sp28_M_PL_048"	"Unidentified_sp29_M_PL_048"	"Unidentified_sp3_M_PL_048"	"Unidentified_sp30_M_PL_048"	"Unidentified_sp4_M_PL_048"	"Unidentified_sp5_M_PL_048"	"Unidentified_sp8_M_PL_048"	"Unidentified_sp9_M_PL_048"
"Potentilla_erecta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0	0.012	0.012	0.012	0.012	0.012	0.012	0	0	0.012	0	0.012	0	0.012	0	0.012	0.012	0.012	0.012	0.012	0.012	0	0.012	0	0	0.012	0.012	0.012	0.012	0	0	0	0.012	0.012	0.012	0	0.012	0.012	0	0	0.012	0.012	0	0	0	0	0	0	0.012	0	0	0	0.012	0	0.012	0.012	0	0	0.012	0	0	0	0.012	0.012	0	0.012	0.012	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0.012	0.012	0	0.012	0	0.012	0.012	0	0.012	0.012	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0.012	0	0	0	0	0	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0.012	0	0.012	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0.012	0	0	0.012	0	0	0	0	0	0	0.012	0	0	0	0.012	0.012	0	0
"Salix_repens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0.0121621621621622	0	0.0121621621621622	0	0	0.0121621621621622	0	0	0.0121621621621622	0.0121621621621622	0	0	0	0	0	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0	0.0121621621621622	0	0	0	0	0	0.0121621621621622	0	0	0	0	0	0	0	0.0121621621621622	0	0.0121621621621622	0	0	0	0.0121621621621622	0	0.0121621621621622	0	0	0	0	0	0	0	0	0	0.0121621621621622	0	0	0	0	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0	0	0	0.0121621621621622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121621621621622	0	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0	0	0.0121621621621622	0	0	0	0	0	0	0	0	0	0	0	0.0121621621621622	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0	0	0	0.0121621621621622	0	0	0	0	0.0121621621621622	0.0121621621621622	0	0	0	0	0	0	0.0121621621621622	0	0	0	0	0.0121621621621622	0	0	0	0	0	0	0	0	0	0	0	0.0121621621621622	0	0	0	0	0	0	0.0121621621621622	0	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0	0	0.0121621621621622	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0	0	0	0.0121621621621622	0	0	0	0	0	0	0	0.0121621621621622	0	0.0121621621621622	0.0121621621621622	0	0	0	0	0.0121621621621622	0	0	0.0121621621621622	0	0.0121621621621622	0	0	0	0.0121621621621622	0	0	0	0
"Calluna_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0	0	0	0	0	0.0123287671232877	0	0	0	0	0	0.0123287671232877	0	0	0	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0	0	0	0	0	0	0	0.0123287671232877	0.0123287671232877	0	0	0	0	0	0	0	0.0123287671232877	0	0	0.0123287671232877	0.0123287671232877	0	0	0	0	0.0123287671232877	0.0123287671232877	0	0	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0	0	0.0123287671232877	0.0123287671232877	0	0.0123287671232877	0	0	0.0123287671232877	0	0	0	0	0.0123287671232877	0	0	0.0123287671232877	0	0	0.0123287671232877	0.0123287671232877	0	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0.0123287671232877	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0	0	0.0123287671232877	0	0.0123287671232877	0	0	0	0	0	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0.0123287671232877	0	0	0	0	0	0	0	0	0.0123287671232877	0	0	0	0.0123287671232877	0	0	0.0123287671232877	0.0123287671232877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123287671232877	0.0123287671232877
"Solidago_virgaurea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0.0142857142857143	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0.0142857142857143	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hieracium_umbellatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0.01875	0.01875	0.01875	0.01875	0	0	0.01875	0	0.01875	0.01875	0.01875	0.01875	0	0.01875	0	0.01875	0.01875	0.01875	0.01875	0.01875	0	0.01875	0.01875	0.01875	0	0.01875	0	0.01875	0.01875	0	0.01875	0.01875	0.01875	0.01875	0	0	0.01875	0	0	0	0.01875	0	0.01875	0.01875	0	0.01875	0	0	0.01875	0	0	0.01875	0.01875	0	0	0.01875	0	0.01875	0	0.01875	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0.01875	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0.01875	0	0	0.01875	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arnica_montana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0.0204545454545455	0.0204545454545455	0	0.0204545454545455	0	0	0.0204545454545455	0.0204545454545455	0.0204545454545455	0.0204545454545455	0	0	0.0204545454545455	0.0204545454545455	0.0204545454545455	0.0204545454545455	0.0204545454545455	0	0	0	0.0204545454545455	0.0204545454545455	0	0	0.0204545454545455	0.0204545454545455	0.0204545454545455	0.0204545454545455	0	0	0.0204545454545455	0	0	0	0	0	0	0.0204545454545455	0.0204545454545455	0	0	0	0.0204545454545455	0.0204545454545455	0	0.0204545454545455	0	0.0204545454545455	0	0.0204545454545455	0	0	0	0	0.0204545454545455	0	0	0	0	0	0	0.0204545454545455	0.0204545454545455	0	0.0204545454545455	0	0	0	0.0204545454545455	0.0204545454545455	0	0.0204545454545455	0	0	0	0	0	0.0204545454545455	0	0	0.0204545454545455	0	0	0	0	0	0.0204545454545455	0	0	0.0204545454545455	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0	0	0.0204545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204545454545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Succisa_pratensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290322580645161	0.0290322580645161	0.0290322580645161	0	0.0290322580645161	0	0.0290322580645161	0.0290322580645161	0.0290322580645161	0.0290322580645161	0.0290322580645161	0.0290322580645161	0	0	0.0290322580645161	0	0.0290322580645161	0	0.0290322580645161	0	0	0	0.0290322580645161	0	0.0290322580645161	0	0	0	0.0290322580645161	0	0	0	0	0	0.0290322580645161	0.0290322580645161	0.0290322580645161	0	0.0290322580645161	0	0.0290322580645161	0	0	0	0	0	0	0	0	0.0290322580645161	0	0	0.0290322580645161	0	0	0	0	0.0290322580645161	0	0	0.0290322580645161	0	0	0	0	0	0	0	0	0	0.0290322580645161	0	0	0	0	0	0	0	0	0.0290322580645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290322580645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290322580645161	0.0290322580645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0290322580645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hypochoeris_radicata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0	0	0	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0.0346153846153846	0	0	0	0.0346153846153846	0	0.0346153846153846	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0.0346153846153846	0.0346153846153846	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0.0346153846153846	0	0.0346153846153846	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vaccinium_vitis-idaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0	0	0	0	0.0346153846153846	0	0	0	0	0	0.0346153846153846	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0.0346153846153846	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0.0346153846153846	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0.0346153846153846	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Epilobium_angustifolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0.036	0.036	0.036	0	0.036	0.036	0	0.036	0.036	0	0	0	0	0	0	0	0.036	0.036	0	0	0	0	0	0.036	0.036	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0.036	0.036	0	0.036	0.036	0	0	0.036	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
