"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R2"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R3"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R4"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R5"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R6"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R7"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R8"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R9"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R10"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R11"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"C1"	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0
"C2"	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0
"C3"	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0
