"Cirsium_arvense"	"Eupatorium_cannabinum"	"Stachys_palustris"	"Sonchus_palustris"	"Juncus_effusus"	"Lychnis_flos-cuculi"	"Sonchus_arvensis"	"Allium_scorodoprasum"	"Calystegia_sepium"	"Silene_dioica"	"Meligethes_sp1_M_PL_037"	"Bombus_lapidarius"	"Bombus_pascuorum"	"Unidentified_sp1_M_PL_037"	"Unidentified_sp2_M_PL_037"	"Apocrita_sp1_M_PL_037"	"Episyrphus_balteatus"	"Unidentified_sp3_M_PL_037"	"Unidentified_sp4_M_PL_037"	"Bombus_terrestris"	"Eumerus_tuberculatus"	"Olibrus_aeneus"	"Thymelicus_sylvestris"	"Unidentified_sp5_M_PL_037"	"Unidentified_sp6_M_PL_037"	"Bombus_lucorum"	"Ceuthorrhynchus_assimilis"	"Chrysomela_fastuosa"	"Eoseristalis_horticola"	"Epuraea_depressa_Illiger"	"Leptura_rubra"	"Melanostoma_scalare"	"Mesapamea_secalis"	"Nemophora_degeerella"	"Pieris_napi"	"Psithyrus_bohemicus"	"Scaeva_pyrastri"	"Strangalia_maculata"	"Syrphus_ribesii"	"Syrphus_vitripennis"	"Unidentified_sp10_M_PL_037"	"Unidentified_sp11_M_PL_037"	"Unidentified_sp12_M_PL_037"	"Unidentified_sp13_M_PL_037"	"Unidentified_sp14_M_PL_037"	"Unidentified_sp15_M_PL_037"	"Unidentified_sp7_M_PL_037"	"Unidentified_sp8_M_PL_037"	"Unidentified_sp9_M_PL_037"	"Zygaena_filipendulae"
"Cirsium_arvense"	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0	0	0	0.0529411764705882	0	0	0	0	0.0529411764705882	0	0	0.0529411764705882	0	0	0	0	0.0529411764705882	0.0529411764705882	0	0	0	0	0	0
"Eupatorium_cannabinum"	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stachys_palustris"	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.1	0	0	0.1	0	0	0	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0.1	0	0	0	0.1	0	0	0	0
"Sonchus_palustris"	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0	0	0	0	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0.1125	0.1125	0	0	0	0	0	0	0	0	0.1125	0
"Juncus_effusus"	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0.15	0.15	0	0	0	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0
"Lychnis_flos-cuculi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.15	0	0	0	0.15	0	0	0	0	0.15
"Sonchus_arvensis"	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.15	0	0.15	0.15	0.15	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allium_scorodoprasum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0	0.18	0	0	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0
"Calystegia_sepium"	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Silene_dioica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meligethes_sp1_M_PL_037"	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_lapidarius"	0.225	0.225	0	0.225	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_pascuorum"	0.225	0.225	0.225	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_037"	0.225	0	0.225	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_037"	0.225	0	0	0	0.225	0	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apocrita_sp1_M_PL_037"	0.3	0.3	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Episyrphus_balteatus"	0	0	0.3	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_037"	0.3	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_037"	0	0	0	0	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
