"Ficus_pellucido-punctata"	"Ficus_caulocarpa"	"Ficus_binnendykii"	"Ficus_pisocarpa"	"Ficus_crassiramea"	"Ficus_stupenda"	"Ficus_kerkhovenii"	"Ficus_delosyce"	"Ficus_obscura"	"Ficus_trichocarpa"	"Ficus_benjamina"	"Ficus_sundaica"	"Ficus_cucurbitina"	"Ficus_virens"	"Ficus_consociata"	"Ficus_parietalis"	"Ficus_dubia"	"Ficus_bracteata"	"Ficus_drupacea"	"Ficus_heteropleura"	"Ficus_stricta"	"Ficus_subcordata"	"Ficus_sumatrana"	"Ficus_sagittata"	"Calorhamphus_fuliginosus"	"Irene_puella"	"Megalaima_chrysopogon"	"Calyptomena_viridis"	"Chloropsis_sonnerati"	"Megalaima_australis"	"Treron_curvirostra"	"Megalaima_mystacophanos"	"Anthracoceros_malayanus"	"Hypsipetes_charlottae"	"Megalaima_henricii"	"Pycnonotus_brunneus"	"Chloropsis_cyanopogon"	"Prionochilus_percussus"	"Pycnonotus_eutilotus"	"Buceros_rhinoceros"	"Criniger_phaeocephalus"	"Dicaeum_chrysorrherum"	"Pycnonotus_cyaniventris"	"Treron_capellei"	"Gracula_religiosa"	"Pycnonotus_erythropthalmos"	"Pycnonotus_simplex"	"Anorrhinus_galeritus"	"Criniger_bres"	"Prionochilus_maculatus"	"Rhinoplax_vigil"	"Oriolus_xanthonotus"	"Alcippe_brunneicauda"	"Loriculus_galgulus"	"Pycnonotus_atriceps"	"Criniger_finschii"	"Ptilinopus_jambu"	"Rhyticeros_corrugatus"	"Chloropsis_cochinchinensis"	"Hypsipetes_criniger"	"Treron_olax"	"Corvus_enca"	"Dicaeum_agile"	"Hypsipetes_malaccensis"	"Lophura_ignita"	"Chalcophaps_indica"	"Dicaeum_concolor"	"Ducula_badia"	"Melanochlora_sultanea"	"Platysmurus_leucopterus"	"Pycnonotus_goavier"	"Zoothera_interpres"	"Anthracoceros_albirostris"	"Coracina_striata"	"Dicaeum_ignipectus"	"Dicaeum_trigonostigma"	"Harpactes_diardi"	"Hypsipetes_flavala"	"Pycnonotus_finlaysoni"	"Pycnonotus_melanoleucos"	"Pycnonotus_plumosus"	"Pycnonotus_squamatus"	"Pycnonotus_zeylanicus"	"Treron_fulvicollis"	"Turdus_obscurus"
"Ficus_pellucido-punctata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0	0	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0.0264705882352941	0	0	0.0264705882352941	0.0264705882352941	0	0.0264705882352941	0.0264705882352941	0	0	0.0264705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0.0264705882352941	0.0264705882352941	0	0	0	0	0	0	0	0
"Ficus_caulocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028125	0.028125	0.028125	0.028125	0.028125	0.028125	0.028125	0.028125	0	0.028125	0.028125	0.028125	0.028125	0.028125	0.028125	0	0.028125	0.028125	0.028125	0.028125	0.028125	0.028125	0.028125	0	0.028125	0.028125	0	0.028125	0.028125	0.028125	0.028125	0.028125	0	0	0.028125	0.028125	0.028125	0	0	0	0	0	0.028125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_binnendykii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0	0.03	0.03	0.03	0.03	0.03	0.03	0	0.03	0.03	0.03	0	0	0.03	0.03	0	0.03	0.03	0	0	0.03	0	0.03	0.03	0	0	0.03	0.03	0.03	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.03	0
"Ficus_pisocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0	0.03	0	0	0	0.03	0	0	0	0	0	0	0.03	0	0.03	0	0	0	0	0	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0	0	0	0	0
"Ficus_crassiramea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0	0.0310344827586207	0	0.0310344827586207	0	0.0310344827586207	0.0310344827586207	0	0	0.0310344827586207	0	0	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0	0	0.0310344827586207	0.0310344827586207	0	0	0	0	0	0	0	0.0310344827586207	0	0.0310344827586207	0.0310344827586207	0	0	0.0310344827586207	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_stupenda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0.0310344827586207	0	0.0310344827586207	0	0	0	0.0310344827586207	0.0310344827586207	0	0	0.0310344827586207	0	0.0310344827586207	0.0310344827586207	0	0	0.0310344827586207	0	0	0.0310344827586207	0.0310344827586207	0.0310344827586207	0	0	0.0310344827586207	0.0310344827586207	0.0310344827586207	0	0	0	0	0	0	0	0.0310344827586207	0	0	0	0	0	0	0	0	0	0	0	0	0.0310344827586207
"Ficus_kerkhovenii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0.0333333333333333	0	0	0	0	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_delosyce"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0	0	0.0346153846153846	0	0	0.0346153846153846	0.0346153846153846	0	0.0346153846153846	0	0	0	0	0	0	0	0.0346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_obscura"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0.036	0.036	0	0	0.036	0.036	0	0.036	0	0.036	0	0.036	0.036	0	0.036	0.036	0.036	0	0	0.036	0.036	0	0.036	0.036	0	0.036	0.036	0	0.036	0.036	0	0	0	0.036	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0.036	0	0	0	0	0
"Ficus_trichocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0.036	0.036	0.036	0.036	0	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0.036	0	0.036	0	0.036	0	0	0.036	0.036	0	0.036	0	0	0.036	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0.036	0	0.036	0	0.036	0	0
