"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0.225	0
"R2"	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0
"R3"	0	0	0	0	0	0	0	0	0	0	0.9	0	0
"R4"	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"R5"	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"R6"	0	0	0	0	0	0	0	0	0	0	0.45	0	0.45
"C1"	0	0	0	0.9	0	0	0	0	0	0	0	0	0
"C2"	0	0	0	0	0.9	0	0	0	0	0	0	0	0
"C3"	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0.9	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0.225	0.225	0.225	0	0	0.225	0	0	0	0	0	0	0
"C6"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0
"C7"	0	0	0	0	0	0.9	0	0	0	0	0	0	0
