"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"R2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"R4"	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0	0.15	0	0.15	0.15	0.15
"R5"	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0	0.15	0.15	0	0.15	0.15
"R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"R7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"R8"	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0	0	0.15	0.15	0	0.15	0.15
"R9"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429
"R10"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429
"R11"	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0.225	0	0	0	0.225
"C1"	0	0	0	0.15	0.15	0	0	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0
"C2"	0	0	0	0.15	0.15	0	0	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0
"C3"	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C4"	0.3	0.3	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0
"C5"	0	0	0	0.15	0.15	0	0	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0
"C6"	0	0	0	0	0.225	0	0	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0
"C7"	0	0	0	0.3	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0
"C8"	0	0	0	0.18	0.18	0	0	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0
"C9"	0	0	0	0.15	0.15	0	0	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0
