"Ficus_sp1_M_SD_017"	"Pseudospondias_longifolia"	"Elaeis_guineensis"	"Tetrapleura_tetraptera"	"Berlinia_bracteosa"	"Pycnanthus_angolensis"	"Unidentified_sp1_M_SD_017"	"Xylopia_sp1_M_SD_017"	"Detarium_macrocarpum"	"Duboscia_macrocarpa"	"Pentadesma_butyracea"	"Milicia_excelsa"	"Ongokea_gore"	"Pentaclethra_sp1_M_SD_017"	"Unidentified_sp2_M_SD_017"	"Marantochloa_sp1_M_SD_017"	"Mandrillus_sphinx"	"Cercocebus_albigena"	"Cercopithecus_nictitans"	"Cercopithecus_cephus"	"Gorilla_gorilla"	"Cercopithecus_pogonias"	"Pan_troglodytes"	"Colobus_satanas"
"Ficus_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0
"Pseudospondias_longifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0
"Elaeis_guineensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0	0.15	0.15	0
"Tetrapleura_tetraptera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0	0.15	0	0.15
"Berlinia_bracteosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0	0.18	0	0.18
"Pycnanthus_angolensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0	0.18	0.18	0
"Unidentified_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.18	0.18	0.18	0	0.18	0
"Xylopia_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0	0.18	0	0
"Detarium_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0.225	0.225	0	0	0
"Duboscia_macrocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0.225	0	0.225	0
"Pentadesma_butyracea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0	0.225
"Milicia_excelsa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3	0	0	0
"Ongokea_gore"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0.3
"Pentaclethra_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0.3
"Unidentified_sp2_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0.3	0	0.3	0
"Marantochloa_sp1_M_SD_017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0
"Mandrillus_sphinx"	0.075	0.075	0.075	0.075	0	0	0.075	0.075	0.075	0.075	0	0	0.075	0.075	0.075	0.075	0	0	0	0	0	0	0	0
"Cercocebus_albigena"	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0	0	0	0	0	0	0	0
"Cercopithecus_nictitans"	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0
"Cercopithecus_cephus"	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0
"Gorilla_gorilla"	0.1	0.1	0	0	0	0	0.1	0	0.1	0.1	0.1	0.1	0	0	0.1	0.1	0	0	0	0	0	0	0	0
"Cercopithecus_pogonias"	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pan_troglodytes"	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0
"Colobus_satanas"	0	0	0	0.18	0.18	0	0	0	0	0	0.18	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0
