"Cornus_florida"	"Vitis_sp1_M_SD_001"	"Celastrus_orbiculatus"	"Rhus_radicans"	"Lindera_benzoin"	"Smilax_rotundifolia"	"Lonicera_japonica"	"Quiscalus_quiscula"	"Turdus_migratorius"	"Zonotrichia_albicollis"	"Junco_hyemalis"	"Cardinalis_cardinalis"	"Dendroica_coronata"	"Parus_atricapillus"	"Catharus_guttata"	"Parus_bicolor"	"Picoides_pubescens"	"Mimus_polyglottos"	"Bombycilla_cedrorum"	"Melanerpes_carolinensis"	"Picoides_villosus"	"Sturnus_vulgaris"	"Carpodacus_purpureus"	"Colaptes_auratus"	"Zenaidura_macroura"	"Euphagus_carolinus"	"Pipilo_erythophtalmus"	"Vireo_olivaceus"
"Cornus_florida"	0	0	0	0	0	0	0	0.075	0.075	0.075	0.075	0.075	0	0	0.075	0.075	0	0.075	0	0	0	0	0.075	0.075	0	0	0.075	0.075
"Vitis_sp1_M_SD_001"	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0	0.128571428571429	0	0	0
"Celastrus_orbiculatus"	0	0	0	0	0	0	0	0	0.09	0.09	0.09	0.09	0	0	0.09	0.09	0	0.09	0.09	0	0	0.09	0	0	0	0.09	0	0
"Rhus_radicans"	0	0	0	0	0	0	0	0	0	0.09	0.09	0	0.09	0.09	0	0.09	0.09	0.09	0	0.09	0.09	0	0	0.09	0	0	0	0
"Lindera_benzoin"	0	0	0	0	0	0	0	0	0.18	0.18	0	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0.18	0	0	0
"Smilax_rotundifolia"	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0
"Lonicera_japonica"	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Quiscalus_quiscula"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_migratorius"	0.225	0.225	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zonotrichia_albicollis"	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Junco_hyemalis"	0.225	0	0.225	0.225	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cardinalis_cardinalis"	0.15	0.15	0.15	0	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendroica_coronata"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parus_atricapillus"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_guttata"	0.3	0	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parus_bicolor"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Picoides_pubescens"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mimus_polyglottos"	0.225	0	0.225	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombycilla_cedrorum"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanerpes_carolinensis"	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Picoides_villosus"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sturnus_vulgaris"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Carpodacus_purpureus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Colaptes_auratus"	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Zenaidura_macroura"	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Euphagus_carolinus"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pipilo_erythophtalmus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vireo_olivaceus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
