"Oxalis_compacta"	"Phacelia_secunda"	"Azorella_madreporica"	"Tropaeolum_polyphyllum"	"Draba_tenuis"	"Laretia_acaulis"	"Nassauvia_lagascae"	"Nototriche_compacta"	"Caiophora_coronata"	"Draba_gilliesii"	"Junellia_uniflora"	"Oreopolus_glacialis"	"Adesmia_capitellata"	"Adesmia_glomerula"	"Chaetanthera_lycopodioides"	"Loasa_caespitosa"	"Nassauvia_pungens"	"Viola_atropurpurea"	"Acaena_pinnatifida"	"Calandrinia_affinis"	"Calandrinia_caespitosa"	"Calandrinia_occulta"	"Calandrinia_picta"	"Calandrinia_sericea"	"Cardamine_nivalis"	"Chaetanthera_flabellata"	"Erigeron_andicola"	"Leuceria_salina"	"Nassauvia_pinnigera"	"Oxalis_sp1_M_PL_003"	"Pozoa_coriacea"	"Ranunculus_peduncularis"	"Senecio_francisci"	"Valeriana_radicalis"	"Viola_montagnei"	"Viola_philippii"	"Unidentified_sp1_M_PL_003"	"Scaeva_melanostoma"	"Yramea_modesta"	"Phulia_nymphula"	"Unidentified_sp2_M_PL_003"	"Anthidium_sp1_M_PL_003"	"Bombus_dahlbomii"	"Megachile_sp1_M_PL_003"	"Anthidium_espinosai"	"Faunula_leucoglene"	"Habromyia_lipoflava"	"Megachile_semirufa"	"Unidentified_sp3_M_PL_003"	"Unidentified_sp4_M_PL_003"	"Andinus_venustus"	"Cynthia_terpsichore"	"Dasybasis_sp1_M_PL_003"	"Hypsochila_wagenknechti"	"Pseudolucia_chilensis"	"Tatochila_mercedis"	"Unidentified_sp5_M_PL_003"	"Unidentified_sp6_M_PL_003"	"Unidentified_sp7_M_PL_003"	"Vibrissomyia_sp1_M_PL_003"	"Villa_sp1_M_PL_003"
"Oxalis_compacta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0.128571428571429	0	0	0	0	0
"Phacelia_secunda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0.15	0.15	0.15	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Azorella_madreporica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0	0.18	0	0	0	0	0	0.18	0	0	0	0	0	0.18	0	0	0	0	0	0	0	0
"Tropaeolum_polyphyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0	0	0	0	0.18	0	0	0	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0
"Draba_tenuis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0.225	0.225	0	0
"Laretia_acaulis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225
"Nassauvia_lagascae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0.225	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0
"Nototriche_compacta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0
"Caiophora_coronata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0
"Draba_gilliesii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
