"Clethrionomys_rutilus"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Myopus_schisticolor"	"Arvicola_terrestris"	"Neomys_fodiens"	"Sicista_betulina"	"Megabothris_rectangulatus"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Rhadinopsylla_integella"	"Palaeopsylla_soricis"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0.15	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0.225	0	0	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0.45	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0	0.1125	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.15	0.15	0.15	0.15	0.15	0	0.15	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.18	0.18	0.18	0.18	0	0.18	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0	0.3	0.3	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
