"Catostomus_catostomus"	"Coregonus_clupeaformis"	"Cottus_cognatus"	"Esox_lucius"	"Prosopium_cylindraceum"	"Salvelinus_namaycush"	"Thymallus_arcticus"	"Anonchohaptor_anomalus"	"Dactylogyrus_buddi"	"Discocotyle_sagittata"	"Tetraonchus_borealis"	"Tetraonchus_monenteron"	"Tetraonchus_variabilis"	"Allocreadium_isosporum"	"Crepidostomum_farionis"	"Diplostomum_spathaceum_(L)"	"Heterophyid_meta_(L)"	"Neascus_sp._(L)"	"Tetracotyle_sp._(L)"	"Cyathocephalus_truncatus"	"Diphyllobothrium_sp._(L)"	"Eubothrium_salvelini"	"Glaridacris_catostomi"	"Proteocephalus_tumidocollus"	"Schistocephalus_solidus_(L)"	"Triaenophorus_crassus"	"Triaenophorus_crassus_(L)"	"Capillaria_salvelini"	"Cystidicola_farionis"	"Raphidascaris_acus"	"Raphidascaris_acus_(L)"	"Neoechinorhynchus_tumidus"	"Piscicola_milneri"	"Salmincola_extensus"	"Salmincola_edwardsii"	"Salmincola_thymalli"
"Catostomus_catostomus"	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0.225	0	0	0	0	0	0.225	0	0	0	0	0	0	0
"Coregonus_clupeaformis"	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0
"Cottus_cognatus"	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0	0	0.1125	0.1125	0	0	0	0	0	0	0.1125	0	0	0	0
"Esox_lucius"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0.1	0	0.1	0.1	0	0	0
"Prosopium_cylindraceum"	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0.0642857142857143	0	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0	0	0
"Salvelinus_namaycush"	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0	0	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0
"Thymallus_arcticus"	0	0	0	0	0	0	0	0	0	0.06	0.06	0	0	0.06	0.06	0.06	0	0	0.06	0	0.06	0.06	0	0.06	0	0	0.06	0.06	0.06	0	0.06	0.06	0	0	0	0.06
"Anonchohaptor_anomalus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylogyrus_buddi"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Discocotyle_sagittata"	0	0.225	0	0	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetraonchus_borealis"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetraonchus_monenteron"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
