"Acacia_collinsii"	"Acacia_cornigera"	"Acacia_farnesiana"	"Acacia_new_species"	"Acacia_retusa"	"Acacia_tenuifolia"	"Aeschynomene_americana"	"Albizzia_adinocephala"	"Albizzia_caribaea"	"Andira_inermis"	"Banisteriopsis_cornifolia"	"Banisteriopsis_muricata"	"Bauhinia_glabra"	"Bauhinia_pauletia"	"Bauhinia_ungulata"	"Bixa_orellana"	"Caesalpinia_coriana"	"Calopogonium_caeruleum"	"Calopogonium_mucunoides"	"Casearia_corymbosa"	"Cassia_10969"	"Cassia_biflora"	"Cassia_emarginata"	"Cassia_grandis"	"Cassia_leptocarpa"	"Cassia_obtusifolia"	"Cassia_papillosa"	"Cassia_skinneri"	"Cassia_uniflora"	"Cayaponia_attenuata"	"Cayaponia_racemosa"	"Centrosema_plumieri"	"Centrosema_pubescens"	"Cissus_rhombifolia"	"Combretum_farinosum"	"Cordia_alliodora"	"Cordia_gerascanthus"	"Cordia_panamensis"	"Dalbergia_retusa"	"Desmanthus_virgatus"	"Dioclea_megacarpa"	"Diospyros_nicaraguensis"	"Diphysa_robinioides"	"Galactia_striata"	"Guazuma_ulmifolia"	"Heteropterys_beecheyana"	"Hippomane_mancinella"	"Hymenaea_courbaril"	"Indigofera_costaricensis"	"Indigofera_suffruticosa"	"Ipomoea_carnea"	"Ipomoea_fistulosa"	"Ipomoea_hederifolia"	"Ipomoea_meyeri"	"Ipomoea_nil"	"Ipomoea_pes-caprae"	"Ipomoea_trifida"	"Jacquemontia_tamnifolia"	"Lonchocarpus_costaricensis"	"Lonchocarpus_eriocarinalis"	"Lonchocarpus_nitidus"	"Lonchocarpus_parviflorus"	"Lysiloma_seemannii"	"Manilkara_zapota"	"Merremia_aegyptica"	"Merremia_umbellata"	"Mimosa_aff._eurycarpa"	"Mimosa_albida"	"Mimosa_dormiens"	"Mimosa_guanacastensis"	"Mimosa_pigra"	"Mimosa_pudica"	"Mimosa_pusilla"	"Mimosa_quadrivalis"	"Parkinsonia_aculeata"	"Phaseolus_lunatus"	"Piptadenia_flava"	"Piscidia_carthagenensis"	"Pithecellobium_mangense"	"Pithecellobium_oblongum"	"Pithecellobium_platyloba"	"Pithecellobium_saman"	"Prosopis_juliflora"	"Pterocarpus_rohrii"	"Rhynchosia_minima"	"Sapindus_saponaria"	"Scheelea_rostrata"	"Serjania_schiedeana"	"Sesbania_emerus"	"Sida_sp._1"	"Sida_sp._2"	"Sida_sp._3"	"Spondias_mombin"	"Spondias_radkoferi"	"Triumfetta_lappula"	"Acanthoscelides_argillaceus"	"Acanthoscelides_brevipes"	"Acanthoscelides_clitellarius"	"Acanthoscelides_cordifer"	"Acanthoscelides_devriesi"	"Acanthoscelides_difficilis"	"Acanthoscelides_flavescens"	"Acanthoscelides_griseolus"	"Acanthoscelides_guazumae"	"Acanthoscelides_kingsolveri"	"Acanthoscelides_petalopygus"	"Acanthoscelides_megacornis"	"Acanthoscelides_mexicanus"	"Acanthoscelides_obrienorum"	"Acanthoscelides_pertinax"	"Acanthoscelides_puellus"	"Acanthoscelides_quadridentatus"	"Acanthoscelides_hectori"	"Acanthoscelides_triumfettae"	"Acanthoscelides_zebratus"	"Acanthoscelides_zeteki"	"Algarobius_bottimeri"	"Amblycerus_biolleyi"	"Amblycerus_obscurus"	"Amblycerus_championi"	"Amblycerus_cistelinus"	"Amblycerus_epsilon"	"Amblycerus_geminatus"	"Amblycerus_dytiscinus"	"Amblycerus_imperfectus"	"Amblycerus_new_species"	"Amblycerus_multiflocculus"	"Amblycerus_perfectus"	"Amblycerus_pterocarpae"	"Amblycerus_baracoensis"	"Amblycerus_spondiae"	"Amblycerus_vegai"	"Caryedes_brasiliensis"	"Caryedes_cavatus"	"Caryedes_helvinus"	"Caryedes_incensus"	"Caryedes_juno"	"Caryedes_paradisensis"	"Caryedes_quadridensis"	"Caredes_x-liturus"	"Caryopbruchus_buscki"	"Caryopbruchus_acapulcensis"	"Ctenocolum_biolleyi"	"Ctenocolum_crotonae"	"Ctenocolum_janzeni"	"Ctenocolum_salvini"	"Ctenocolum_tuberculatum"	"Gibbobruchus_cristicollis"	"Gibbobruchus_guanacaste"	"Megacerus_bifloccosus"	"Megacerus_cubicus"	"Megacerus_flabelliger"	"Megacerus_leucospilus"	"Megacerus_lherminieri"	"Megacerus_meculiventris"	"Megacerus_porosus"	"Megacerus_ricaensis"	"Megacerus_ramicornis"	"Megasennius_muricatus"	"Meibomeus_surrubresus"	"Merobruchus_santarosae"	"Merobruchus_boucheri"	"Merobruchus_columbinus"	"Merobruchus_hastatus"	"Merobruchus_insolitus"	"Merobruchus_paquetae"	"Merobruchus_sonorensis"	"Merobruchus_terani"	"Mimosestes_amicus"	"Mimosestes_mimosae"	"Mimosetes_nubigens"	"Mimosetes_viduatus"	"Pachymerus_new_species"	"Pygiopachymerus_lineola"	"Sennius_auricomus"	"Sennius_biflorae"	"Sennius_breveapicalis"	"Sennius_ensiculus"	"Sennius_instabilis"	"Sennius_lebasi"	"Sennius_morosus"	"Stator_championi"	"Stator_limbatus"	"Stator_pruininus"	"Stator_sordidus"	"Stator_vittatithorax"	"Zabrotes_chavesi"	"Zabrotes_propinquus"	"Zabrotes_interstitialis"	"Zabrotes_subfasciatus"	"Leptostylus_gibbulosus"	"Leptostylus_spermatovoratis"	"Leptostylus_spermophagus"	"Achia_adusta"	"Apion_glyphicum"	"Apion_pterocarpi"	"Apion_samson"	"Clenogus_armatus"	"Clenogus_fratellus"	"Clenogus_rubetra"	"Conotrachelus_brevirostris"	"Phymatophosus_scapularis"	"Rhinochenus_stigma"	"Thinochenus_transversalis"	"Zygopine_new_species"
"Acacia_collinsii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acacia_cornigera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acacia_farnesiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acacia_new_species"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acacia_retusa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acacia_tenuifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeschynomene_americana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Albizzia_adinocephala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Albizzia_caribaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andira_inermis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0.225	0	0	0	0	0
