"Pistacia_lentiscus"	"Rubus_ulmifolius"	"Rhamnus_lycioides"	"Phillyrea_angustifolia"	"Myrtus_communis"	"Olea_europaea"	"Daphne_gnidium"	"Smilax_aspera"	"Asparagus_aphyllus"	"Asparagus_aculeatus"	"Lonicera_periclymenum"	"Osyris_alba"	"Crataegus_monogyna"	"Tamus_communis"	"Pyrus_bourgaeana"	"Rubia_pregrina"	"Sylvia_atricapilla"	"Turdus_merula"	"Sylvia_borin"	"Sylvia_melanocephala"	"Erithacus_rubecula"	"Cyanopica_cyanus"	"Sylvia_cantillans"	"Turdus_philomelos"	"Ficedula_hypoleuca"	"Sylvia_communis"	"Phoenicurus_phoenicurus"	"Sturnus_unicolor"	"Sylvia_hortensis"	"Luscinia_megarhynchos"	"Muscicapa_striata"	"Saxicola_torquata"	"Sylvia_undata"
"Pistacia_lentiscus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882
"Rubus_ulmifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0
"Rhamnus_lycioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0	0.075	0.075	0.075	0	0	0.075	0.075	0	0
"Phillyrea_angustifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0.0818181818181818	0	0	0	0
"Myrtus_communis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0	0.09	0.09	0.09	0.09	0.09	0	0	0	0.09	0	0	0	0.09	0.09
"Olea_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0	0	0	0.1	0	0	0	0.1	0
"Daphne_gnidium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0	0	0	0	0	0
"Smilax_aspera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0
"Asparagus_aphyllus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0.15	0.15	0.15	0.15	0	0	0.15	0	0	0	0	0	0	0	0	0
"Asparagus_aculeatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0.18	0	0	0	0	0	0	0	0	0	0	0	0
"Lonicera_periclymenum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0	0	0.18	0	0	0	0	0	0	0	0	0	0
"Osyris_alba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0.18	0	0	0	0.18	0	0	0	0	0	0	0	0	0
"Crataegus_monogyna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0	0	0	0.225	0	0	0	0	0	0.225	0	0	0	0	0
"Tamus_communis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.225	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0
"Pyrus_bourgaeana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0
"Rubia_pregrina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_atricapilla"	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_merula"	0.06	0.06	0.06	0.06	0.06	0.06	0	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_borin"	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_melanocephala"	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erithacus_rubecula"	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyanopica_cyanus"	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sylvia_cantillans"	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
