"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"
"R1"	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
"R2"	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09
"R3"	0	0	0	0	0	0	0	0	0	0	0	0.18	0.18	0.18	0	0	0	0	0.18	0.18
"R4"	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
"R5"	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0	0
"R6"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0
"R7"	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0	0
"R8"	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0.1125	0	0
"R9"	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0
"R10"	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0
"C1"	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0	0	0	0	0
"C2"	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0
"C3"	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0
"C4"	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0	0	0
"C5"	0.1125	0.1125	0	0.1125	0.1125	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0
"C6"	0.1125	0.1125	0	0.1125	0.1125	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0
"C7"	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429	0	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0	0	0	0
"C8"	0.1125	0.1125	0	0.1125	0.1125	0	0.1125	0.1125	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0
"C9"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C10"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
