"Ziziphus_cotinifolia"	"Caesalpinia_pyramidalis"	"Erythroxylon_catingae"	"Senna_spectabilis"	"Sidastrum_paniculatum"	"Cardiospermum_corindum"	"Capparis_yco"	"Melochia_tomentosa"	"Eugenia_rosea"	"Peltogyne_pauciflora"	"Opuntia_palmadora"	"Chlorophora_tinctoria"	"Echinodorus_subulatus"	"Sideroxylon_obtusifolium"	"Passiflora_foetida"	"Acacia_bahiensis"	"Sida_galheirensis"	"Solanum_paniculatum"	"Chaetocalyx_scandens"	"Tabebuia_heptaphylla"	"Herissantia_crispa"	"Boerhavia_coccinia"	"Syagrus_vagans"	"Sida_sp."	"Alternanthera_brasiliana"	"Gomphrena_holosericea"	"Hydrocleis_nymphaeoides"	"Rhaphiodon_echinus"	"Mimosa_arenosa"	"Chamaecrista_belemii"	"Cordia_aff._globosa"	"Herissantia_tiubae"	"Jatropha_mollissima"	"Capparis_jacobinae"	"Cereus_peruvianus"	"Poeppigia_procera"	"Anacardium_occidentale"	"Portulaca_marginata"	"Stigmaphyllon_auriculatum"	"Portulaca_elatior"	"Jacquemontia_sp."	"Lippia_pohliana"	"Mollugo_verticillata"	"Oxalis_sp."	"Nymphoides_indica"	"Cordia_latiloba"	"Evolvulus_glomeratus"	"Solanum_gardnerii"	"Croton_echioides"	"Polybia_ignobilis"	"Polybia_sericea"	"Polistes_Canadensis"	"Polybia_paulista"	"Brachygastra_lecheguana"	"Polybia_occidentalis"	"Protonectarina_sylveirae"	"Mischocyttarus_lanei"	"Protopolybia_ex?ua"	"Mischocyttarus_cerberus"	"Polistes_billardieri"	"Polistes_cinerascens"	"Polistes_versicolor"	"Apis_mellifera"	"Trigona_spinipes"	"Frieseomelitta_silvestrii"	"Plebeia_sp."	"Trigonisca_intermedia"	"Melipona_asilvai"	"Partamona_sp."	"Bombus_brevivillus"	"Bombus_morio"	"Melipona_quadrifasciata"	"Trigona_gr._fuscipennis"	"Trigonisca_sp."
"Ziziphus_cotinifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0.0529411764705882	0.0529411764705882	0	0	0	0	0.0529411764705882
"Caesalpinia_pyramidalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0	0	0	0	0.075	0.075	0.075	0	0	0	0	0	0	0	0	0
"Erythroxylon_catingae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0	0	0	0	0	0.075	0	0	0.075	0	0.075	0	0	0	0.075	0	0
"Senna_spectabilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0.09	0.09	0.09	0.09	0.09	0	0	0	0	0	0	0.09	0.09	0.09	0	0	0	0	0	0	0
"Sidastrum_paniculatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.1	0	0	0	0	0	0.1	0	0	0	0	0
"Cardiospermum_corindum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.1	0	0	0.1	0.1	0	0	0	0	0.1	0	0.1	0.1	0	0	0	0.1	0	0	0	0	0	0
"Capparis_yco"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0.1	0.1	0	0.1	0	0	0	0	0	0.1	0.1	0.1	0	0.1	0	0	0	0	0	0	0
"Melochia_tomentosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0.1125	0	0.1125	0.1125	0.1125	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0.1125	0.1125	0	0	0
"Eugenia_rosea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0.128571428571429	0	0	0.128571428571429	0	0	0	0	0	0	0	0	0.128571428571429	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0	0	0	0	0	0
"Peltogyne_pauciflora"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128571428571429	0	0	0	0.128571428571429	0.128571428571429	0	0	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0	0.128571428571429	0	0	0	0	0	0	0
