"Phacelia_secunda"	"Senecio_bustillosianus"	"Stachys_albi"	"Adesmia_conferta"	"Calandrinia_affinis"	"Senecio_erucaeformis"	"Astragalus_curvicaulis"	"Chaetanthera_euphrasioides"	"Adesmia_radicifolia"	"Mulinum_spinosum"	"Sisyrinchium_arenarium"	"Chuquiraga_oppositifolia"	"Scypanthus_elegans"	"Senecio_francisci"	"Verbena_scoparia"	"Adesmia_aconcaguensis"	"Berberis_empetrifolia"	"Calandrinia_uspallatensis"	"Cerastium_arvense"	"Haplopappus_sericeus"	"Hypochoeris_sp1_M_PL_001"	"Mustisia_sinuata"	"Adesmia_brachy"	"Alstroemeria_pallida"	"Astragalus_sp1_M_PL_001"	"Euphorbia_portulacoides"	"Madia_sativa"	"Nassauvia_heterophylla"	"Perezia_carthamoides"	"Sisyrinchium_junceum"	"Anarthrophyllum_cumingii"	"Loasa_heterophylla"	"Quinchamalium_chilensis"	"Sanicula_graveolens"	"Sisyrinchium_philippii"	"Adesmia_exilis"	"Bowlesia_tropaeolifolia"	"Calceolaria_montana"	"Chaetanthera_microphylla"	"Haplopappus_chysanthemifolius"	"Leucocoryne_pauciflora"	"Mustisia_acerosa"	"Mustisia_subulata"	"Oxalis_cinerea"	"Oxalis_geminata"	"Oxalis_sp1_M_PL_001"	"Schizanthus_grahamii"	"Senecio_lithostaurus"	"Valeriana_gracileps"	"Asteriscium_aemocarpon"	"Berberis_montana"	"Erodium_cicutarium"	"Leuceria_landbeckii"	"Nardophyllum_lanatum"	"Rhodophiala_montana"	"Trichocereus_chiloensis"	"Tropaeolum_sessilifolium"	"Viviania_marifolia"	"Acaena_pinn"	"Adesmia_montana"	"Barneoudia_chilensis"	"Calceolaria_arac"	"Calceolaria_biflora"	"Calceolaria_indet"	"Cardamine_nivalis"	"Clarkia_tenella"	"Collomia_biflora"	"Cynoglossum_sp1_M_PL_001"	"Hippeastrum_uni"	"Lathyrus_subandinus"	"Lepidium_suffruticosum"	"Leucocoryne_ixioides"	"Loasa_sigmoidea"	"Lupinus_microcarpus"	"Malesherbia_linearifolius"	"Nothoscordum_andinum"	"Oenothera_acaulis"	"Salpiglossus_sp1_M_PL_001"	"Solanum_tomatillo"	"Solenomelus_sisyrinchium"	"Tetraglochin_alatum"	"Tristagma_sessile"	"Tropaeolum_polyph"	"Tropaeolum_tricolor"	"Scaeva_melanostoma"	"Unidentified_sp1_M_PL_001"	"Unidentified_sp2_M_PL_001"	"Megachile_semirufa"	"Centris_cineraria"	"Megachile_sp1_M_PL_001"	"Caenohalictus_sp1_M_PL_001"	"Alloscirtetica_sp1_M_PL_001"	"Auca_coctei"	"Anthidium_chilensis"	"Etcheverrius_chilensis"	"Villa_sp1_M_PL_001"	"Bombus_dahlbomii"	"Megachile_sp2_M_PL_001"	"Panur_sp1_M_PL_001"	"Unidentified_sp3_M_PL_001"	"Anthidium_funereum"	"Unidentified_sp4_M_PL_001"	"Anthidium_gayi"	"Villa_hypoxantha"	"Villa_verdensis"	"Anthidium_decapsilum"	"Cadeguala_occidentalis"	"Centris_nigerrima"	"Unidentified_sp5_M_PL_001"	"Unidentified_sp6_M_PL_001"	"Xanthocolletes_sicheli"	"Alloscirtetica_rufitarsis"	"Faunula_leucoglene"	"Hypodynerus_sp1_M_PL_001"	"Lyophlaeba_lugubris"	"Ruiziella_luctuosa"	"Truphloechus_bellus"	"Unidentified_sp7_M_PL_001"	"Villa_semifuscata"	"Yramea_lathonoides"	"Alloscirtetica_gayi"	"Anthophora_incerta"	"Anthophora_sp1_M_PL_001"	"Centris_sp1_M_PL_001"	"Chaetodemoticus_chilensis"	"Euryglostromyia_philippii"	"Habromyia_lipoflava"	"Hypodynerus_sp2_M_PL_001"	"Hypodynerus_sp3_M_PL_001"	"Liphanthus_sabulosus"	"Lithurgomma_wagenknechti"	"Mesonychium_gayi"	"Pseudolucia_chilensis"	"Ruizantheda_mutabilis"	"Spathipalpus_philippii"	"Tatochila_mercedis"	"Unidentified_sp8_M_PL_001"	"Villa_flavicura"	"Xanthocolletes_incahuasi"	"Andinus_venustus"	"Anthidium_adriani"	"Caenohalictus_sp2_M_PL_001"	"Caenohalictus_sp3_M_PL_001"	"Caupolicana_dimidiata"	"Chilicola_sp1_M_PL_001"	"Chilicola_sp2_M_PL_001"	"Chilimelissa_sp1_M_PL_001"	"Coelioxys_sp1_M_PL_001"	"Colletes_aruacariae"	"Colletes_fulvipes"	"Colletes_sp1_M_PL_001"	"Corynurus_sp1_M_PL_001"	"Dasybasis_sp1_M_PL_001"	"Dialictus_sp1_M_PL_001"	"Elaphroptera_relicta"	"Eristalis_tenax"	"Hemicolletes_ruizii"	"Hypsochila_wagenknechti"	"Isepeolus_niveiventris"	"Liphanthus_sp1_M_PL_001"	"Liphanthus_sp2_M_PL_001"	"Phulia_nymphula"	"Prosopochaeta_caliginosa"	"Prosopochaeta_sp1_M_PL_001"	"Scaptia_atra"	"Svastrides_melanura"	"Tapinotaspis_caerulea"	"Tapinotaspis_herbsti"	"Tatochila_sp1_M_PL_001"	"Unidentified_sp10_M_PL_001"	"Unidentified_sp11_M_PL_001"	"Unidentified_sp12_M_PL_001"	"Unidentified_sp13_M_PL_001"	"Unidentified_sp14_M_PL_001"	"Unidentified_sp15_M_PL_001"	"Unidentified_sp16_M_PL_001"	"Unidentified_sp17_M_PL_001"	"Unidentified_sp18_M_PL_001"	"Unidentified_sp9_M_PL_001"	"Vibrissomyia_sp1_M_PL_001"	"Villa_arenarus"	"Villa_durvillei"	"Villa_gayi"	"Villa_guttapennis"	"Xanthocolletes_sp1_M_PL_001"
"Phacelia_secunda"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0	0.036	0.036	0.036	0.036	0.036	0	0.036	0	0	0.036	0.036	0	0	0	0	0.036	0	0.036	0.036	0.036	0	0	0	0	0.036	0	0	0	0	0.036	0	0	0	0	0.036	0.036	0	0	0	0	0	0.036	0	0.036	0	0	0.036	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_bustillosianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0	0	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0.0409090909090909	0	0.0409090909090909	0.0409090909090909	0.0409090909090909	0	0	0	0.0409090909090909	0	0	0	0	0	0	0	0.0409090909090909	0	0	0.0409090909090909	0	0	0	0	0	0.0409090909090909	0	0	0	0	0	0	0.0409090909090909	0	0	0	0	0	0.0409090909090909	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stachys_albi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0642857142857143	0	0	0.0642857142857143	0.0642857142857143	0.0642857142857143	0	0.0642857142857143	0	0	0	0	0.0642857142857143	0.0642857142857143	0	0	0	0	0.0642857142857143	0	0	0	0.0642857142857143	0.0642857142857143	0	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0.0642857142857143	0	0.0642857142857143	0	0	0.0642857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adesmia_conferta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0	0	0.0692307692307692	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Calandrinia_affinis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Senecio_erucaeformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0692307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Astragalus_curvicaulis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0.09	0.09	0.09	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetanthera_euphrasioides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0.09	0	0	0	0	0.09	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0.09	0	0
"Adesmia_radicifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0.1	0.1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mulinum_spinosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0.1125	0	0	0	0	0	0	0	0	0.1125	0	0	0.1125	0	0	0	0	0.1125	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0
