"Claytonia_virginica"	"Isopyrum_biternatum"	"Dentaria_laciniata"	"Erythronium_albidum"	"Dicentra_cucullaria"	"Sanguinaria_canadensis"	"Dicentra_canadensis"	"Apis_mellifera"	"Andrena_carlini"	"Andrena_irgeniae"	"Bombus_griseocollis"	"Andrena_forbesii"	"Andrena_mansonii"	"Andrena_rugosa"	"Helophilus_fasciatus"	"Melanostoma_sp1_M_PL_032"	"Metasyrphus_americanus"	"Syrphus_torvus"	"Andrena_cressoni"	"Andrena_miserabilis"	"Eristalis_dimidiatus"	"Syrphus_sp1_M_PL_032"	"Andrena_erythronii"	"Andrena_personata"	"Andrena_sp1_M_PL_032"	"Augochlora_pura"	"Augochlorella_striata"	"Carposcalis_obscura"	"Ceratina_metallica"	"Dialictus_coeruleus"	"Dialictus_imitatus"	"Dialictus_oblongus"	"Dialictus_obscurus"	"Dialictus_zephyrus"	"Erylaeus_macroupinensis"	"Halictus_confusus"	"Lasioglossum_forbesii"	"Mesograpta_marginata"	"Nomada_luteola"	"Xylota_nemorum"
"Claytonia_virginica"	0	0	0	0	0	0	0	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0.0391304347826087	0	0	0.0391304347826087	0	0	0.0391304347826087	0.0391304347826087	0.0391304347826087	0	0	0.0391304347826087	0	0	0	0.0391304347826087	0.0391304347826087	0.0391304347826087	0
"Isopyrum_biternatum"	0	0	0	0	0	0	0	0.045	0.045	0.045	0	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0.045	0	0	0	0.045	0	0.045	0.045	0	0	0	0.045	0.045	0	0.045	0.045	0	0	0	0	0.045
"Dentaria_laciniata"	0	0	0	0	0	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0	0.0818181818181818	0.0818181818181818	0.0818181818181818	0	0.0818181818181818	0	0	0.0818181818181818	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0	0
"Erythronium_albidum"	0	0	0	0	0	0	0	0.15	0.15	0.15	0	0.15	0.15	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dicentra_cucullaria"	0	0	0	0	0	0	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sanguinaria_canadensis"	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dicentra_canadensis"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.15	0.15	0.15	0.15	0.15	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_carlini"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_irgeniae"	0.225	0.225	0.225	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bombus_griseocollis"	0.225	0	0.225	0	0.225	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_forbesii"	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_mansonii"	0.3	0.3	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_rugosa"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Helophilus_fasciatus"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanostoma_sp1_M_PL_032"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Metasyrphus_americanus"	0.3	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syrphus_torvus"	0.3	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_cressoni"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Andrena_miserabilis"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalis_dimidiatus"	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syrphus_sp1_M_PL_032"	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
