"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	0	0	0	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429	0.128571428571429
"Clethrionomys_rufocanus"	0	0	0	0.225	0.225	0	0.225	0	0.225	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0.9	0
"Megabothris_advenarius"	0.45	0.45	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.45	0.45	0	0	0	0	0	0	0	0
"Stenoponia_montana"	0.9	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.45	0.45	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.9	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.3	0.3	0.3	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.9	0	0	0	0	0	0	0	0	0
