"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"
"R1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0.3
"R2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"R13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.45
"R14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"R15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"R16"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"R17"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
"C1"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C2"	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0.075	0	0.075	0	0	0	0	0	0	0
"C3"	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0.0529411764705882	0	0	0
