"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Soulamea_terminaloides"	"Apis_mellifera"	"Unidentified_sp2_M_PL_084"	"Rhiparida_seychellensis"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_084"	"Unidentified_sp1_M_PL_084"	"Scaptodrosophila_sp1_M_PL_084"	"Xylocopa_caffra"	"Geron_seychellarum"	"Phelsuma_sp1_M_PL_084"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_084"
"Nephrosperma_vanhoutteanum"	1.281355874908	0.0344039368756543	0.0087820575708907	0.0032967989920446	0.00549466498674101	0.0991942456299703	0.241765259416604	0.157147418620793	0.00540633293760281	0.0967061037666417	0.027473324933705	0.0010989329973482	0.00111877463900154	0.0120882629708302	0.0120882629708302	0.000491484812509347	0.0120882629708302
"Paragenipa_wrightii"	0.0520973901259908	1.24053213813163	0.0403463615757056	0.000134041312502549	0.000223402187504249	0.410613220632809	0.00982969625018694	0.00638930256262151	0.194940764563542	0.00393187850007477	0.00111701093752124	4.46804375008497e-05	0.020603770657288	0.000491484812509347	0.000491484812509347	0.0177218876875947	0.000491484812509347
"Memecylon_eleagni"	0.0664927216081724	0.201731807878528	1.06465259306373	0.00017107904358878	0.000285131739314633	0.524072136860295	0.0125457965298439	0.0081547677443985	0.0317007126666258	0.00501831861193754	0.00142565869657317	5.70263478629266e-05	0.0789284967599597	0.000627289826492193	0.000627289826492193	0.00288188296969326	0.000627289826492193
"Mimusops_sechellarum"	0.0582434488594547	0.00156381531252974	0.000399184435040486	1.22742258177237	0.0457043029539428	0.00450882934681683	0.010989329973482	0.00714306448276331	0.000245742406254673	0.00439573198939281	0.228521514769714	0.409140860590789	5.08533926818882e-05	0.000549466498674101	0.000549466498674101	2.23402187504249e-05	0.000549466498674101
"Soulamea_terminaloides"	0.145608622148637	0.00390953828132435	0.000997961087601215	0.0685564544309142	1.11426075738486	0.0112720733670421	0.027473324933705	0.0178576612069083	0.000614356015636683	0.010989329973482	0.571303786924285	0.0228521514769714	0.00012713348170472	0.00137366624668525	0.00137366624668525	5.58505468760622e-05	0.00137366624668525
"Apis_mellifera"	0.150208429096812	0.410613220632809	0.104814427372059	0.000386471086870014	0.00064411847811669	1.18388976277848	0.0283412130371344	0.0184217884741373	0.0645249346708699	0.0113364852148537	0.00322059239058345	0.000128823695623338	0.0133526479641872	0.00141706065185672	0.00141706065185672	0.00586590315189727	0.00141706065185672
"Unidentified_sp2_M_PL_084"	0.640677937454001	0.0172019684378271	0.00439102878544535	0.0016483994960223	0.0027473324933705	0.0495971228149851	1.1208826297083	0.0785737093103964	0.00270316646880141	0.0483530518833209	0.0137366624668525	0.000549466498674101	0.00055938731950077	0.00604413148541511	0.00604413148541511	0.000245742406254673	0.00604413148541511
"Rhiparida_seychellensis"	0.640677937454001	0.0172019684378271	0.00439102878544535	0.0016483994960223	0.0027473324933705	0.0495971228149851	0.120882629708302	1.0785737093104	0.00270316646880141	0.0483530518833209	0.0137366624668525	0.000549466498674101	0.00055938731950077	0.00604413148541511	0.00604413148541511	0.000245742406254673	0.00604413148541511
"Lasioglossum_mahense"	0.0260486950629954	0.620266069065815	0.0201731807878528	6.70206562512746e-05	0.000111701093752124	0.205306610316404	0.00491484812509347	0.00319465128131075	1.09747038228177	0.00196593925003739	0.000558505468760621	2.23402187504248e-05	0.010301885328644	0.000245742406254673	0.000245742406254673	0.00886094384379736	0.000245742406254673
"Lygistorrhina_sp1_M_PL_084"	0.640677937454001	0.0172019684378271	0.00439102878544535	0.0016483994960223	0.0027473324933705	0.0495971228149851	0.120882629708302	0.0785737093103964	0.00270316646880141	1.04835305188332	0.0137366624668525	0.000549466498674101	0.00055938731950077	0.00604413148541511	0.00604413148541511	0.000245742406254673	0.00604413148541511
