"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Allomerus_septemarticulatus"	"Pheidole_sp2"
"Cordia_nodosa"	1.33333333333333	0	0	0	0	0.533333333333333	0	0	0	0	0.133333333333333
"Hirtella_myrmecophila"	0	1.30353817504655	0	0	0.0297951582867784	0	0.536312849162011	0	0	0.130353817504655	0
"Maieta_guianensis"	0	0	1.33333333333333	0	0	0	0	0.666666666666667	0	0	0
"Myrcia_madida"	0	0	0	1.33333333333333	0	0	0	0	0.666666666666667	0	0
"Hirtella_physophora"	0	0.297951582867784	0	0	1.03538175046555	0	0.636871508379888	0	0	0.0297951582867784	0
"Azteca_r.am.1"	0.666666666666667	0	0	0	0	1.26666666666667	0	0	0	0	0.0666666666666667
"Allomerus_octoarticulatus"	0	0.595903165735568	0	0	0.0707635009310987	0	1.27374301675978	0	0	0.0595903165735568	0
"Pheidole_minutula"	0	0	0.666666666666667	0	0	0	0	1.33333333333333	0	0	0
"Myrcidris_sp."	0	0	0	0.666666666666667	0	0	0	0	1.33333333333333	0	0
"Allomerus_septemarticulatus"	0	0.651769087523277	0	0	0.0148975791433892	0	0.268156424581006	0	0	1.06517690875233	0
"Pheidole_sp2"	0.666666666666667	0	0	0	0	0.266666666666667	0	0	0	0	1.06666666666667
