"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	1.29432996074601	0.0377121997360538	0.00129117285126639	0.336229852594359	0.164341022650748	0.104864695893774	0.020526582567858	0.0239690733471484	0.00774703710759835	0.00898840250518065
"Clethrionomys_rufocanus"	0.23958338655846	1.08773153110194	0.00601841567293047	0.25295765212043	0.189353851426916	0.0194106910406159	0.162733475142643	0.00443672938071222	0.0361104940375828	0.00166377351776708
"Microtus_oeconomus"	0.13944666793677	0.102313066439818	1.09157359895675	0.0535625004286172	0.0321540794616058	0.0112977624485809	0.0166600052464092	0.00258234570253278	0.549441593740471	0.000968379638449793
"Megabothris_advenarius"	0.595292198035914	0.0704963948532346	0.000878073777518314	1.16401957217551	0.0834006504455136	0.0482296919705023	0.0172570728859676	0.0110239295932577	0.00526844266510988	0.00413397359747162
"Amalaraeus_penicilliger"	0.563454934802566	0.102190967436748	0.00102076442735257	0.161506021497661	1.08415565646634	0.0456502840696523	0.0215495525993881	0.010434350644492	0.0061245865641154	0.00391288149168448
"Stenoponia_montana"	0.647164980373006	0.0188560998680269	0.000645586425633196	0.168114926297179	0.0821705113253742	1.05243234794689	0.010263291283929	0.0119845366735742	0.00387351855379917	0.00449420125259032
"Catallagia_dacenkoi"	0.295582788977155	0.368862543656657	0.00222133403285455	0.140357526139203	0.09050812091743	0.023947679662501	1.05766558880886	0.0054737553514288	0.0133280041971273	0.0020526582567858
"Hystrichopsylla_microti"	0.647164980373007	0.0188560998680269	0.000645586425633196	0.168114926297179	0.0821705113253742	0.0524323479468871	0.010263291283929	1.01198453667357	0.00387351855379917	0.00449420125259032
"Amphipsylla_marikovskii"	0.278893335873541	0.204626132879636	0.18314719791349	0.107125000857234	0.0643081589232117	0.0225955248971619	0.0333200104928183	0.00516469140506557	1.09888318748094	0.00193675927689959
"Rhadinopsylla_integella"	0.647164980373006	0.0188560998680269	0.000645586425633196	0.168114926297179	0.0821705113253742	0.0524323479468871	0.010263291283929	0.0119845366735742	0.00387351855379917	1.00449420125259
