"Canthium_bibracteatum"	"Nephrosperma_vanhoutteanum"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Soulamea_terminaloides"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Neophyllomyza_approximatonervis"	"Unidentified_sp7_M_PL_098"	"Ornidia_obesa"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_098"	"Forcipomyia_sp1_M_PL_098"	"Melanostoma_annulipes"	"Lygistorrhina_sp1_M_PL_098"	"Phelsuma_sp1_M_PL_098"	"Unidentified_sp2_M_PL_098"	"Unidentified_sp3_M_PL_098"	"Unidentified_sp6_M_PL_098"	"Hemipyrellia_sp1_M_PL_098"	"Unidentified_sp4_M_PL_098"	"Unidentified_sp5_M_PL_098"
"Canthium_bibracteatum"	1.15565069703616	0.103080336684757	0.0593272956931663	0.00326299798256612	0.00425873668688426	0.00775326924980084	0.333127014270439	0.218576375254981	0.055216127768988	0.00313525918423488	0.00122852108922538	0.0356682313900049	0.00390364199672578	0.0028633426856877	0.000271916498547177	0.00214750701426578	0.000709789447814044	0.00143167134284385	0.000445533556756081	0.000181277665698118	0.000445533556756081	0.00713364627800098	9.06388328490589e-05	9.06388328490589e-05
"Nephrosperma_vanhoutteanum"	0.115965378770352	1.14118110176769	0.0572245827596994	0.0110767327478467	0.00256320873883966	0.00532232854890562	0.23537000687727	0.267792479549287	0.0313344620414692	0.0326225361114231	0.00207066795875815	0.00357917835710963	0.0182340951395387	0.0316994750491025	0.000923061062320554	0.0237746062868269	0.000427201456473277	0.0158497375245512	0.000521287749010157	0.000615374041547036	0.000521287749010157	0.000715835671421925	0.000307687020773518	0.000307687020773518
"Dillenia_ferruginea"	0.133486415309624	0.114449165519399	1.07203388526114	0.00353932489383827	0.00303643816951321	0.00678810417982083	0.308837993125962	0.253816669642457	0.0391158916219779	0.00347408722780315	0.00117038331990407	0.00411995108980321	0.0462576502958724	0.00317914348664997	0.000294943741153189	0.00238435761498747	0.000506073028252201	0.00158957174332498	0.000351351094510497	0.000196629160768793	0.000351351094510497	0.000823990217960643	9.83145803843963e-05	9.83145803843963e-05
"Roscheria_melanochaetes"	0.0146834909215475	0.0443069309913866	0.00707864978767653	1.23229317381301	0.0200622092185869	0.0149088786011284	0.0173353309250982	0.0471939903419129	0.00658875144957675	0.103921845900845	0.172642717556364	0.000453194164245294	0.000910317782700225	0.00123074808309407	0.102691097817751	0.000923061062320554	0.00334370153643115	0.000615374041547036	0.0359022167074658	0.0684607318785004	0.0359022167074658	9.06388328490589e-05	0.0342303659392502	0.0342303659392502
"Soulamea_terminaloides"	0.0574929452729376	0.0307585048660759	0.0182186290170792	0.0601866276557607	1.15886440446923	0.00781222205224616	0.0266772832375918	0.0208496466346627	0.197556427897075	0.00586995521759328	0.0091404760463025	0.00177447361953511	0.00118631099885158	0.000854402912946554	0.00501555230464673	0.000640802184709915	0.193144067411539	0.000427201456473277	0.098243884473985	0.00334370153643115	0.098243884473985	0.000354894723907022	0.00167185076821558	0.00167185076821558
"Excoecaria_benthiamiana"	0.125602961846774	0.0766415311042409	0.04887435009471	0.0536719629640622	0.0093746664626954	1.01916786086085	0.362627454730488	0.0471197194080611	0.111860838372031	0.00660159499990077	0.109371225386649	0.00387663462490042	0.00310089696372737	0.00212893141956225	0.00447266358033852	0.00159669856467169	0.00156244441044923	0.00106446570978112	0.00227211006533746	0.00298177572022568	0.00227211006533746	0.000775326924980084	0.00149088786011284	0.00149088786011284
"Apis_mellifera"	0.313759164603553	0.197053959246086	0.12928102037831	0.00362832507734613	0.00186120580727385	0.0210829915540981	1.15103687797527	0.116648080302547	0.0236724251626888	0.00577608151328125	0.00261223319393011	0.00968392483344298	0.0081235697275141	0.00547372109016907	0.000302360423112177	0.0041052908176268	0.000310200967878975	0.00273686054508453	0.000255887291643546	0.000201573615408118	0.000255887291643546	0.0019367849666886	0.000100786807704059	0.000100786807704059
"Lasioglossum_mahense"	0.249361780220472	0.271564204613362	0.128695776156739	0.0119646736078089	0.00176194196912643	0.00331829009915923	0.141292040929845	1.12195343315806	0.0206328480098242	0.00854050626213301	0.00199358923322271	0.00769635124137258	0.00913404907060525	0.00754345012814894	0.000997056133984074	0.0056575875961117	0.000293656994854404	0.00377172506407447	0.00047918054208856	0.000664704089322716	0.00047918054208856	0.00153927024827452	0.000332352044661358	0.000332352044661358
"Hemipyrellia_germana"	0.298167089952536	0.150405417799052	0.0938781398927469	0.0079065017394921	0.0790225711588299	0.0372869461240103	0.135721904266082	0.097662147246501	1.03552405859725	0.00483680341715356	0.00482681985399715	0.00920268796149801	0.00600055329829573	0.00417792827219589	0.000658875144957675	0.00313344620414692	0.0131704285264717	0.00208896413609794	0.00680483931155505	0.00043925009663845	0.00680483931155505	0.0018405375922996	0.000219625048319225	0.000219625048319225
"Neophyllomyza_approximatonervis"	0.0362794277032893	0.335546085717494	0.0178667343144162	0.267227603745029	0.00503139018650853	0.00471542499992912	0.0709632871631696	0.0866251349444919	0.0103645787510434	1.03158969158202	0.0375864874645803	0.00111973542294103	0.00540480956473254	0.00932072460326374	0.0222689669787524	0.0069905434524478	0.000838565031084754	0.00466036230163186	0.00784227150845986	0.014845977985835	0.00784227150845986	0.000223947084588206	0.00742298899291748	0.00742298899291748
"Unidentified_sp7_M_PL_098"	0.0165850347045426	0.0248480155050978	0.00702229991942439	0.517928152669092	0.0091404760463025	0.0911426878222078	0.0374420091129982	0.0235908059264688	0.0120670496349929	0.0438509020420103	1.08104873443071	0.000511883787177241	0.000637707156435708	0.000690222652919385	0.043160679389091	0.000517666989689538	0.00152341267438375	0.000345111326459692	0.0151485994668889	0.028773786259394	0.0151485994668889	0.000102376757435448	0.014386893129697	0.014386893129697
"Ornidia_obesa"	0.577825348518079	0.0515401683423786	0.0296636478465831	0.00163149899128306	0.00212936834344213	0.00387663462490042	0.166563507135219	0.109288187627491	0.027608063884494	0.00156762959211744	0.000614260544612689	1.017834115695	0.00195182099836289	0.00143167134284385	0.000135958249273588	0.00107375350713289	0.000354894723907022	0.000715835671421925	0.00022276677837804	9.06388328490589e-05	0.00022276677837804	0.00356682313900049	4.53194164245294e-05	4.53194164245294e-05
"Rhiparida_seychellensis"	0.0632390003469576	0.262570970009358	0.333055082130281	0.00327714401772081	0.00142357319862189	0.00310089696372737	0.139725399313242	0.129703496802595	0.0180016598948872	0.00756673339062556	0.00076524858772285	0.00195182099836289	1.01752411411667	0.00729363805581549	0.000273095334810068	0.00547022854186162	0.000237262199770316	0.00364681902790774	0.00020966287815518	0.000182063556540045	0.00020966287815518	0.000390364199672578	9.10317782700225e-05	9.10317782700225e-05
