"Clethrionomys_glareolus"	"Sorex_araneus"	"Apodemus_flavicollis"	"Microtus_arvalis"	"Apodemus_uralensis"	"Spermophilus_pygmaeus"	"Talpa_europaea"	"Spermophilus_major"	"Sorex_minutus"	"Arvicola_terrestris"	"Sicista_betulina"	"Apodemus_agrarius"	"Clethrionomys_rutilus"	"Sciurus_vulgaris"	"Microtus_agrestis"	"Neomys_fodiens"	"Microtus_oeconomus"	"Allactaga_major"	"Tamias_sibiricus"	"Marmota_bobak"	"Dryomys_nitedula"	"Allocricetulus_eversmanni"	"Cricetulus_migratorius"	"Cricetus_cricetus"	"Sicista_subtilis"	"Spermophilus_suslicus"	"Myoxus_glis"	"Stenoponia_suknevi"	"Rostropsylla_daca"	"Rhadinopsylla_li"	"Xenopsylla_nubica"	"Wagnerina_tuvensis"	"Stenoponia_vlasovi"	"Tarsopsylla_octodecimdentata"	"Wagnerina_schelkovnikovi"	"Stenoponia_tripectinata"	"Xenopsylla_hirtipes"	"Rhadinopsylla_socia"	"Xenopsylla_skrjabini"	"Xenopsylla_cheopis"	"Rhadinopsylla_pentacantha"	"Xenopsylla_nuttalli"	"Xenopsylla_persica"	"Xenopsylla_conformis"	"Xenopsylla_magdalinae"	"Wagnerina_longicauda"	"Peromyscopsylla_tikhomirovae"	"Stenoponia_montana"	"Rhadinopsylla_rothschildi"	"Stenoponia_conspecta"	"Frontopsylla_semura"	"Stenoponia_ivanovi"	"Stenoponia_sidimi"	"Echidnophaga_oschanini"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_gerbilli"	"Rhadinopsylla_ucrainica"	"Megabothris_asio"	"Megabothris_calcarifer"	"Synosternus_longispinus"	"Amphipsylla_georgica"	"Neopsylla_mana"
"Clethrionomys_glareolus"	1.21884554780521	0.0213848308142544	0.0289848316260593	0.0248416137462737	0.0156773310327057	6.14843659577898e-06	0.00514951140229967	8.68565084759563e-06	0.0022324647532244	0.00372939151463897	0.00347395472398201	0.00231429420276251	0.0031960509186	5.1404184805297e-05	0.00185807659855399	0.00041956728916295	0.000820549526916267	0	5.55775794925458e-05	7.7726221898847e-08	7.29274405061163e-05	5.34883221503482e-05	7.99785578825078e-05	2.46456150260012e-05	3.41538286581591e-05	1.2152749790773e-05	6.07728670884303e-06	0.259841712462998	0.0877963250014265	0.13218974843512	0.0184393103790189	0.0606978501830068	0.00919741966180848	0.0161482267247932	0.0230021165814585	0.0113396159260844	3.68786633465686e-06	2.20391614800989e-06	0.0147490305777878	0.00199119420947533	0.00377181881639562	0.010767736206137	0.00999136994801313	1.0065513893463e-06	0.000935511904497354	0.00323049941302058	2.38036423956347e-05	4.53975293238418e-07	0.000632037817719674	0.000395196999872925	0	0.000225355074770918	1.24324458422276e-05	0.000520837482414675	2.02100289063803e-05	0.000136869955409711	9.24173828459792e-05	0.00018467231939828	0.000304635228144267	1.40863418047798e-05	7.27077798931889e-06	2.42894443433897e-09
"Sorex_araneus"	0.0591706141686252	1.20551392242336	0.00799901190869546	0.010989923798106	0.00572909756021867	5.12163325112191e-06	0.00589459551550825	1.92415296570939e-05	0.0256142694908431	0.00128895551225178	0.00283160839376833	0.000695429022360499	0.00112570190721376	1.06814121237594e-05	0.000867304754989824	0.00498408601505426	0.000440140907922218	0	1.65514043123174e-05	1.55074977112931e-07	1.51537866056482e-05	2.86133504631834e-05	2.36749933638164e-05	4.24561436761668e-05	2.01640868549672e-05	5.59572358423158e-06	1.26281555047068e-06	0.040303113072431	0.0233659252411345	0.0121704743619336	0.301145615592354	0.0115007665622425	0.195776903541715	0.0615273107543752	0.00290205925271459	0.00388918968947781	7.35782305470512e-06	2.98092766007924e-06	0.00186805159338713	0.000674731128946874	0.00185140998022503	0.00276675600283457	0.00241823104784191	1.20891898879188e-06	0.00114983984422707	0.000696992766136137	4.94622209139996e-06	5.71812013101557e-07	0.000131332817248951	0.000997464901057828	0	0.000541120234588628	6.71088529145941e-06	4.4427023548165e-05	6.01869247720633e-06	0.000346501580630028	0.000525839202458797	2.04327691653941e-05	1.47889563030805e-05	5.43634989550728e-06	2.15227212398331e-06	4.8460930347791e-09
"Apodemus_flavicollis"	0.179101639128746	0.0178634304555577	1.05271485933992	0.0285191556012424	0.0255765796042756	7.66638297091532e-06	0.00940478353878383	7.08687570796946e-06	0.00170623427104708	0.00358804697386784	0.00419722377418679	0.0040483755890755	0.00250447481465677	0.000242138401400417	0.0018691900523816	0.000407071318899246	0.000818207250291834	0	0.000126085103917201	6.8754483153144e-08	0.000343523274014753	7.16638680412246e-05	0.000101811994222298	1.70506435239902e-05	5.46974312538225e-05	1.364195136026e-05	2.86269395012294e-05	0.163642030323764	0.266454260800015	0.03759282583432	0.0123784122380631	0.108887944084959	0.00433329955537297	0.0147536069181325	0.008714206493606	0.0118316499604218	3.26218536785683e-06	2.39103891003974e-06	0.00666294417182181	0.00129074780813713	0.00361977463517423	0.0048930967900784	0.00302006419978023	1.13955622003668e-06	0.00151305153701799	0.00995318916568608	0.000112126589284852	5.05681355327839e-07	0.00297720170812786	0.00235663252470426	0	0.000212396268986221	1.66382723348584e-05	0.00113027677524207	4.5849128697164e-05	9.81799976613117e-05	2.59679961412178e-05	6.75375673047015e-05	4.47642187275047e-05	2.14348568353262e-05	9.2556358383907e-06	2.14857759853575e-09
"Microtus_arvalis"	0.168388473695622	0.0269232186566052	0.0312853083469791	1.05270733709656	0.0167165476293009	1.27395871274303e-05	0.00830180871816347	7.72667881559235e-06	0.00253523010258471	0.0100064020029982	0.00342429402416673	0.00303442992424623	0.0025087454961968	0.000486021376235402	0.0021958973820827	0.000765031694146651	0.00219444371585992	0	0.000331648584168535	8.37833345616617e-08	0.00068952158534096	0.000124464742557449	0.000257208583977067	3.78640025805685e-05	0.000166947533219146	0.000174478258355841	5.74601321117467e-05	0.170717204465076	0.121021655911651	0.0585372772502513	0.0218491822525615	0.0572946688696151	0.00754558446090251	0.0388090881774313	0.0239250892953508	0.047823092486745	3.97525740203035e-06	3.58705412535403e-06	0.00561991925530653	0.00618362759702181	0.0701945404493685	0.00731229348812552	0.013760737217219	1.76869158307259e-06	0.00133849692680256	0.00200827975734682	0.000225061035018098	7.74993164676151e-07	0.00597585373962165	0.00400340023441964	0	0.000192308550123809	2.88782061756431e-05	0.00122060281858675	0.000120599485152195	8.47286891300438e-05	3.59938406388845e-05	0.0007075243198365	4.20865967747118e-05	5.54000773650708e-05	2.33825985433698e-05	2.61822920505193e-09
"Apodemus_uralensis"	0.176814662330812	0.0233524314928152	0.0466831156977265	0.027813790664397	1.02512505834021	4.24447972515994e-05	0.00913527304598586	0.000167317944240813	0.00247247921232268	0.00430466110033606	0.00404293518651568	0.00495042235338051	0.00245257886417816	0.000530237908822231	0.00174722368597891	0.000694885871368085	0.000893535870586013	0	0.000255238600846799	1.3442695787768e-06	0.000752251858407763	0.000226696974701935	0.000142703066899602	0.000357212690610062	0.000113423786260477	0.000198720064234605	6.26876548673136e-05	0.168568767086293	0.204981042956583	0.0461221170889843	0.0232424539980809	0.117006419938702	0.00919716937822511	0.0135909888850864	0.0100214884476482	0.0195161107808538	6.37813906705254e-05	2.54532996904255e-05	0.00643242326057465	0.00298032924540512	0.00248788838541136	0.00398116750980627	0.00308426362525055	1.02611596608831e-05	0.00147099660333378	0.0153335889742212	0.000245536304369385	4.86552803135602e-06	0.00651951610620061	0.00625375677360983	0	0.000208651384441827	5.32301380042654e-05	0.000161342302161739	9.28140366715634e-05	0.00302371415517875	3.38036797792547e-05	0.00112340878859737	4.4192617428346e-05	0.000772107823204676	1.2973006081782e-05	4.20084243367749e-08
"Spermophilus_pygmaeus"	9.8498077356203e-05	2.96531799043935e-05	1.9875807702373e-05	3.01082734813443e-05	6.02894567567764e-05	1.22312299350088	7.57000616320876e-06	0.105338179661447	1.50515104790406e-06	1.29060110606178e-05	2.37179079497066e-06	4.02728140992274e-06	1.11407166014685e-06	5.25456083156731e-08	6.95877903698577e-07	6.30268589315769e-07	2.27427004586811e-06	0	5.30151181370399e-07	0.00325536934643442	7.45467852240711e-08	0.00131408252061895	8.13346189632903e-07	2.92680037486829e-05	4.25907229713146e-07	1.80671021276172e-08	6.21223210200593e-09	3.54741971723241e-05	2.63951103785239e-05	1.39333843202739e-05	1.02700586402402e-05	0.000115588765824495	5.88564168835658e-06	4.9528386457577e-06	3.04101983097525e-06	0.000156626939222581	0.154457102459105	0.283687908682302	1.64009501417627e-06	1.05016683401881e-05	2.76013006733536e-06	1.93764355226698e-06	1.44349662211836e-06	0.150171947314123	1.2162316632252e-06	1.88787445205507e-06	2.43321993052691e-08	0.064140717280693	6.46072138608617e-07	7.83130753295488e-07	0	1.71961834260711e-07	0.0134543756561173	1.0470424960339e-07	1.92782247771054e-07	0.000257136448141863	2.97236447863257e-08	9.5168618378481e-08	2.46183647478638e-08	4.70040600680399e-08	7.39405626939002e-08	0.000101730292076076
"Talpa_europaea"	0.0976454745052179	0.0403961379877958	0.0288606509069314	0.0232234246250995	0.0153589484031445	8.96023241356108e-06	1.10934176858824	5.99305321557151e-06	0.00377867661316916	0.0038426774396049	0.00282343136408571	0.00187307287724342	0.00148133463552765	2.66417592671368e-05	0.00105711758271238	0.00190050332374156	0.000841669594332436	0	0.000134982523802171	6.31304765451206e-08	3.77968315476949e-05	8.67990479559633e-05	0.000192987512445786	1.38649695213347e-05	0.000389561174538693	7.64491533883323e-06	3.14973596230791e-06	0.0856890818876609	0.162029136357748	0.0151900819359714	0.032175702594918	0.0122803161073483	0.0254999240872697	0.051269559170424	0.00462649494066199	0.0384109321121272	2.99534382932677e-06	2.57618404859198e-06	0.00409826735241431	0.00128419782069472	0.0019495279350181	0.00136996413956475	0.0012861067556658	1.26122308686824e-06	0.17614385764626	0.000980456195241647	1.23369510242707e-05	5.54091431012239e-07	0.000327572540080023	0.0292735173051176	0	0.0223676819006334	2.01415369537174e-05	9.68284243718389e-05	4.90845541098804e-05	7.04092622803773e-05	6.02210313167056e-05	4.31927078801224e-05	2.44052673094771e-05	1.27350120645494e-05	1.75443193132532e-05	1.97282739203502e-09
"Spermophilus_major"	0.000194958143288808	0.000156091174665682	2.57433493459199e-05	2.5585818630594e-05	0.00033299321581727	0.147591643031958	7.09416116962462e-06	1.17505544333191	4.42526290244956e-06	2.86338844951656e-05	2.82143188075504e-06	3.50213452442849e-06	1.59825511157675e-06	1.8619940458705e-07	1.07302041278228e-06	1.07102621282449e-06	1.48551603231397e-06	0	3.12771537668524e-07	0.00913762490200359	2.64162267172013e-07	0.000561246878783271	4.04694987122402e-07	0.000198814890129886	2.23882204957024e-07	7.01801316867625e-08	2.20135222643344e-08	9.02670522138442e-05	8.26670729701899e-05	3.15753302438315e-05	4.64326222120815e-05	9.03852825304422e-05	2.78625216405795e-05	1.45314744908347e-05	6.46961439304923e-06	7.5225882299268e-05	0.433551746522252	0.145086750772656	3.96400139435185e-06	5.3167373866096e-05	3.11449576029599e-06	4.18648898660434e-06	2.65865780758125e-06	0.0539856960907093	1.17158364209687e-06	5.71211565852027e-06	8.62230197377534e-08	0.0264872156536477	2.28940631549078e-06	2.3472265757758e-06	0	2.15138064867177e-07	0.00497687022592887	1.39563644014751e-07	1.13735104606736e-07	0.00174743462725248	8.87825880746383e-08	3.92620247236744e-07	4.87273539837062e-08	2.52212556401091e-07	3.67904533747638e-08	0.000285550778187612
"Sorex_minutus"	0.0522344530856774	0.216597857799761	0.00646074088013439	0.00875099162602705	0.00512930994486241	2.19831271470198e-06	0.00466257757531399	4.61288369802125e-06	1.0280258308055	0.000818976163639587	0.00270909335001249	0.000472005608112257	0.000882604875383337	8.94881858019455e-06	0.000752635939211393	0.00533429824958737	0.000379279350698254	0	1.85395398654798e-05	3.9131159805363e-08	1.26957452409578e-05	1.71226505255423e-05	2.69336237846838e-05	1.04677887484186e-05	1.69011184057442e-05	3.16048792058719e-06	1.05797877007982e-06	0.0363828554125106	0.0175777163549206	0.0101804542326987	0.358380567753943	0.00985742226468556	0.187799815232844	0.0309742039136504	0.00306032323498803	0.00469015093256727	1.85665124789008e-06	9.31753123644922e-07	0.000907566768825948	0.000348180173750064	0.000899902520775135	0.000949961002404012	0.00241677865683876	4.06394604681838e-07	0.000782610574247583	0.000366232919264319	4.14391314935145e-06	1.8662752459251e-07	0.000110029792088301	0.000446489791346219	0	0.000173705758092688	3.98742564461487e-06	3.70439819115311e-05	6.74165086017446e-06	7.81257394837982e-05	0.000190855804078233	1.75094933900729e-05	1.30553494340608e-05	4.40485767067704e-06	2.44851125315307e-06	1.22284874391759e-09
"Arvicola_terrestris"	0.0881612729693974	0.0110122875670078	0.01372679713784	0.0348967727165121	0.00902262053379153	1.90444683154464e-05	0.00479057571495795	3.01565135082024e-05	0.000827444159423157	1.15926582032841	0.00129979547391814	0.00291067989679005	0.00128006794496098	2.60054793767378e-05	0.000917018475410064	0.000329922411650889	0.00222039698972981	0	0.000220922417615471	2.6522784489222e-07	3.68941372626271e-05	0.000161357755748645	0.000323359582490502	0.0015864777226133	0.000176648883081055	8.76543142407151e-05	3.07451143855226e-06	0.0383296833081029	0.0566184869535094	0.0285123047471084	0.00461689895150884	0.0150525578167572	0.00249800685953598	0.0135824172567894	0.00597273594406976	0.0648141258086505	1.25842324031206e-05	7.13677639249533e-06	0.00129038298579622	0.335320430052302	0.0352162177440576	0.0567383796278682	0.00472931039157507	3.21811932964222e-06	0.000770756011360807	0.000935160470259583	1.20423100522962e-05	1.45863550337653e-06	0.000319749189609435	0.000365206548280012	0	0.000108563537326064	3.75211627578851e-05	9.53307913779769e-05	8.03354245874441e-05	0.000486941016256129	1.62867391206149e-05	4.27258163726429e-05	2.20348095399644e-05	2.82720144543236e-05	2.93963256809548e-05	8.28837015288188e-09
