"Fuchsia_regia"	"Justicia_brasiliana"	"Hippeastrum_aulicum"	"Heliconia_farinosa"	"Nematanthus_australis"	"Psychotria_suterella"	"Nidularium_inocentii"	"Ipomea_sp1_M_PL_069_01"	"Sinningia_douglasii"	"Vriesea_vagans"	"Aechmea_blumenavii"	"Billbergia_amoena"	"Justicia_carnea"	"Tillandsia_sp1_M_PL_069_01"	"Vriesea_carinata"	"Hedychium_coronarium"	"Vriesea_erythrodactylon"	"Vriesea_incurvata"	"Clytolaema_rubricauda"	"Thalurania_glaucopis"	"Phaethornis_eurynome"	"Amazilia_fimbriata"	"Amazilia_versicolor"	"Ramphodon_naevius"
"Fuchsia_regia"	1.26292347975074	0.000447096556271518	0.00167498034734226	0.0162144895777887	0.0194618381380985	0.0157170350964299	0.000107051288121349	0.00363627492847569	0.00033561022455886	0.00652943597611051	0.00053523728893105	3.7782807572241e-05	0.00197092652164912	0.00245578673381718	1.88914037861205e-05	4.84836657130092e-05	0.00111529118704153	0.000103641840890643	0.488497539924191	0.174852015447783	0.00176319768670458	0.0009938952472865	0.000145450997139028	0.000414567363562572
"Justicia_brasiliana"	0.00170652347534622	1.16626645412976	0.0750017421189244	0.00305401683569489	0.000571159335654986	0.000690652888837598	0.0398102777493791	0.000596812680087803	0.0055039616485768	9.45008671858467e-05	0.016414050211344	0.0140506862644867	0.00242811265518582	0.000107914513880875	0.00702534313224337	7.9575024011707e-06	1.66731057907306e-06	1.50001376485471e-06	0.000730282033634001	0.00768351338831827	0.655698692342714	0.0025243063397371	2.38725072035121e-05	6.00005505941884e-06
"Hippeastrum_aulicum"	0.0129691335465643	0.152146391155532	1.06906509467012	0.00755571326434573	0.00434066205797355	0.00524878191191483	0.0364294176006204	0.00161391689755514	0.00513078859371295	0.000718181955598788	0.0151643728585322	0.0128574415061013	0.00279900465667291	0.000820122173736693	0.00642872075305067	2.15188919674018e-05	1.26711257571251e-05	1.13997135809331e-05	0.00554995308162079	0.0583926987700525	0.600013936951395	0.00259992233337181	6.45566759022055e-05	4.55988543237325e-05
"Heliconia_farinosa"	0.129239019870022	0.00637750574512758	0.00777794012506178	1.05402910874836	0.0432552342795564	0.052304760944271	0.00152700841784745	0.0121140222014091	0.00127832558614787	0.00715677201539121	0.0022632919515633	0.00053894414747557	0.00662791914261314	0.00817261889754234	0.000269472073737785	0.000161520296018788	0.000126269335389368	0.00011359955579986	0.0553059689005432	0.581890465505015	0.0251507268821933	0.00338054626765953	0.000484560888056364	0.000454398223199442
"Nematanthus_australis"	0.164817441732022	0.0012672597759845	0.00474759912590857	0.0459586864220287	1.03842020207717	0.0445486910960383	0.000303428397066712	0.0103067332696692	0.000951260599140656	0.00716524751564502	0.00151708770142572	0.00010709237543531	0.005586435116244	0.00696073298375598	5.3546187717655e-05	0.000137423110262255	0.000370731760272579	0.000113734087549921	0.16238051099939	0.495604188443426	0.00499764418698113	0.00281711735588375	0.000412269330786766	0.000454936350199684
"Psychotria_suterella"	0.133103640972891	0.00153238609710842	0.00574085521615685	0.0555738085032879	0.0445486910960382	1.05386882482474	0.000366909347194974	0.01246302855054	0.00115027600849851	0.00737078023200349	0.00183448109520631	0.00012949741665705	0.00675518600586851	0.00841700387886542	6.47487083285248e-05	0.0001661737140072	0.000130045154323013	0.000116996511619103	0.0569597775934798	0.599290676175218	0.00604321277732898	0.00340649293214203	0.000498521142021602	0.000467986046476412
"Nidularium_inocentii"	0.00170652347534622	0.16626645412976	0.0750017421189244	0.00305401683569489	0.000571159335654986	0.000690652888837598	1.03981027774938	0.000596812680087803	0.0055039616485768	9.45008671858467e-05	0.016414050211344	0.0140506862644867	0.00242811265518582	0.000107914513880875	0.00702534313224337	7.9575024011707e-06	1.66731057907306e-06	1.50001376485471e-06	0.000730282033634001	0.00768351338831827	0.655698692342714	0.0025243063397371	2.38725072035121e-05	6.00005505941884e-06
"Ipomea_sp1_M_PL_069_01"	0.0656953670411275	0.0028249133524156	0.00376580609429532	0.0274584503231939	0.0219876976419609	0.0265877942411521	0.00067638770409951	1.06345529790708	0.0939572474668846	0.00363796293761474	0.00110938115407698	0.000238725072035121	0.00336326179214986	0.00415434285018001	0.000119362536017561	0.0141794039720944	6.41858035041313e-05	5.77454434542022e-05	0.0281133819348095	0.295789210932817	0.011140503361639	0.288854376747301	0.0425382119162831	0.000230981773816809
"Sinningia_douglasii"	0.00606335805703006	0.0260520851365969	0.0119718400519969	0.00289753799526851	0.0020293559448334	0.00245392215146349	0.00623782320172038	0.0939572474668846	1.17306570648231	0.000335766019469133	0.00264520050323574	0.00220158465943072	0.000673671045504723	0.00038342533616617	0.00110079232971536	0.00125276329955846	5.92403279488617e-06	5.32961935665291e-06	0.00259472636416014	0.0272998839350313	0.1027406174401	0.530251830551273	0.00375828989867538	2.13184774266116e-05
"Vriesea_vagans"	0.19660857216955	0.00074550684113279	0.00279292982732862	0.0270366942803668	0.0254764356111823	0.0262072186026791	0.00017850163801771	0.00606327156269123	0.000559610032448556	1.02229146463467	0.000892476255811602	6.30005781238978e-05	0.00328640242168887	0.00409487790666861	3.15002890619489e-05	8.0843620835883e-05	0.000697178416084257	0.0162268486449947	0.305364146244905	0.291555306954805	0.00294002697911523	0.00165726104535566	0.000242530862507649	0.0649073945799788
"Aechmea_blumenavii"	0.0181311631625393	0.145674695625678	0.0663441312560785	0.00961899079414403	0.00606835080570289	0.00733792438082523	0.0348798566991061	0.00208008966389433	0.00495975094356702	0.00100403578778805	1.01459160407183	0.012310537658508	0.00296899682402116	0.00114655068450394	0.00615526882925401	2.77345288519244e-05	1.77145410470656e-05	1.59370759966357e-05	0.00775896897861473	0.0816344087366807	0.574491757397041	0.00263457966378772	8.32035865557733e-05	6.3748303986543e-05
"Billbergia_amoena"	0.00170652347534622	0.16626645412976	0.0750017421189244	0.00305401683569489	0.000571159335654986	0.000690652888837598	0.0398102777493791	0.000596812680087803	0.0055039616485768	9.45008671858467e-05	0.016414050211344	1.01405068626449	0.00242811265518582	0.000107914513880875	0.00702534313224337	7.9575024011707e-06	1.66731057907306e-06	1.50001376485471e-06	0.000730282033634001	0.00768351338831827	0.655698692342714	0.0025243063397371	2.38725072035121e-05	6.00005505941884e-06
"Justicia_carnea"	0.106824217473382	0.0344791997036387	0.0195930325967104	0.0450698501697693	0.0357531847439616	0.0432331904375585	0.0082555830276318	0.0100897853764496	0.00202101313651417	0.00591552435903996	0.00475039491843385	0.00291373518622299	1.00588977133573	0.00675518600586851	0.00145686759311149	0.000134530471685995	0.000104369585574225	9.38972120482534e-05	0.0457138784815107	0.480969243617838	0.135974308690406	0.00323005561366105	0.000403591415057984	0.000375588848193013
