"Canthium_bibracteatum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Ochna_kirkii"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Apis_mellifera"	"Ornidia_obesa"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_109"	"Xylocopa_caffra"	"Hemipyrellia_germana"	"Pachycerina_seychellensis"	"Dichaetomyia_fasciculifera"	"Hemipyrellia_sp1_M_PL_109"	"Lygistorrhina_sp1_M_PL_109"	"Plagiostenopterina_cyanosoma"	"Simosyrphus_aegyptius"
"Canthium_bibracteatum"	1.12058547517758	0.0620275422208249	0.0358756781631844	0.0569430800572922	0.0515432968121867	0.000562863359535616	0.00579539754272932	0.346827229261279	0.180623223415064	0.0417168391936808	0.00911867830144856	0.00467943628215449	0.00135087206288548	0.0686941772699094	0.00305831420082235	0.0015598120940515	0.00221166429180871	0.0029970042135417	0.00286351648956593	0.000965899590454887
"Psidium_cattleianum"	0.0705830652857662	1.16331979150758	0.0365931174561714	0.0242917925829104	0.0146046663538876	0.0105564409392702	0.0133844592077506	0.0360161944983112	0.417148978641561	0.0658982895101525	0.103078381759749	0.00477301532037018	0.0253354582542485	0.00507326408586571	0.00223026280634034	0.00159100510679006	0.00120118772989191	0.00127851539910055	0.000811370352993756	0.00223074320129177
"Premna_serratifolia"	0.0514737991036994	0.0461391480969118	1.16894309558573	0.0292908200346978	0.0362491372178229	0.000418685554418437	0.000818647740057288	0.138796044463198	0.0255145212317855	0.106600465935616	0.0812198525225779	0.15247083855466	0.00100484533060425	0.0285314306138796	0.051594423905098	0.0508236128515533	0.0264187269040495	0.00154162210708936	0.00201384095654572	0.000136441290009548
"Erythroxylum_sechellarum"	0.098901139046876	0.0370769465739159	0.0354573084630553	1.09683386496326	0.0610671746431701	0.000336451420815934	0.0036604482222449	0.427340955437611	0.114083969593299	0.00969433193312597	0.00720503206514013	0.00462486632126808	0.000807483409958241	0.00676481948062807	0.0304056711850698	0.00154162210708936	0.00246712146029941	0.0577280981559608	0.00339262081350945	0.000610074703707483
"Cinnamomum_verum"	0.0944960441556757	0.0235297402368189	0.0463183420005515	0.0644597954566795	1.10346978078739	0.000213518513945725	0.000846112182267517	0.450326564224667	0.0263704963473376	0.0387601922873534	0.0357011256725084	0.00604152286963714	0.000512444433469741	0.00673395345740472	0.00371015136330044	0.00201384095654571	0.0316588588334783	0.00339262081350945	0.0613038767104108	0.000141018697044586
"Ochna_kirkii"	0.00371489817293506	0.0612273574477672	0.00192595355032481	0.00127851539910055	0.000768666650204611	1.26371349689154	0.000704445221460559	0.00189558918412164	0.0219552094021874	0.00346833102685013	0.00542517798735521	0.000251211332651062	0.632912392539697	0.00026701389925609	0.000117382252965281	8.37371108836874e-05	6.32204068364163e-05	6.72902841631868e-05	4.27037027891451e-05	0.000117407536910093
"Memecylon_eleagni"	0.0637493729700226	0.129383105674923	0.00627629934043921	0.0231828387408843	0.0050766730936051	0.00117407536910093	1.10449096814436	0.0276961719980031	0.423301840499171	0.00931081264186787	0.0117040585735321	0.000818647740057288	0.00281778088584224	0.0040000396518291	0.000882957283726579	0.000272882580019096	0.000277459987054134	0.00122014940741497	0.000282037394089172	0.18408182802406
"Lasioglossum_mahense"	0.238443720117129	0.021759784176063	0.0665064379719491	0.169155794860721	0.16887246158425	0.000197457206679337	0.00173101074987519	1.18966408396006	0.0539498350377768	0.0188251435843224	0.0109041215636023	0.00867475277894988	0.00047389729603041	0.0158969266823783	0.0073430525454584	0.00289158425964996	0.00613669384049859	0.00890293657161689	0.00938180342134722	0.000288501791645865
"Apis_mellifera"	0.175310775667562	0.355803540606038	0.0172598231862078	0.063752806537432	0.013960851007414	0.00322870726502756	0.0373501623969857	0.0761644729945084	1.16408006137272	0.0256047347651366	0.0321861610772132	0.00225128128515754	0.00774889743606616	0.01100010904253	0.00242813253024809	0.000750427095052514	0.000763014964398869	0.00335541087039116	0.000775602833745223	0.00622502706616428
"Ornidia_obesa"	0.137665569339147	0.191105039579442	0.245181071651917	0.0184192306729393	0.0697683461172361	0.00173416551342507	0.00279324379256036	0.0903606892047475	0.0870560982014646	1.03731453014738	0.0344026518822482	0.0319801397806848	0.00416199723222016	0.013673391135517	0.0111447631902179	0.0106600465935616	0.00726803291114847	0.000969433193312597	0.00387601922873534	0.000465540632093393
