"Hamelia_versicolor"	"Vitex_mollis"	"Combretum_farinosum"	"Ipomoea_bracteata"	"Mirabilis_sp1_M_PL_065"	"Ipomoea_wolcottiana"	"Opuntia_excelsa"	"Nopalea_karwinskiana"	"Ceiba_aesculifolia"	"Caesalpinia_pulcherrima"	"Cordia_seleriana"	"Psittacanthus_calyculatus"	"Tillandsia_bartramii"	"Pithecellobium_mangens"	"Tillandsia_paucifolia"	"Tillandsia_dasyrifolia"	"Groton_suberosus"	"Justicia_mexicana"	"Erythrina_lanata"	"Ipomoea_quamoclit"	"Tabebuia_donnell-smithii"	"Amazilia_rutila"	"Chlorostilbon_canivetii"	"Cynanthus_latirostris"	"Heliomaster_constantii"	"Archilochus_colubris"
"Hamelia_versicolor"	1.08088446079073	0.0678143499306355	0.0439344049036301	0.0288449669672625	0.020803554738845	0.0122975510714187	0.0178505274924233	0.00777005965464142	0.0103095666777618	0.0111618955222936	0.0071313108281704	0.00236745918119364	0.00546611344507382	0.00368396469965188	0.00441552082096983	0.0039043667464813	0.00266415613289312	0.001704816590492	8.02466861086837e-05	0.000195892440991793	4.81480116652102e-05	0.336969817084551	0.199146630206182	0.109625111414903	0.0179110603394582	0.00301404762157349
"Vitex_mollis"	0.0718853535599628	1.19937271155772	0.0197238572374086	0.0039419324644248	0.0018515843097754	0.00123647908983163	0.0027679865904247	0.00083854940822109	0.00135889634987124	0.00162899546289763	0.0143768973663837	0.000327193554002405	0.000797738518867564	0.0112065557516769	0.000628378262588239	0.000569813227762546	0.000388813731885031	0.000188350311209095	7.10964737334205e-06	0.000231871142620815	4.26578842400523e-06	0.049178233398424	0.605800542653152	0.00975699291785953	0.00158687329372995	0.000344024403501717
"Combretum_farinosum"	0.0841483892207491	0.035638063647801	1.05096613402914	0.0351715593738025	0.0274875603586276	0.0159955082235743	0.0211265626077746	0.00525504777997417	0.0112557350250171	0.0136210526673728	0.00538616230037735	0.00292060193860506	0.00667039204698504	0.00184256639435783	0.00540197019672819	0.00476456574784646	0.0032511154514717	0.0021876258994289	3.20870100184271e-05	0.000191381207667773	1.92522060110562e-05	0.41121005089649	0.0996048872026895	0.144846729545304	0.00716182063611292	0.00384317838607089
"Ipomoea_bracteata"	0.0835466453310782	0.0107708341725794	0.0531874948228293	1.03972022839708	0.0234927803357426	0.0173334781481619	0.0252927302140701	0.014170401540747	0.0152737379527245	0.0155739624096279	0.00404849959561774	0.00507931655556635	0.00762675525409761	0.00041882294388667	0.00610064663749581	0.00544768232435543	0.003717242056619	0.00209625889776549	0.000163820091346021	0.000173703597135318	9.82920548076129e-05	0.470167029782017	0.0226406018320275	0.123796086490101	0.036564644388432	0.0134983041740889
"Mirabilis_sp1_M_PL_065"	0.0667903599510287	0.00560790845975038	0.0460756394528191	0.0260406416799698	1.11127333239436	0.0528190047273052	0.00276729017146994	0.00129491386634008	0.00593335216105739	0.00172526511201816	0.000759216018169016	0.0020318042535821	0.000844882914938932	0.00029497913170065	0.00206151579318802	0.000603487796384952	0.000411791672827379	0.00577841973898732	1.38663870707283e-05	0.000197341818121823	8.31983224243697e-06	0.0520845467562354	0.015945891138664	0.586358995583683	0.00309497759418655	0.00918225559389795
"Ipomoea_wolcottiana"	0.0521157269616122	0.0049433132454532	0.0353921666167928	0.0253616153957317	0.0697210862400429	1.08380190088049	0.00527001548134841	0.00169370767403564	0.00542098746193973	0.00336388240445603	0.0010586389995709	0.0352691528247197	0.00164733335856077	0.000237813151113239	0.00213828383021371	0.00117666668468627	0.000802901973080041	0.0037521368745866	1.40911034022196e-05	0.000143457509451959	8.45466204133174e-06	0.101553256457158	0.0128556301496022	0.367397877092666	0.00314513427937541	0.181714768687864
"Opuntia_excelsa"	0.0857592168072749	0.0125451229957434	0.0529928813860885	0.041953335319281	0.00414102849048127	0.0059743612258723	1.03047328400974	0.0252036002576668	0.019667381361467	0.0179837309648983	0.00468250755687014	0.00336399690472412	0.00880684767416829	0.000489692619753216	0.00677885162415326	0.00629060548154878	0.00429241315211564	0.00124744408314371	0.00032687218425021	0.000164035923538255	0.000196123310550126	0.542916256619316	0.0264716529639671	0.0218213048366031	0.0729578715246469	0.00249958072213363
"Nopalea_karwinskiana"	0.0413786510179714	0.00421271250320596	0.0146112571871769	0.0260540451608973	0.00214791268305616	0.00212833636287547	0.0279373240951386	1.1448353251317	0.0513318473290894	0.00480777633061204	0.00131227589289842	0.000942594881992904	0.00235442544585528	0.000179276851985694	0.00225575063463165	0.0016817324613252	0.00114753509125719	0.000386613566815374	0.00223843574966083	4.64435053886493e-05	0.0013430614497965	0.145143403956255	0.00969129290253432	0.0113185063872688	0.499618859324298	0.000894604096310861
"Ceiba_aesculifolia"	0.0689473678482876	0.00857323643988535	0.0393015864162556	0.0352666042430018	0.0123595076577508	0.00855471443329359	0.0273775175762614	0.0644632501342053	1.02947713656911	0.0121444647657521	0.00316925324471988	0.00242849422044791	0.00594728932973045	0.000336404860413383	0.00484759261467147	0.00424806380695032	0.00289867883297787	0.00133046936722942	0.000959728170132176	0.000126135900180637	0.000575836902079306	0.366632895150442	0.0181852704350389	0.0651288888376532	0.214211327573502	0.00250828467003101
"Caesalpinia_pulcherrima"	0.092464591301963	0.0127302978767185	0.0589124541292544	0.0445428142991415	0.00445160998039253	0.0065754902967762	0.0310089846678699	0.00747876318095206	0.01504314359873	1.02004381632689	0.00513078709134171	0.00374276465922774	0.00981569606131752	0.000475296675611432	0.00748908601481883	0.00701121147236965	0.00478412076938165	0.00138198317761757	4.32574338383462e-05	0.000181209858815709	2.59544603030077e-05	0.605108792485927	0.0256934414450718	0.0234579256383045	0.00965505923271886	0.00275144786464477
"Cordia_seleriana"	0.0775963713357136	0.14757690864196	0.0305992247443059	0.0152092282105639	0.00257312672103769	0.00271812716106041	0.0106052468450194	0.0026812988514357	0.00515646068465234	0.00673935817943803	1.01181097627643	0.00127506089198801	0.00330034412902521	0.00822848571293504	0.00253231777766825	0.00235738866358944	0.00160857108809632	0.000519599631676716	1.71411487167741e-05	0.000217811948787662	1.02846892300645e-05	0.203456508659907	0.444812948828085	0.0135591876974618	0.00382590439358398	0.00101211708762905
"Psittacanthus_calyculatus"	0.0345340241430638	0.00450246781920701	0.0222431350541588	0.0255806159863668	0.0092314584564926	0.12139744631697	0.0102138746599957	0.00258189032893708	0.00529693304604942	0.00659052037820537	0.00170932076099842	1.07866078321617	0.00322745648150798	0.000174111355131923	0.00256194653501525	0.00230532605821999	0.00157304601619717	0.000850843777853737	1.61365388750436e-05	7.23144805956187e-05	9.68192332502617e-06	0.198963199565904	0.00941205806299685	0.0486455163321396	0.00360167547690973	0.406044217228717
"Tillandsia_bartramii"	0.092464591301963	0.0127302978767185	0.0589124541292544	0.0445428142991415	0.00445160998039253	0.0065754902967762	0.0310089846678699	0.00747876318095206	0.01504314359873	0.0200438163268921	0.00513078709134171	0.00374276465922774	1.00981569606132	0.000475296675611432	0.00748908601481883	0.00701121147236965	0.00478412076938165	0.00138198317761757	4.32574338383462e-05	0.000181209858815709	2.59544603030077e-05	0.605108792485927	0.0256934414450718	0.0234579256383045	0.00965505923271886	0.00275144786464477
"Pithecellobium_mangens"	0.0713059705807619	0.20462739781187	0.0186205507737507	0.0027988648653965	0.00177838380361834	0.00108616583441143	0.00197289622765959	0.000651602404332617	0.000973633297927196	0.00111054896320748	0.0146372101624325	0.000231032375078898	0.000543849080747696	1.01150868107488	0.000435223523489165	0.000388463629105497	0.000265069299860221	0.000154745054547893	6.09195116533977e-06	0.000233297448391181	3.65517069920386e-06	0.0335266962719756	0.622132740413206	0.00937126010710526	0.00135972350010384	0.000276246374276249
"Tillandsia_paucifolia"	0.0897822566930531	0.0120534375823744	0.0573481886541548	0.0428277718490867	0.0130562666901908	0.0102594426197122	0.0286902912173759	0.00861286605950268	0.0147386401718799	0.0183823020363735	0.00473210897847098	0.00357119820032429	0.0090020326844792	0.000457204509523971	1.00698824580264	0.00643002334605657	0.00438754534201507	0.00172541120797455	6.69932718219723e-05	0.000180910453230343	4.01959630931834e-05	0.554948838431423	0.0247154206975362	0.0688004866736687	0.0149528982706642	0.00324902259337418
