"Microtus_maximowiczii"	"Clethrionomys_rutilus"	"Microtus_oeconomus"	"Spermophilus_undulatus"	"Clethrionomys_rufocanus"	"Cricetulus_barabensis"	"Micromys_minutus"	"Apodemus_peninsulae"	"Amalaraeus_penicilliger"	"Megabothris_calcarifer"	"Ctenophthalmus_assimilis"	"Frontopsylla_luculenta"	"Catallagia_dacenkoi"	"Oropsylla_alaskensis"	"Megabothris_rectangulatus"	"Neopsylla_bidentatiformis"	"Amphipsylla_vinogradovi"	"Peromyscopsylla_ostsibirica"	"Amphipsylla_sibirica"	"Leptopsylla_segnis"	"Rhadinopsylla_rothschildi"
"Microtus_maximowiczii"	1.24428467389729	0.0657966905890293	0.0177583512189872	0.000254256694002491	0.00301167745486283	2.75243770623455e-05	0.00219919671129661	9.62390806375718e-07	0.391187070973769	0.225051130122687	0.032945268347138	0.00055860524972334	0.0139685790952083	4.44949214504359e-05	0.00166318957230148	1.77172668932783e-05	6.73673564463003e-06	0.000523293071475856	0.000188229840928927	0.000188229840928927	0.000324121628517386
"Clethrionomys_rutilus"	0.227857504847722	1.08300801670637	0.0114845562331098	0.00418504388960663	0.00542906661756206	0.000453048941314677	0.000900255225577187	1.58408720739397e-05	0.481500096259087	0.0921261180840655	0.0353540268960756	0.00919459562796781	0.0241178858375081	0.000732382680681161	0.0166693958558361	0.000291624729264818	0.000110886104517578	0.000556006403844984	0.000339316663597629	0.000339316663597629	0.0053350148606225
"Microtus_oeconomus"	0.235549451074491	0.043988017270213	1.04001830428529	0.000169981920773287	0.00922096530991694	1.84012715948389e-05	0.00436756879994638	6.43401104714648e-07	0.155361399916218	0.44694787386118	0.00763171043780152	0.000373452481455944	0.00407666707262264	2.97468361353252e-05	0.030660859862573	1.18447817831805e-05	4.50380773300253e-06	0.0201992972051772	0.000576310331869809	0.000576310331869809	0.000216689740247355
"Spermophilus_undulatus"	0.00446856139709378	0.0212390977397537	0.000225226045024605	1.27267622451629	0.000106470566004405	0.0334311757459306	1.76550943592341e-05	0.00116892222887869	0.00944279954385626	0.00180670465609495	0.000693335248822277	0.353182098682924	0.000472980925974012	0.222718339290351	0.000326907024124771	0.0697122068159836	0.00818245560215084	1.09039583946075e-05	6.65441037527529e-06	6.65441037527529e-06	0.000104626097240166
"Clethrionomys_rufocanus"	0.132325578173035	0.0688812827103187	0.0305444475890999	0.000266176415011011	1.10091636313057	2.88147379584613e-05	0.000369663069015809	1.00750832022592e-06	0.170300383865211	0.0378288540626178	0.0739675365617041	0.000584793031157059	0.105885784584384	4.6580872626927e-05	0.0706896881842585	1.85478640157254e-05	7.05255824158143e-06	0.0693835830275307	0.0688072726956609	0.0688072726956609	0.000339316663597629
"Cricetulus_barabensis"	0.00175905791589354	0.0083608122806254	8.86606722296784e-05	0.121567911803384	4.19123461213982e-05	1.16091654090838	6.94996235447412e-06	0.0405914874443488	0.00371717647129548	0.000711212814274519	0.000272932773980021	0.139030822502326	0.000186189864693892	0.0212743845655922	0.000128687588117704	0.217154130300783	0.284140412110442	4.29236450484548e-06	2.61952163258739e-06	2.61952163258739e-06	4.11862673922433e-05
"Micromys_minutus"	0.25767254800692	0.0304586351320282	0.038580191066193	0.000117700629061561	0.000985768184042156	1.27415976498692e-05	1.00550530320703	4.45510407338085e-07	0.0897742146521118	0.56337602818618	0.00730116820956352	0.000258589806445305	0.00325831541415146	2.05976100857731e-05	0.00160363032427782	8.20168557123607e-06	3.11857285136659e-06	0.000789538644827032	6.16105115026348e-05	6.16105115026348e-05	0.000150042537596198
"Apodemus_peninsulae"	0.000338280368441065	0.00160784851550488	1.70501292749382e-05	0.0233784445775738	8.06006656180735e-06	0.223253180943919	1.33653122201425e-06	1.08472913220084	0.000714841629095284	0.000136771695052792	5.24870719192348e-05	0.0267366966350627	3.5805743210364e-05	0.00409122780107542	2.47476130995586e-05	0.0417604096732275	0.593103925405854	8.25454712470284e-07	5.0375416011296e-07	5.0375416011296e-07	7.92043603696988e-06
"Amalaraeus_penicilliger"	0.47661093742558	0.169401247037426	0.0142706311881448	0.000654613486575824	0.00472236766350671	7.0864716090555e-05	0.00093352736206702	2.47778727589353e-06	1.20571925399685	0.0955309667181918	0.0167492628341961	0.00143819430821897	0.00852644793353648	0.000114557360150769	0.00320250047229948	4.56151681634376e-05	1.73445109312547e-05	0.000564405171198317	0.000295147978969169	0.000295147978969169	0.000834488901662196
"Megabothris_calcarifer"	0.51534509601384	0.0609172702640564	0.0771603821323861	0.000235401258123121	0.00197153636808431	2.54831952997385e-05	0.0110106064140621	8.9102081467617e-07	0.179548429304224	1.12675205637236	0.014602336419127	0.00051717961289061	0.00651663082830292	4.11952201715462e-05	0.00320726064855565	1.64033711424721e-05	6.23714570273319e-06	0.00157907728965406	0.00012322102300527	0.00012322102300527	0.000300085075192396
