"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Dillenia_ferruginea"	"Chrysobalanus_icaco"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Dracaena_reflexa"	"Paragenipa_wrightii"	"Northea_hornei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_120"	"Unidentified_sp2_M_PL_120"	"Unidentified_sp4_M_PL_120"	"Neophyllomyza_approximatonervis"	"Xylocopa_caffra"	"Dichaetomyia_fasciculifera"	"Ornidia_obesa"	"Lygistorrhina_sp1_M_PL_120"	"Eagris_sabadius"	"Hemipyrellia_germana"	"Unidentified_sp3_M_PL_120"	"Cratopus_aurostriatus"	"Megachile_seychellensis"	"Rhynchium_brunneum"	"Scaptodrosophila_sp1_M_PL_120"	"Unidentified_sp1_M_PL_120"
"Nephrosperma_vanhoutteanum"	1.1251561047177	0.0371543809149261	0.0489587701598368	0.0204531338864787	0.032641445831804	0.0195197912238611	0.0057585832360283	0.0121451921185634	0.0145070524451628	0.0137891993897396	0.00324967940922754	0.264429042350094	0.228707512559947	0.00534629008896844	0.0259974352738203	0.0855247014714153	0.00539337787474735	0.0042396208919783	0.00255664173580984	0.0236472025405656	0.00214844147572075	0.00179779262491578	0.000852213911936611	0.00124214310176341	0.00121451921185634	0.00059926420830526	0.0106146802331859	0.000874263752854228	0.000874263752854229	0.000607259605928168
"Phoenicophorium_borsigianum"	0.0635220060803576	1.14937190734322	0.036217531943685	0.0134945020699706	0.0198935866238368	0.0111686752516446	0.00855393812657882	0.00495754434376739	0.00710544019092674	0.0136250129431623	0.00542318841618268	0.148328219784686	0.212711102479825	0.00496132589375716	0.0433855073294614	0.00504199088363045	0.166844309130468	0.00192787168338623	0.00168681275874632	0.00238276844843165	0.0012666068055244	0.0556147697101558	0.000562270919582107	0.000778475125386974	0.000495754434376739	0.0185382565700519	0.00059926420830526	0.000646741641851519	0.000646741641851519	0.00024787721718837
"Erythroxylum_sechellarum"	0.0926719578025482	0.0400979817947942	1.07617944572146	0.0250820790231189	0.0411706816463937	0.0249712914525883	0.00211152956678315	0.00822210722685917	0.00841886447120233	0.0138232205898291	0.000584174037753182	0.3410813843545	0.245312926390405	0.0049973656866709	0.00467339230202545	0.00740521538417678	0.00582067477666367	0.0026364601625626	0.00313525987788986	0.00315167158424218	0.00272589255879826	0.00194022492555456	0.00104508662596329	0.00155181035414149	0.000822210722685917	0.000646741641851519	0.000874263752854228	0.019217490102169	0.019217490102169	0.000411105361342958
"Syzygium_wrightii"	0.0451673373326404	0.0174303985070453	0.029262425526972	1.13091122691723	0.0320956886343573	0.0368116750675493	0.0298367620013707	0.0043336716319888	0.00253257291595944	0.00406125900787843	0.000890315790339734	0.232942107428489	0.0677607673997733	0.107436278553441	0.00712252632271787	0.00362553922934589	0.00253021913811948	0.00107214623079156	0.141363903364654	0.00127430939792985	0.0268087395373241	0.00084340637937316	0.0471213011215513	0.0243630427766346	0.00043336716319888	0.000281135459791053	0.000426106955968306	0.000522543312981643	0.000522543312981643	0.00021668358159944
"Dillenia_ferruginea"	0.0864998314542806	0.030835059266947	0.0576389543049511	0.0385148263612288	1.06229836841098	0.03707027110219	0.00256427436914766	0.00867451368704603	0.0036421967260191	0.00513887852572521	0.000456159124819222	0.506316521346562	0.0897628587141384	0.0073352332602076	0.00364927299855378	0.0069620148507131	0.00447605699036328	0.00190820984072675	0.00481435329515361	0.00223910507926005	0.00407329848958158	0.00149201899678776	0.00160478443171787	0.0273598514261334	0.000867451368704603	0.00049733966559592	0.0008160361457951	0.00102926704115984	0.00102926704115984	0.000433725684352301
"Chrysobalanus_icaco"	0.0608558196979199	0.0203664078118224	0.0411291859219101	0.0519694236247755	0.0436120836496353	1.07441517816464	0.03038050284082	0.0063099184039763	0.00149545932087023	0.00186576853277608	0.00093358536418308	0.400476639137118	0.027982321404871	0.109258958832159	0.00746868291346464	0.00490838797287201	0.00295641403720003	0.00119573098074148	0.00649617795309694	0.00139746623331334	0.0958840355753377	0.000985471345733342	0.00216539265103231	0.00217299841675704	0.00063099184039763	0.000328490448577781	0.000574111506584149	0.000734449748605539	0.000734449748605539	0.000315495920198815
"Mimusops_sechellarum"	0.0254337426257916	0.0220976734936619	0.00492690232249401	0.0596735240027413	0.00427379061524609	0.0430390456911616	1.13748290070907	0.000803818111236301	0.000680095912312523	0.00939592900282263	0.0255259108467971	0.0342636781341782	0.015971256970025	0.38793132342502	0.204207286774376	0.00195971865090458	0.00320772679746706	0.000233922035404199	0.00745919050034267	0.000593231255054445	0.00504076127182628	0.00106924226582235	0.00248639683344755	0.00135004318210493	8.03818111236301e-05	0.000356414088607451	0.000239940968167846	8.79803986159645e-05	8.79803986159646e-05	4.0190905561815e-05
"Roscheria_melanochaetes"	0.0643695182283858	0.0153683874656789	0.0230219002352057	0.0104008119167731	0.0173490273740921	0.0107268612867597	0.000964581733483561	1.13593856511079	0.0499606397565103	0.00493655379184251	0.000296486433814926	0.146577412367816	0.0870790496502756	0.00213474933148872	0.00237189147051941	0.0616550051029647	0.00223089495469533	0.17871755805937	0.00130010148959664	0.00954129250460805	0.00116317134219589	0.000743631651565109	0.00043336716319888	0.000650409265951741	0.113593856511079	0.000247877217188369	0.000607259605928168	0.000411105361342958	0.000411105361342959	0.0567969282555393
"Dracaena_reflexa"	0.0854304199548475	0.0244742939909699	0.0261920227992961	0.00675352777589183	0.00809377050226468	0.00282475649497711	0.00090679454975003	0.0555118219516781	1.1104142490368	0.0122744407748189	0.000457235502035316	0.0373396094041448	0.218196520934528	0.00111430205138603	0.00365788401628253	0.00922316996210069	0.00355272009546337	0.193395814798886	0.000844190971986479	0.186680936222263	0.000389941715476119	0.00118424003182112	0.00028139699066216	0.000343042757887697	0.00555118219516781	0.000394746677273708	0.000805947358064598	0.000467714692844574	0.000467714692844574	0.0027755910975839
"Paragenipa_wrightii"	0.1044039382366	0.0603393430340043	0.0552928823593165	0.0139243165984403	0.0146825100735006	0.00453115215102762	0.0161073068619816	0.00705221970263216	0.0157814238533385	1.03052361422533	0.0106946262371659	0.0520656530096799	0.485257298632876	0.00692926954660164	0.0855570098973273	0.00823215349355421	0.00875893689203289	0.00368807026428458	0.00174053957480504	0.00460012293599541	0.000689897471871905	0.00291964563067763	0.000580179858268347	0.000657152680971688	0.000705221970263216	0.000973215210225876	0.000984942813552826	0.000987372899273508	0.000987372899273509	0.000352610985131608
