"Sorex_araneus"	"Clethrionomys_glareolus"	"Talpa_europaea"	"Microtus_oeconomus"	"Apodemus_uralensis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Apodemus_agrarius"	"Sciurus_vulgaris"	"Sorex_minutus"	"Microtus_agrestis"	"Neomys_fodiens"	"Myopus_schisticolor"	"Micromys_minutus"	"Palaeopsylla_soricis"	"Ctenophthalmus_uncinatus"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_bisoctodentatus"	"Ctenophthalmus_agyrtes"	"Peromyscopsylla_bidentata"	"Amalaraeus_penicilliger"	"Palaeopsylla_kohauti"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"	"Amphipsylla_rossica"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Ceratophyllus_sciurorum"	"Tarsopsylla_octodecimdentata"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Rhadinopsylla_integella"	"Leptopsylla_segnis"
"Sorex_minutus"	0.245323796761871	0.0273314455543382	0.0229208133863376	0.00172484917826577	0.00200465332568163	0.00337046297571405	0.00184981273516821	0.0149080252369025	0.0016666703279575	0.00012234788025352	1.00839386646759	0.000945450672811328	0.00190255502607629	0.000321213458325123	0.000547370346036135	0.35063543951163	0.0334264837942009	0.197939601208591	0.00485910244565247	0.0294287805480993	0.00559459508287925	0.00257414934453207	0.00957309013240359	0.00265549922056063	0.001035242045052	0.0258855515462879	0.000706028884039644	0.000671001213724757	0.000483064374838712	0.000268201075058103	2.62174029114686e-05	1.92260954684103e-05	0.000773142742606442	1.13608745949697e-05	8.86352308141439e-05	1.22538927211757e-05
"Microtus_agrestis"	0.02306546280453	0.154262062728361	0.0208755779107494	0.0566774650829929	0.0213277896880634	0.0181131522296336	0.0117410921652817	0.00114660521880477	0.0121650865147143	0.000561693288109768	0.00109473235799206	1.01021730631901	0.000150931026777411	0.00112297929213367	0.000811396706179193	0.00936426392743529	0.111088322772353	0.00491858484994537	0.158431111592594	0.00607636881627964	0.072848629281543	0.0905243935415517	0.00970675286383858	0.00231082300086989	0.13341887521875	0.0468644169353797	0.0138320197707419	0.00375101445917213	0.00137042667451561	0.00147553097864786	0.000120362847452093	8.8266088131535e-05	0.000191226058228729	5.21572338959071e-05	0.000134254125430976	9.88656299100036e-05
"Neomys_fodiens"	0.218306867922977	0.0203167576264261	0.0134399608230237	0.00852982797890493	0.00169970873695845	0.0013276349850728	0.000588979949127903	0.0097749310273199	0.000868028683690008	4.61212952587846e-05	0.00597945865338264	0.000409669929824401	1.05149206718862	0.000280042891210008	0.000273275641531755	0.293272393936972	0.0336927018969749	0.114895200078936	0.00359232684830896	0.00399404499168764	0.00490121909299004	0.00179136295576136	0.00141947756933661	0.00159712254616247	0.00288032123480839	0.00251987487082378	0.000370039661816561	0.000451943064144791	0.000334599133009791	0.000190206621859279	9.88313469831097e-06	7.24763211209472e-06	0.200660365842771	4.28269170260142e-06	7.55496869837546e-05	6.50317480701168e-06
"Myopus_schisticolor"	0.0808656180290153	0.138560385277256	0.00709104427947401	0.0562868585247793	0.0057338119706932	0.0183194917570553	0.00456951254306943	0.00341675316211992	0.00391996796184789	0.000576980590579224	0.00265001103118226	0.00800122745645242	0.000735112589426271	1.00240760416707	0.000198953993310847	0.151941328466375	0.0989385596770608	0.0152166334986116	0.0190918427597271	0.00226056231543706	0.0154404363035244	0.135635948631708	0.00890220982328577	0.000824207276566355	0.143903376405016	0.00273922756549836	0.00265986446599076	0.00345074878769209	0.000938814539159528	0.0638981058936545	0.000123638697981262	9.06683785195924e-05	0.000387972206434991	5.35767691252137e-05	0.00013675775830336	3.21864469945049e-05
"Micromys_minutus"	0.119679342231109	0.0923143328098487	0.0340093719456053	0.0080913433015681	0.0200512994297266	0.0152089673194729	0.0104440021225561	0.00435482386311403	0.0143599657142775	7.29538603700242e-05	0.00516092040548356	0.006607087464602	0.000819826924595264	0.000227375992355254	1.00193171994865	0.182018532651311	0.026584233725337	0.0222061136958975	0.163128150548112	0.00976326102997035	0.0852292384258039	0.00777714485726296	0.0062735907604618	0.00380880993649442	0.00420004587616534	0.14663299810524	0.00388371965962266	0.00241849304164344	0.00120140301839516	0.000924923241680094	1.56329700792909e-05	1.14641780581467e-05	0.000382744394523812	6.77428703435939e-06	0.000108802468966351	9.0589794606812e-05
"Palaeopsylla_soricis"	0.570321754767776	0.022656534296383	0.0174813090830459	0.00276776041240082	0.00233480520961019	0.00131685950685186	0.00117456906550525	0.0206442798807382	0.0017405130165404	3.37249605556833e-05	0.0187535972510272	0.000432547037166784	0.0049908592161073	0.000985032923606966	0.00103252003935104	1.17829281669881	0.0147960332889184	0.103032075066473	0.00539157207901197	0.00559715524596411	0.00759605701720159	0.00276737668554564	0.00192921423232022	0.00223133438726883	0.00150188827478365	0.00627381890932718	0.000499872725461126	0.000497481329507628	0.00058722422299647	0.000256306650252609	7.22677726193213e-06	5.29963665875023e-06	0.00188494534655224	3.13160348017059e-06	0.00017211960539348	1.03835501434398e-05
"Ctenophthalmus_uncinatus"	0.0490009379364303	0.480658563806728	0.0205864869730491	0.0235782020872963	0.0295042939493146	0.0321769799087003	0.00630764712229971	0.00214089850923659	0.0110088118698236	0.000896944734473636	0.00233208026471169	0.00669348245034263	0.000747935242956101	0.000836689722427575	0.000196712088876701	0.0193005339096462	1.10729339456951	0.0107352514926544	0.0601323698212324	0.00636149375563357	0.0304479647239321	0.0291846073767725	0.0282775427575801	0.00229293760045239	0.0116933858010777	0.00458745462036172	0.00409266519614688	0.010722698739528	0.00290445486486037	0.00410100124647508	0.000192202443101493	0.000140948458274429	0.000279623996332193	8.32877253439805e-05	0.000412169442742482	9.73447916776141e-05
"Doratopsylla_dasycnema"	0.549502885649569	0.0206850682486992	0.00776226035431381	0.00123681802150112	0.00279964154656067	0.001254110795545	0.000658847829649953	0.0595929199175386	0.000848640909324055	2.45720285523563e-05	0.0181696991373672	0.000389929536087463	0.00335577079507323	0.000169308856730032	0.000216193040154774	0.17683112744371	0.0141245450793478	1.11228386631864	0.00487307051171717	0.00288127615332689	0.00651301282959125	0.00284366813269652	0.00179051744250972	0.00115006436462836	0.000906851332199991	0.00598929256821613	0.000305644565161873	0.000456254571460487	0.000481033473015398	0.000185423724413267	5.26543468979064e-06	3.86131877251314e-06	0.0015319134277287	2.28168836557595e-06	0.000164886611087782	9.47634205017186e-06
"Megabothris_turbidus"	0.0249400741992996	0.403615016570124	0.0118347815445629	0.01250375787413	0.0992054360608793	0.0293311479906548	0.0167412249818222	0.000744849040162075	0.048795997617997	0.000177945091903691	0.000561647568148972	0.01581536490504	0.000132117099499979	0.000267486413446264	0.00199981970899612	0.0116518387837141	0.0996238561311485	0.00613614307867714	1.07984278653569	0.00387781399795034	0.0407708654119217	0.0260826092656962	0.0239306624457762	0.0013164300444238	0.00954352094179865	0.0059126896679013	0.00775176780520589	0.00909592844262189	0.00334819146361337	0.0036176012174141	3.81310911222195e-05	2.79628001562943e-05	9.66795010910144e-05	1.65234728196285e-05	0.000341747223542173	0.000309584011048135
"Ctenophthalmus_bisoctodentatus"	0.0123446296579818	0.0195588918174521	0.613251897432044	0.00367782233096813	0.00340917686241109	0.00142979739996211	0.00334263217467101	0.000444208795856363	0.00207924271317605	0.00273737675132036	0.00346839199316884	0.000618487540228463	0.000149776687188287	3.22937473633865e-05	0.000122040762874629	0.0123337313812852	0.0107463805229096	0.0036993527754322	0.00395398534433865	1.16959132585816	0.0473963557455512	0.0013735333641019	0.00153430527414515	0.0675262902512947	0.00168517663430368	0.00580867184279265	0.00115637705564915	0.000441117445375187	0.0042337451894381	0.000175277352880675	0.000586580732425791	0.000430159203778913	0.000365607750791392	0.000254184984051176	1.95543855932657e-05	2.1620239034716e-05
"Ctenophthalmus_agyrtes"	0.0471709461874489	0.20908736192457	0.198509173425671	0.0724827171068426	0.0666674277423304	0.0159437672858823	0.00778525687072078	0.001985113949202	0.0356357475881509	0.000287576821025593	0.000767657537359731	0.00863278974854044	0.00021398253836339	0.000256805593405812	0.00124034234715307	0.0194875974204299	0.0598831073364652	0.00973566782635365	0.0483995096677907	0.055180788393989	1.04675414380044	0.0138729905477017	0.0125785638154574	0.0218814212322397	0.0246662140101693	0.00537528100568328	0.00478464931648408	0.00474182016181968	0.00317836088971751	0.00193533675076659	6.16236045054841e-05	4.51906433040217e-05	0.000363824056291316	2.67035619523764e-05	0.000186244857111802	0.000194294434663101
"Peromyscopsylla_bidentata"	0.0296967304308628	0.453617822375452	0.00826693842572436	0.00913571971497401	0.0109819408221321	0.0966325058027959	0.0232789684987809	0.0048157655617352	0.00462040469173226	0.000202173023207765	0.000663647877887173	0.0201558219994861	0.000146947742464799	0.00423862339474089	0.000212656304690784	0.0133396204295442	0.10784624444698	0.00798670854456562	0.0581764448855958	0.00300460423397291	0.0260660486462676	1.03789436688721	0.0316148660078818	0.000926164255217721	0.00910897465290236	0.00757799769014765	0.00883392659400694	0.0127550332045247	0.00288193116449397	0.004624152202101	4.33227906873782e-05	3.17700465040774e-05	9.8556579665659e-05	1.87732092978639e-05	0.000384533481018201	0.000119293380745019
"Amalaraeus_penicilliger"	0.0203393044815007	0.531606553135884	0.0109751008689809	0.00615670418676306	0.00937258547832229	0.0680629824231131	0.00586422307448986	0.000745291859611795	0.00460890604546727	0.00307576090617699	0.00278336541294553	0.00243737847241762	0.000131317308176514	0.000313734266899939	0.000193458745917324	0.0104874465316438	0.117843856602074	0.00567128652495369	0.0601956310860714	0.00378507027982944	0.026653256366674	0.0356537695947918	1.03365236195615	0.00121930480157156	0.00624584337003741	0.00539057965061843	0.00371415923265832	0.0131508980500797	0.00293348083574117	0.00473953286611111	0.000659091622752211	0.000483333856684955	7.58240945915975e-05	0.000285606369859292	0.000446756890720124	4.62427497172529e-05
"Palaeopsylla_kohauti"	0.0151862038131995	0.0152350179940546	0.621964866282327	0.00364586146993807	0.00336429438187819	0.0013500008880688	0.00130870967556233	0.000447727915514384	0.00204949182617683	0.000415516234293055	0.000796649766168189	0.000598713232043563	0.000152452606679144	2.9971173693322e-05	0.000121189407070277	0.0125157574267715	0.00985963168194529	0.00375861944621722	0.00341673434257267	0.171885102457841	0.047840743694124	0.00107771840607153	0.00125810086343975	1.06848712465073	0.00162172611628146	0.00575460103997928	0.000535468357522547	0.00035299766583248	0.00423006863203418	0.000140815783626162	8.90391930627975e-05	6.52954082460516e-05	0.000375036425082424	3.85836503272123e-05	1.67289796992098e-05	1.34391119267695e-05
"Megabothris_walkeri"	0.0160715108868928	0.127224789874261	0.0164545649988539	0.423061406766487	0.0129645685322596	0.00439369548829264	0.00717771930449251	0.000478214702054836	0.00953234584385457	0.00382664648989859	0.000348601913129755	0.0388003871809629	0.000308605846586613	0.00587360720020475	0.000150001638434476	0.00945576597491336	0.0564384845296914	0.00332666381557037	0.027802808457995	0.00481479038372479	0.0605329027494461	0.0118974362813419	0.00723370635203312	0.00182030482439756	1.13051101101975	0.00319524342242349	0.00824409905304967	0.00267418480330846	0.00105570537718513	0.00143396596878659	0.00081999567640684	0.00060133016269835	0.000949413852971652	0.000355331459776298	0.000109930251481841	6.02589163784077e-05
"Hystrichopsylla_talpae"	0.218908093556961	0.115385097840149	0.109494926278793	0.00512652627102463	0.00548514086643162	0.0678428800958624	0.0512995923752045	0.00810208114629698	0.0321653755713294	0.000155218559617999	0.0164273692505289	0.025685305435737	0.00050882088737788	0.000210709812730643	0.00986952871862188	0.0744412743664398	0.0417281929890595	0.0414067438129557	0.0324629403881888	0.0312774637688835	0.0248606746512852	0.0186535327757481	0.0117659767374075	0.0121731945076485	0.00602180491149041	1.01155683765661	0.0165420724284495	0.00496513143846472	0.00288522499729752	0.00163288644871066	3.32611199181425e-05	2.43914879399712e-05	0.000515673885877773	1.44131519645285e-05	0.000154628025272902	0.000217013783724559
