"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Sorex_araneus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Sicista_betulina"	"Sorex_caecutiens"	"Peromyscopsylla_silvatica"	"Amalaraeus_penicilliger"	"Megabothris_rectangulatus"	"Hystrichopsylla_talpae"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_uncinatus"	"Peromyscopsylla_ostsibirica"	"Palaeopsylla_soricis"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Megabothris_calcarifer"	"Amphipsylla_sibirica"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Neopsylla_pleskei"	"Ctenophyllus_armatus"	"Megabothris_turbidus"
"Amalaraeus_penicilliger"	0.598273679178935	0.0498040689157166	0.00852858733654255	0.00684690226546209	0.000749788665701933	0.000641408393652034	0.000890517365611299	0.000890517365611299	4.11971794341721e-05	0.095037643411011	1.09585762775673	0.06856983715207	0.0145826332143695	0.0118075201498032	0.0114651750365301	0.0104134786556313	0.00440915806906355	0.000288380256039205	0.00323397858558251	0.00224492937778212	0.00242692239264222	0.00311275430723229	0.00312686591905367	0.00312686591905367	0.00312686591905367	0.000160352098413009	0.000342345113273104
"Megabothris_rectangulatus"	0.496705263347059	0.0574195359924514	0.0617527580989544	0.0214352848126673	0.000622497678927193	0.000532517033875164	0.0140823032667802	0.0140823032667802	3.42031691718238e-05	0.0963320006704906	0.0819275976362395	1.08433735154208	0.0127765628269178	0.0105905062211519	0.00951874198051855	0.00931520210672927	0.00836306904667255	0.000239422184202766	0.00268494877998817	0.00186380961856307	0.00280244460072765	0.00358872099952821	0.00259602054014142	0.00259602054014142	0.00259602054014142	0.000133129258468791	0.00107176424063337
"Hystrichopsylla_talpae"	0.563955011712881	0.0844541541742988	0.00845432989911778	0.00662771955850075	0.000706778670805693	0.000604615397172748	0.000912611630494131	0.000912611630494131	3.88339929014117e-05	0.0920643197678966	0.0958287325515711	0.0702710955480481	1.01530892333546	0.0111388862023879	0.0108075002244629	0.0113789232538415	0.00419868150098563	0.000271837950309882	0.00304846844276082	0.00211615389010462	0.00229638601873647	0.00527838463589368	0.00294750006121715	0.00294750006121715	0.00294750006121715	0.000151153849293187	0.000331385977925038
"Neopsylla_acanthina"	0.554989643546414	0.00943566377640972	0.00952132611757028	0.0897619615112825	0.000695542790523801	0.000595003638216472	0.000814654324703994	0.000814654324703994	3.82166368419671e-05	0.100863281308543	0.0835609118293766	0.0627283830022075	0.0119957236025716	1.01512378810868	0.0106356900331194	0.00812819995416454	0.0145969542310941	0.000267516457893769	0.00300000599209441	0.00208251273375765	0.00642185989976766	0.000589728986025607	0.0029006427363053	0.0029006427363053	0.0029006427363053	0.000148750909554118	0.00448809807556412
"Neopsylla_mana"	0.637380997919321	0.0103190880396578	0.0086132062768638	0.00709666860595291	0.000798800055234857	0.000683335296616801	0.000865340180047141	0.000865340180047141	4.38901129249922e-05	0.098425849422932	0.0958905548509791	0.0666311938636299	0.01375500028568	0.012569451857323	1.01221461842703	0.00931332085767082	0.00464900346059421	0.000307230790474945	0.00344537386461189	0.0023916735381588	0.00257567314430225	0.000644943002478611	0.00333125957100691	0.00333125957100691	0.00333125957100691	0.0001708338241542	0.000354833430297646
"Ctenophthalmus_uncinatus"	0.534584617230305	0.114108180628155	0.00839077934801938	0.00644013993951989	0.000669970117034028	0.000573127437395127	0.000931520210672927	0.000931520210672927	3.68115448919795e-05	0.0895197079058825	0.095804003631808	0.0717270562218154	0.0159304925553781	0.0105666599404139	0.0102446529434379	1.01220516421231	0.0040185527171422	0.000257680814243857	0.00288970627402039	0.00200594603088295	0.00218467116851016	0.0071317612892597	0.00279399625730125	0.00279399625730125	0.00279399625730125	0.000143281859348782	0.000322006996975994
"Peromyscopsylla_ostsibirica"	0.266852798638107	0.00718439876800402	0.113075219306406	0.277242733875374	0.000334434241038793	0.000286092520651951	0.000836306904667255	0.000836306904667255	1.83755077493842e-05	0.116751837592843	0.0405642542353847	0.0643956316593787	0.00587815410137988	0.0189760405004224	0.00511390380665363	0.0040185527171422	1.04170380373792	0.00012862855424569	0.00144247735832666	0.00100132382228183	0.0147919373858876	0.000449024923000251	0.00139470103817826	0.00139470103817826	0.00139470103817826	7.15231301629878e-05	0.0138621366937687
"Palaeopsylla_soricis"	0.0251929248189455	0.000407869092476592	0.000340442935844419	0.000280500735413158	0.461164642953435	2.70093002615336e-05	3.42031691718238e-05	3.42031691718238e-05	0.179184870491947	0.00389034977956253	0.00379014050794384	0.00263364402623043	0.000543675900619764	0.000496816278945572	0.000482791242174914	0.000368115448919795	0.000183755077493842	1.25429409344363	0.0660123336178371	9.45325509153677e-05	0.000101805262620642	2.5491818279787e-05	0.000131670338774976	0.000131670338774976	0.000131670338774976	6.75232506538341e-06	1.40250367706579e-05
"Corrodopsylla_birulai"	0.395528919657445	0.0064035447518825	0.00534495409275737	0.00440386154598659	0.240284894368927	0.000424046014106078	0.000536989755997633	0.000536989755997633	0.0132024667235674	0.0610784915391317	0.0595052059747182	0.0413482112118177	0.00853571163973029	0.00780001557944548	0.00757982250214615	0.00577941254804079	0.00288495471665332	0.0924172670649719	1.03639363780004	0.00148416104937127	0.00159834262314408	0.000400221546992656	0.00206722431876713	0.00206722431876713	0.00206722431876713	0.00010601150352652	0.000220193077299329
"Ceratophyllus_indages"	0.343205152725788	0.00555643202135419	0.00463788030292666	0.00382128309551311	0.000430123106664923	0.308060257467409	0.000465952404640768	0.000465952404640768	2.36331377288419e-05	0.0529985343046557	0.0516333756889887	0.0358783351573392	0.00740653861536617	0.00676816638471237	0.00657710222993671	0.00501486507720737	0.00250330955570457	0.000165431964101894	0.00185520131171409	1.07821090113593	0.00138690092385506	0.000347277001334637	0.0017937551536191	0.0017937551536191	0.0017937551536191	0.0770150643668523	0.000191064154775655
"Megabothris_calcarifer"	0.369609096207373	0.00744795918410156	0.0115645957591599	0.275758870548274	0.000463213944923922	0.000396257406815731	0.000700611150181912	0.000700611150181912	2.54513156551606e-05	0.106347503051167	0.0558192150307709	0.0539470585640072	0.00803735106557765	0.0208710446742449	0.00708310114683119	0.0054616779212754	0.0369798434647189	0.000178159209586124	0.0019979282789301	0.00138690092385506	1.01507578009956	0.000465497449006348	0.00193175485822669	0.00193175485822669	0.00193175485822669	9.90643517039327e-05	0.0137879435274137
"Amphipsylla_sibirica"	0.123399094474241	0.529264550982145	0.00750107163264173	0.00381402527378778	0.000154650364230708	0.000132296000508433	0.00119624033317607	0.00119624033317607	8.49727275992901e-06	0.0538951418376847	0.0954577987551235	0.0921105056545574	0.0246324616341705	0.00255549227277763	0.00236479100908824	0.0237725376308657	0.00149674974333417	5.94809093195031e-05	0.000667035911654427	0.000463036001779516	0.000620663265341797	1.03307903443638	0.000644943002478612	0.000644943002478612	0.000644943002478612	3.30740001271083e-05	0.000190701263689389
"Catallagia_dacenkoi"	0.637380997919321	0.0103190880396578	0.0086132062768638	0.00709666860595291	0.000798800055234858	0.000683335296616801	0.000865340180047141	0.000865340180047141	4.38901129249922e-05	0.0984258494229319	0.0958905548509791	0.0666311938636299	0.01375500028568	0.012569451857323	0.0122146184270253	0.00931332085767082	0.00464900346059421	0.000307230790474945	0.00344537386461188	0.0023916735381588	0.00257567314430225	0.000644943002478612	1.00333125957101	0.00333125957100691	0.00333125957100691	0.0001708338241542	0.000354833430297646
"Catallagia_ioffi"	0.637380997919321	0.0103190880396578	0.0086132062768638	0.00709666860595291	0.000798800055234857	0.000683335296616801	0.000865340180047141	0.000865340180047141	4.38901129249922e-05	0.098425849422932	0.0958905548509791	0.0666311938636299	0.01375500028568	0.012569451857323	0.0122146184270253	0.00931332085767082	0.00464900346059421	0.000307230790474945	0.00344537386461189	0.0023916735381588	0.00257567314430225	0.000644943002478612	0.00333125957100691	1.00333125957101	0.00333125957100691	0.0001708338241542	0.000354833430297646
"Neopsylla_pleskei"	0.637380997919321	0.0103190880396578	0.0086132062768638	0.00709666860595291	0.000798800055234858	0.000683335296616801	0.000865340180047142	0.000865340180047142	4.38901129249922e-05	0.098425849422932	0.0958905548509791	0.0666311938636299	0.01375500028568	0.012569451857323	0.0122146184270253	0.00931332085767082	0.00464900346059421	0.000307230790474945	0.00344537386461189	0.0023916735381588	0.00257567314430225	0.000644943002478612	0.00333125957100691	0.00333125957100691	1.00333125957101	0.0001708338241542	0.000354833430297646
"Ctenophyllus_armatus"	0.0490293075322555	0.000793776003050599	0.000662554328989523	0.000545897585073301	6.14461580949891e-05	0.615437179638202	6.65646292343955e-05	6.65646292343955e-05	3.37616253269171e-06	0.00757121918637938	0.00737619652699839	0.00512547645104845	0.00105807694505231	0.000966880912101767	0.000939586032848101	0.000716409296743909	0.000357615650814939	2.36331377288419e-05	0.000265028758816299	0.154030128733705	0.000198128703407865	4.96110001906624e-05	0.000256250736231301	0.000256250736231301	0.000256250736231301	1.15385929490955	2.72948792536651e-05
"Megabothris_turbidus"	0.101837194495424	0.00457683032854534	0.0145159852414559	0.544421072490595	0.000127627834612987	0.00010917951701466	0.000535882120316682	0.000535882120316682	7.01251838532896e-06	0.114269156679402	0.0157478752105628	0.0412629232643845	0.00231970184547526	0.0291726374911668	0.00195158386663705	0.00161003498487997	0.0693106834688436	4.90876286973027e-05	0.000550482693248324	0.00038212830955131	0.0275758870548274	0.000286051895534083	0.000532250145446468	0.000532250145446468	0.000532250145446468	2.7294879253665e-05	1.02722105362453
