"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Memecylon_eleagni"	"Soulamea_terminaloides"	"Dillenia_ferruginea"	"Roscheria_melanochaetes"	"Lasioglossum_mahense"	"Unidentified_sp4_M_PL_092"	"Unidentified_sp1_M_PL_092"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_092"	"Amblypsilopus_sp1_M_PL_092"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Unidentified_sp2_M_PL_092"	"Unidentified_sp3_M_PL_092"
"Erythroxylum_sechellarum"	1.21044974730586	0.0403483249101953	0.0388314705902632	0.0127415762874301	0.00161797794126097	0.0293442362983239	0.327640533105346	0.100870812275488	0.176065417789943	0.00808988970630483	0.0424719209581003	0.00212359604790502	0.00242696691189145	0.00242696691189145	0.00212359604790502	0.00242696691189145
"Cinnamomum_verum"	0.0756531092066162	1.25252177030689	0.00242696691189145	0.000796348517964381	0.00010112362132881	0.00183401476864524	0.0204775333190841	0.631304425767218	0.0110040886118715	0.000505618106644052	0.00265449505988127	0.000132724752994064	0.000151685431993216	0.000151685431993216	0.000132724752994064	0.000151685431993216
"Memecylon_eleagni"	0.0728090073567434	0.00242696691189145	1.20534324635129	0.000766410603755194	0.0502226352646372	0.00176506684501196	0.170083641089043	0.00606741727972862	0.0105904010700718	0.251113176323186	0.00255470201251731	0.000127735100625866	0.0753339528969559	0.0753339528969559	0.000127735100625866	0.0753339528969559
"Soulamea_terminaloides"	0.0637078814371505	0.00212359604790502	0.00204376161001385	1.26382850401513	8.51567337505772e-05	0.00154443348938547	0.0172442385844919	0.00530899011976254	0.0092666009363128	0.000425783668752886	0.212761680050426	0.210638084002521	0.000127735100625866	0.000127735100625866	0.210638084002521	0.000127735100625866
"Dillenia_ferruginea"	0.0121348345594572	0.000404494485315241	0.200890541058549	0.000127735100625866	1.11948155032188	0.000294177807501994	0.0283472735148406	0.0010112362132881	0.00176506684501196	0.59740775160942	0.000425783668752886	2.12891834376443e-05	0.0125556588161593	0.0125556588161593	2.12891834376443e-05	0.0125556588161593
"Roscheria_melanochaetes"	0.220081772237429	0.00733605907458097	0.00706026738004785	0.0023166502340782	0.000294177807501994	1.0962444065997	0.0595710060191537	0.0183401476864524	0.577466439598171	0.00147088903750997	0.00772216744692734	0.000386108372346367	0.000441266711252991	0.000441266711252991	0.000386108372346367	0.000441266711252991
"Lasioglossum_mahense"	0.491460799658018	0.0163820266552673	0.136066912871235	0.00517327157534756	0.00566945470296811	0.0119142012038307	1.14806457735104	0.0409550666381682	0.0714852072229845	0.0283472735148406	0.0172442385844919	0.000862211929224594	0.00850418205445217	0.00850418205445217	0.000862211929224593	0.00850418205445217
"Unidentified_sp4_M_PL_092"	0.151306218413232	0.505043540613775	0.0048539338237829	0.00159269703592876	0.000202247242657621	0.00366802953729048	0.0409550666381682	1.26260885153444	0.0220081772237429	0.0010112362132881	0.00530899011976254	0.000265449505988127	0.000303370863986431	0.000303370863986431	0.000265449505988127	0.000303370863986431
"Unidentified_sp1_M_PL_092"	0.440163544474858	0.0146721181491619	0.0141205347600957	0.0046333004681564	0.000588355615003987	0.19248881319939	0.119142012038307	0.0366802953729049	1.15493287919634	0.00294177807501994	0.0154443348938547	0.000772216744692734	0.000882533422505981	0.000882533422505981	0.000772216744692733	0.000882533422505981
"Apis_mellifera"	0.0242696691189145	0.000808988970630483	0.401781082117098	0.000255470201251731	0.238963100643768	0.000588355615003987	0.0566945470296811	0.00202247242657621	0.00353013369002392	1.19481550321884	0.000851567337505771	4.25783668752886e-05	0.0251113176323186	0.0251113176323186	4.25783668752885e-05	0.0251113176323186
