"Memecylon_eleagni"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Unidentified_sp1_M_PL_124"	"Unidentified_sp2_M_PL_124"	"Unidentified_sp4_M_PL_124"	"Cratopus_aurostriatus"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_124"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_124"
"Memecylon_eleagni"	1.31403297145155	0.018335343787696	0.000965018094089264	0	0.593606755126659	0.00253317249698432	0.000241254523522316	0	0.002291917973462	0.0328508242862887	0.002291917973462	0.0328508242862887	0
"Mimusops_sechellarum"	0.0916767189384801	1.17957378367511	0.0620828307197427	0	0.188701246481705	0.162967430639324	0.0155207076799357	0	0.147446722959389	0.002291917973462	0.147446722959389	0.002291917973462	0
"Roscheria_melanochaetes"	0.00482509047044632	0.0620828307197427	1.26642541214314	0	0.00993164455166868	0.324366706875754	0.316606353035786	0	0.00776035383996783	0.000120627261761158	0.00776035383996783	0.000120627261761158	0
"Excoecaria_benthiamiana"	0	0	0	1.33333333333333	0	0	0	0.444444444444444	0	0	0	0	0.222222222222222
"Apis_mellifera"	0.624849215922799	0.0397265782066747	0.00209087253719341	0	1.28614796944109	0.00548854041013269	0.000522718134298351	0	0.00496582227583434	0.01562123039807	0.00496582227583434	0.01562123039807	0
"Unidentified_sp1_M_PL_124"	0.0168878166465621	0.217289907519099	0.432488942501005	0	0.0347607559308404	1.13528347406514	0.108122235625251	0	0.0271612384398874	0.000422195416164053	0.0271612384398874	0.000422195416164053	0
"Unidentified_sp2_M_PL_124"	0.00241254523522316	0.0310414153598713	0.633212706071572	0	0.00496582227583434	0.162183353437877	1.15830317651789	0	0.00388017691998392	6.0313630880579e-05	0.00388017691998392	6.0313630880579e-05	0
"Unidentified_sp4_M_PL_124"	0	0	0	0.666666666666667	0	0	0	1.22222222222222	0	0	0	0	0.111111111111111
"Cratopus_aurostriatus"	0.04583835946924	0.589786891837555	0.0310414153598713	0	0.0943506232408524	0.0814837153196622	0.00776035383996783	0	1.07372336147969	0.001145958986731	0.0737233614796944	0.001145958986731	0
"Lasioglossum_mahense"	0.657016485725774	0.00916767189384801	0.000482509047044632	0	0.296803377563329	0.00126658624849216	0.000120627261761158	0	0.001145958986731	1.01642541214314	0.001145958986731	0.0164254121431443	0
"Lygistorrhina_sp1_M_PL_124"	0.04583835946924	0.589786891837555	0.0310414153598713	0	0.0943506232408525	0.0814837153196622	0.00776035383996783	0	0.0737233614796944	0.001145958986731	1.07372336147969	0.001145958986731	0
"Simosyrphus_aegyptius"	0.657016485725774	0.00916767189384801	0.000482509047044632	0	0.296803377563329	0.00126658624849216	0.000120627261761158	0	0.001145958986731	0.0164254121431444	0.001145958986731	1.01642541214314	0
"Unidentified_sp3_M_PL_124"	0	0	0	0.666666666666667	0	0	0	0.222222222222222	0	0	0	0	1.11111111111111
