"Syzygium_coriaceum"	"Diospyros_revaughanii"	"Syzygium_petrinese"	"Casearia_coriacea"	"Labourdonnaisia_callophylloides"	"Calophyllum_eputamen"	"Gaertnera_sp1_M_PL_070"	"Ocotea_laevigata"	"Stillingia_lineata"	"Syzygium_mauritianum"	"Cordemoya_integrifolia"	"Tristhema_mauritiana"	"Euodia_obtusifolia"	"Syzygium_commersonii"	"Technomyrmex_albipes"	"Apis_mellifera"	"Musca_domestica"	"Chaetocnema_sp1_M_PL_070"	"Phelsuma_cepediana"	"Eristalinus_flaveolus"	"Brachymyrmex_sp1_M_PL_070"	"Chrysomya_megacephala"	"Episyrphus_sp1_M_PL_070"	"Panara_naso"	"Paragus_borbonicus"	"Anthomyia_faciata"	"Macroglossum_milvus"	"Melanagromyza_sojae"	"Nacoleia_sp1_M_PL_070"	"Ornidia_obesa"	"Phorinia_sp1_M_PL_070"	"Polistes_hebraeus"	"Syritta_sp1_M_PL_070"	"Thelairodrino_sp1_M_PL_070"
"Syzygium_coriaceum"	1.14623214858779	0.00174117709233925	0.0369820417578232	0.0452488980386824	0.00806270484631425	0.0225855949073516	0.0183894109691947	0.027189656134688	0.0206928223633262	0.000489377152982062	0.000175373846312259	0.00490747297404347	0.000322651355819309	0.000314003306669803	0.191391445987696	0.00508584154305551	0.192158668462301	0.0540600923226668	0.00439604629337725	0.00664264823604892	0.0675428058668504	0.0260337945235427	0.00129060542327724	0.00183894109691947	0.0230702048720978	0.000919470548459734	0.000919470548459733	0.0220429259343805	4.83660303427571e-05	0.0220429259343805	0.0220429259343805	0.00102727893771731	0.0220429259343805	0.00206928223633262
"Diospyros_revaughanii"	0.00251503357782337	1.17624563477306	0.0143018228494115	0.00344555452918679	0.0792296602565658	0.0115171855828043	0.000137403528278929	0.00015026685752463	0.000267306304042149	0.0224518697213167	0.01963671716062	0.000455194409390482	0.00016453122261149	0.00281515256069672	0.0177525819662288	0.569464797657981	0.000523793874646774	0.00415447764507123	0.0394121358497541	4.20772231739293e-05	0.000252771670065358	0.000641828832862963	0.00065812489044596	1.37403528278929e-05	0.000445638887270856	6.87017641394644e-06	6.87017641394643e-06	4.83660303427571e-05	0.0326734898548072	4.8366030342757e-05	4.8366030342757e-05	0.000397272856928098	4.8366030342757e-05	2.67306304042149e-05
"Syzygium_petrinese"	0.0534185047613001	0.0143018228494116	1.12768855292499	0.0834615538731983	0.0188844062745834	0.0013886109831513	0.000859856135539203	0.00126979004675673	0.000970861823174503	0.0100180813422845	0.000583586439809002	0.0110333736768983	1.98372997593043e-05	0.00943449490247548	0.430301573399033	0.0169240067544611	0.00895827281846096	0.00263765790185503	0.132082928634657	0.000310376998438985	0.00569001037168938	0.00123040158270589	7.93491990372172e-05	8.59856135539203e-05	0.0323519609634115	4.29928067769601e-05	4.29928067769601e-05	0.00102727893771731	0.000397272856928099	0.00102727893771731	0.00102727893771731	0.0313246820256942	0.00102727893771731	9.70861823174503e-05
"Casearia_coriacea"	0.0735294593128588	0.00387624884533514	0.0938942481073481	1.11539173556931	0.0236144724860991	0.00166325211306557	0.00118147396393904	0.00174587893590129	0.00133156944609098	0.00117365183256629	0.000378394317607186	0.0147339301437802	2.37607444723652e-05	0.000795257514959105	0.574623275607429	0.0109734352106084	0.0123286652930064	0.0035433513115997	0.0111336052094275	0.000426632371148183	0.0390980759276674	0.00168097000583772	9.50429778894609e-05	0.000118147396393904	0.00402220162224627	5.9073698196952e-05	5.9073698196952e-05	0.00141402806370882	0.000107673579037087	0.00141402806370882	0.00141402806370882	0.00260817355853745	0.00141402806370882	0.000133156944609099
"Labourdonnaisia_callophylloides"	0.0190573023640155	0.129648534965289	0.0309017557220456	0.0343483236161441	1.07037615239937	0.00965369298614696	0.000384267121302336	0.000525365095052407	0.000523575818164104	0.0166164454724621	0.015890202199441	0.00454356240107297	0.000137909899802099	0.000726243273021079	0.177198933641846	0.46081586378379	0.00327749644183858	0.0041641232948146	0.0101674058222951	0.000132692224631408	0.00217284486477463	0.000905910667513869	0.000551639599208398	3.84267121302336e-05	0.00122486868731353	1.92133560651168e-05	1.92133560651168e-05	0.000366486583923375	0.00360134819348026	0.000366486583923375	0.000366486583923375	0.000858382103390156	0.000366486583923375	5.23575818164104e-05
"Calophyllum_eputamen"	0.0587225467591142	0.0207309340490477	0.00249949976967234	0.00266120338090491	0.0106190622847617	1.17063827497739	0.010839773354046	0.0106332536094583	0.0236899836061598	0.00263921026388463	0.00254339916365614	0.000296977086758054	0.0167234039282485	9.58111002284874e-05	0.0115821063835641	0.0737585757460282	0.0202632828400384	0.414350954093439	0.00134135540319882	0.00314500223302951	0.00347100184175602	0.0609627002769008	0.0668936157129939	0.0010839773354046	0.00119871029452515	0.000541988667702298	0.000541988667702298	0.00112927974536758	0.000575859279140215	0.00112927974536758	0.00112927974536758	6.9430549157565e-05	0.00112927974536758	0.00236899836061598
"Gaertnera_sp1_M_PL_070"	0.0478124685199062	0.000247326350902072	0.00154774104397057	0.00189035834230247	0.000422693833432569	0.010839773354046	1.19260598207677	0.0633146496703588	0.0142073215662483	4.25374902125086e-05	2.876482464037e-05	0.00020508968991406	0.000154853905057799	1.37726655721386e-05	0.00799849790664832	0.00083417991457073	0.148968458971046	0.00705359392746039	0.000192817318009941	0.187935847264424	0.00281748534357615	0.0656142332964547	0.000619415620231198	0.119260598207677	0.000962463355236695	0.0596302991038385	0.0596302991038384	0.000919470548459734	6.87017641394644e-06	0.000919470548459734	0.000919470548459734	4.29928067769601e-05	0.000919470548459734	0.00142073215662483
"Ocotea_laevigata"	0.100990151357413	0.000386400490777619	0.00326517440594589	0.00399058042491722	0.00082557372079664	0.0151903622992262	0.090449499529084	1.08480453022457	0.0326359145436164	7.26240566841139e-05	4.4058537230069e-05	0.000432893047917576	0.000217005175703231	2.8565519454045e-05	0.0168828288687855	0.001277697579672	0.344316822171406	0.0124644548497605	0.00039991727235663	0.168539500675729	0.00595106052428324	0.0847101492599338	0.000868020702812924	0.0090449499529084	0.00203281758438891	0.0045224749764542	0.0045224749764542	0.00194211829533486	1.0733346966045e-05	0.00194211829533486	0.00194211829533486	9.06992890540524e-05	0.00194211829533486	0.00326359145436164
"Stillingia_lineata"	0.107602676289296	0.000962302694551737	0.00349510256342821	0.00426102222749115	0.00115186679996103	0.0473799672123195	0.0284146431324967	0.045690280361063	1.0929419437771	0.000147109349194428	0.000114546861450743	0.000462452902772038	0.000676856674461708	3.25624877436855e-05	0.0180356632081095	0.00332185898207155	0.360332671154488	0.130015747374687	0.000455874828411597	0.0107893793785978	0.00634100365360695	0.00912260420793507	0.00270742669784683	0.00284146431324967	0.00216636841865007	0.00142073215662483	0.00142073215662483	0.00206928223633262	2.67306304042149e-05	0.00206928223633262	0.00206928223633262	9.70861823174502e-05	0.00206928223633262	0.10929419437771
"Syzygium_mauritianum"	0.00424126865917787	0.1347112183279	0.0601084880537069	0.00625947644035355	0.0609269667323611	0.0087973675462821	0.000141791634041696	0.000169456132262933	0.000245182248657381	1.02838959115378	0.0149215197186679	0.000827258571792939	0.000125676679232601	0.013468071435114	0.0322630842999246	0.43272407184137	0.000788652746433543	0.00326672258372516	0.188553000091596	4.5476764000959e-05	0.000440297215252079	0.000540624827293886	0.000502706716930406	1.41791634041695e-05	0.00175124308254443	7.08958170208477e-06	7.08958170208477e-06	8.15628588303437e-05	0.00374197828688612	8.15628588303437e-05	8.15628588303437e-05	0.00166968022371408	8.15628588303437e-05	2.45182248657381e-05
