"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Hemipyrellia_sp1_M_PL_117"	"Lasioglossum_mahense"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Rhiparida_seychellensis"
"Chrysobalanus_icaco"	1.24152545406384	0.0729652140919081	0.0188426651775807	0.626518617154557	0.00471066629439517	0.00561270877630062	0.0214056112769628	0.00280635438815031	0.00280635438815031	0.00280635438815031
"Dillenia_ferruginea"	0.162768554512718	1.15739209495787	0.0131726838627464	0.437991738436316	0.00329317096568659	0.0890301611506053	0.00280635438815031	0.0445150805753027	0.0445150805753027	0.0445150805753027
"Nepenthes_pervillei"	0.13660932253746	0.0428112225539257	1.15391278824195	0.367600209044766	0.288478197060487	0.00329317096568659	0.00235533314719758	0.0016465854828433	0.0016465854828433	0.0016465854828433
"Apis_mellifera"	0.478132628881109	0.14983927893874	0.0386947588468174	1.28660073165668	0.00967368971170436	0.0115260983799031	0.00824366601519154	0.00576304918995153	0.00576304918995153	0.00576304918995153
"Hemipyrellia_sp1_M_PL_117"	0.0683046612687299	0.0214056112769628	0.576956394120974	0.183800104522383	1.14423909853024	0.00164658548284329	0.00117766657359879	0.000823292741421647	0.000823292741421647	0.000823292741421647
"Lasioglossum_mahense"	0.081384277256359	0.578696047478935	0.00658634193137318	0.218995869218158	0.0016465854828433	1.0445150805753	0.00140317719407516	0.0222575402876513	0.0222575402876513	0.0222575402876513
"Eristalinus_vicarians"	0.620762727031922	0.036482607045954	0.00942133258879033	0.313259308577278	0.00235533314719758	0.00280635438815031	1.01070280563848	0.00140317719407516	0.00140317719407516	0.00140317719407516
"Hemipyrellia_germana"	0.081384277256359	0.578696047478934	0.00658634193137318	0.218995869218158	0.0016465854828433	0.0445150805753027	0.00140317719407516	1.02225754028765	0.0222575402876513	0.0222575402876513
"Ornidia_obesa"	0.081384277256359	0.578696047478934	0.00658634193137318	0.218995869218158	0.0016465854828433	0.0445150805753027	0.00140317719407516	0.0222575402876513	1.02225754028765	0.0222575402876513
"Rhiparida_seychellensis"	0.081384277256359	0.578696047478935	0.00658634193137318	0.218995869218158	0.0016465854828433	0.0445150805753027	0.00140317719407516	0.0222575402876513	0.0222575402876513	1.02225754028765
