"Allomerus_demararae"	"Pseudomyrmex_dendroicus"	"Pachychondyla_luteola"	"Crematogaster_victima"	"Pheidole_minutula"	"Azteca_sp8_M_PA_001"	"Myrmelachista_sp1_M_PA_001"	"Azteca_sp7_M_PA_001"	"Azteca_sp9_M_PA_001"	"Camponotus_balzani"	"Azteca_sp12_M_PA_001"	"Azteca_sp11_M_PA_001"	"Crematogaster_limata"	"Azteca_sp10_M_PA_001"	"Azteca_sp13_M_PA_001"	"Gnamptogenys_pleurodon"	"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	1.26868686868687	0	0	0	0	0	0	0.0315151515151515	0.00202020202020202	0	0	0	0.0153535353535354	0.000404040404040404	0.00767676767676768	0.00767676767676768	0.66020202020202	0	0	0	0	0	0	0.00646464646464647
"Pseudomyrmex_dendroicus"	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	1.26388888888889	0	0	0	0	0	0	0.0694444444444444	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Crematogaster_victima"	0	0	0	1.16742539200809	0.16590794132524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365355433640714	0	0	0.301311233025952	0
"Pheidole_minutula"	0	0	0	0.16590794132524	1.16742539200809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.403875335590055	0	0	0.262791331076612	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	1.28571428571429	0	0	0	0	0	0.0476190476190476	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	0	0	1.23809523809524	0	0	0	0.0952380952380952	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0
"Azteca_sp7_M_PA_001"	0.183838383838384	0	0	0	0	0	0	1.04787878787879	0.0671717171717172	0	0	0	0.0105050505050505	0.0134343434343434	0.00525252525252525	0.00525252525252525	0.451717171717172	0	0	0	0	0	0	0.214949494949495
"Azteca_sp9_M_PA_001"	0.0141414141414141	0	0	0	0	0	0	0.0806060606060606	1.19747474747475	0	0	0	0.000808080808080808	0.0394949494949495	0.000404040404040404	0.000404040404040404	0.0347474747474747	0	0	0	0	0	0	0.631919191919192
"Camponotus_balzani"	0	0	0.263888888888889	0	0	0	0	0	0	1.06944444444444	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Azteca_sp12_M_PA_001"	0	0	0	0	0	0	0.238095238095238	0	0	0	1.0952380952381	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0
"Azteca_sp11_M_PA_001"	0	0	0	0	0	0.285714285714286	0	0	0	0	0	1.04761904761905	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Crematogaster_limata"	0.268686868686869	0	0	0	0	0	0	0.0315151515151515	0.00202020202020202	0	0	0	1.01535353535354	0.000404040404040404	0.00767676767676768	0.00767676767676768	0.66020202020202	0	0	0	0	0	0	0.00646464646464647
"Azteca_sp10_M_PA_001"	0.0141414141414141	0	0	0	0	0	0	0.0806060606060606	0.197474747474747	0	0	0	0.000808080808080808	1.03949494949495	0.000404040404040404	0.000404040404040404	0.0347474747474747	0	0	0	0	0	0	0.631919191919192
"Azteca_sp13_M_PA_001"	0.268686868686869	0	0	0	0	0	0	0.0315151515151515	0.00202020202020202	0	0	0	0.0153535353535354	0.000404040404040404	1.00767676767677	0.00767676767676768	0.66020202020202	0	0	0	0	0	0	0.00646464646464647
"Gnamptogenys_pleurodon"	0.268686868686869	0	0	0	0	0	0	0.0315151515151515	0.00202020202020202	0	0	0	0.0153535353535354	0.000404040404040404	0.00767676767676768	1.00767676767677	0.66020202020202	0	0	0	0	0	0	0.00646464646464647
"Cordia_nodosa"	0.537373737373738	0	0	0	0	0	0	0.063030303030303	0.00404040404040404	0	0	0	0.0307070707070707	0.000808080808080808	0.0153535353535354	0.0153535353535354	1.32040404040404	0	0	0	0	0	0	0.0129292929292929
"Triplaris_americana"	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"Cecropia_sp1_M_PA_001"	0	0	0.527777777777778	0	0	0	0	0	0	0.138888888888889	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0
"Clidemia_heterophylla"	0	0	0	0.316641375821953	0.350025290844714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19294969067351	0	0	0.140383642659819	0
"Pleurothyrium_sp1_M_PA_001"	0	0	0	0	0	0	0.476190476190476	0	0	0	0.19047619047619	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0
"Triplaris_poeppigiana"	0	0	0	0	0	0.571428571428571	0	0	0	0	0	0.0952380952380952	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0
"Maieta_guianensis"	0	0	0	0.356095093576125	0.310571573090541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191432239990662	0	0	1.14190109334267	0
"Tococa_sp1_M_PA_001"	0.0282828282828283	0	0	0	0	0	0	0.161212121212121	0.394949494949495	0	0	0	0.00161616161616162	0.078989898989899	0.000808080808080808	0.000808080808080808	0.0694949494949495	0	0	0	0	0	0	1.26383838383838
