"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Palicourea_corymbifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Azteca_sp8"	"Crematogaster_brasiliensis"	"Crema_limata"	"Camponotus_femoratus"	"Pachycondila_unidentata"	"Solenopsis_sp5"
"Cordia_nodosa"	1.2568306010929	0	0	0	0	0	0	0.0765027322404371	0.314207650273224	0	0	0	0	0	0	0	0.111111111111111	0.117486338797814	0.104735883424408	0.0127504553734062	0.00637522768670309
"Hirtella_myrmecophila"	0	1.23385146804836	0	0	0.0994818652849741	0	0	0	0	0.6286701208981	0	0	0	0	0.00552677029360967	0.0324697754749568	0	0	0	0	0
"Maieta_guianensis"	0	0	1.32	0	0	0.0133333333333333	0	0	0	0	0.586666666666667	0	0.08	0	0	0	0	0	0	0	0
"Myrcia_madida"	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0
"Hirtella_physophora"	0	0.210017271157168	0	0	1.12331606217617	0	0	0	0	0.598733448474381	0	0	0	0	0.0624064478986759	0.00552677029360967	0	0	0	0	0
"Tococa_bullifera"	0	0	0.24	0	0	1.09333333333333	0	0	0	0	0.106666666666667	0	0.56	0	0	0	0	0	0	0	0
"Tachigalia_spp."	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0
"Palicourea_corymbifera"	0.0765027322404371	0	0	0	0	0	0	1.2568306010929	0.0191256830601093	0	0	0	0	0	0	0	0.111111111111111	0.215846994535519	0.0063752276867031	0.209471766848816	0.104735883424408
"Azteca_r.am.1"	0.628415300546448	0	0	0	0	0	0	0.0382513661202186	1.15710382513661	0	0	0	0	0	0	0	0.0555555555555556	0.0587431693989071	0.052367941712204	0.0063752276867031	0.00318761384335155
"Allomerus_octoarticulatus"	0	0.459412780656304	0	0	0.207253886010363	0	0	0	0	1.30972941853771	0	0	0	0	0.0115141047783535	0.0120898100172712	0	0	0	0	0
"Pheidole_minutula"	0	0	0.66	0	0	0.00666666666666667	0	0	0	0	1.29333333333333	0	0.04	0	0	0	0	0	0	0	0
"Myrcidris_sp."	0	0	0	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.48	0	0	0.186666666666667	0	0	0	0	0.213333333333333	0	1.12	0	0	0	0	0	0	0	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0
"Allomerus_septemarticulatus"	0	0.105008635578584	0	0	0.561658031088083	0	0	0	0	0.299366724237191	0	0	0	0	1.03120322394934	0.00276338514680483	0	0	0	0	0
"Azteca_sp8"	0	0.61692573402418	0	0	0.049740932642487	0	0	0	0	0.31433506044905	0	0	0	0	0.00276338514680484	1.01623488773748	0	0	0	0	0
"Crematogaster_brasiliensis"	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0.0833333333333333	0	0	0	0	0	0	0	1.05555555555556	0.0833333333333333	0.0277777777777778	0.0555555555555556	0.0277777777777778
"Crema_limata"	0.234972677595628	0	0	0	0	0	0	0.431693989071038	0.0587431693989071	0	0	0	0	0	0	0	0.0555555555555556	1.09153005464481	0.0195810564663024	0.0719489981785064	0.0359744990892532
"Camponotus_femoratus"	0.628415300546448	0	0	0	0	0	0	0.0382513661202186	0.157103825136612	0	0	0	0	0	0	0	0.0555555555555556	0.0587431693989071	1.0523679417122	0.0063752276867031	0.00318761384335155
"Pachycondila_unidentata"	0.0382513661202186	0	0	0	0	0	0	0.628415300546448	0.00956284153005465	0	0	0	0	0	0	0	0.0555555555555556	0.10792349726776	0.00318761384335155	1.10473588342441	0.052367941712204
"Solenopsis_sp5"	0.0382513661202186	0	0	0	0	0	0	0.628415300546448	0.00956284153005464	0	0	0	0	0	0	0	0.0555555555555556	0.10792349726776	0.00318761384335155	0.104735883424408	1.0523679417122
